ratio,success,failure,failRate,totLatency
0,8.68611e+11,0,0,1.20727e-06
0.05,9.08639e+11,0,0,1.20708e-06
0.1,1.01914e+12,278760,2.73523e-07,1.20763e-06
0.15,1.01796e+12,348.85,3.42694e-10,1.20819e-06
0.2,8.1621e+11,2.19378e+07,2.68769e-05,1.20578e-06
0.25,1.01136e+12,7.15796e+08,0.000707253,1.20709e-06
0.3,9.99313e+11,2.51254e+08,0.000251363,1.20254e-06
0.35,8.16834e+11,2.19913e+08,0.000269154,1.20602e-06
0.4,1.02048e+12,2.9146e+07,2.85603e-05,1.20504e-06
0.45,1.01788e+12,1.63738e+08,0.000160836,1.20265e-06
0.5,1.01544e+12,4.32948e+08,0.000426184,1.20306e-06
0.55,1.01573e+12,2.34563e+07,2.30926e-05,1.20533e-06
0.6,1.00939e+12,2.442e+09,0.00241346,1.19283e-06
0.65,1.01322e+12,6.15305e+08,0.000606909,1.19881e-06
0.7,1.01835e+12,7.61041e+08,0.000746766,1.20072e-06
0.75,8.51658e+11,1.38574e+10,0.0160106,1.20133e-06
0.8,9.52667e+11,1.52449e+10,0.0157503,1.19061e-06
0.85,8.13304e+11,3.06174e+09,0.00375045,1.19734e-06
0.9,8.03858e+11,6.97346e+09,0.00860037,1.19316e-06
0.95,9.4673e+11,1.3826e+10,0.0143937,1.18393e-06
1,9.89806e+11,7.46918e+09,0.00748959,1.19224e-06
2,9.82002e+11,3.38939e+10,0.0333636,1.11464e-06
3,8.90726e+11,1.16583e+11,0.115737,1.02323e-06
4,8.53484e+11,1.10136e+11,0.114294,1.0513e-06
5,8.00899e+11,2.08787e+11,0.206784,8.6123e-07
6,8.32056e+11,1.68073e+11,0.168051,9.1683e-07
7,6.05497e+11,2.05897e+11,0.253757,8.3285e-07
8,6.42824e+11,3.24137e+11,0.335212,7.1372e-07
9,6.71793e+11,3.36848e+11,0.333962,6.3096e-07
10,4.39809e+11,4.27562e+11,0.49294,5.9423e-07
12,3.50992e+11,4.64102e+11,0.569385,5.2581e-07
14,3.65517e+11,4.52249e+11,0.55303,5.5531e-07
16,5.45106e+11,4.54308e+11,0.454574,4.7618e-07
18,3.15697e+11,4.95044e+11,0.610607,3.8768e-07
20,4.34695e+11,5.7837e+11,0.570911,2.8732e-07
25,2.7607e+11,7.3158e+11,0.726026,2.1438e-07
30,9.88275e+10,9.13824e+11,0.902407,1.5415e-07
35,9.7501e+10,7.18573e+11,0.880524,1.4923e-07
40,5.36549e+10,9.48436e+11,0.946457,9.336e-08
45,2.11471e+11,8.0773e+11,0.792513,8.441e-08
50,5.9353e+10,8.41781e+11,0.934135,6.914e-08
55,7.89749e+10,7.83952e+11,0.90848,5.504e-08
60,3.46601e+10,8.76428e+11,0.961957,4.372e-08
65,1.69601e+10,8.0237e+11,0.9793,3.524e-08
70,1.36171e+10,9.97765e+11,0.986536,2.642e-08
75,1.61579e+10,9.90396e+11,0.983947,2.061e-08
80,5.90788e+09,1.01134e+12,0.994192,1.23e-08
85,8.53715e+09,9.03312e+11,0.990638,7.13e-09
90,2.86765e+09,8.8409e+11,0.996767,6.96e-09
95,7.21383e+08,1.01293e+12,0.999288,2.73e-09
100,0,1.01236e+12,1,0
