ratio,success,failure,failRate,totLatency
0,9.94441e+11,0,0,1.20627e-06
0.05,9.13023e+11,5.36806e+08,0.000587598,1.20244e-06
0.1,9.92779e+11,4.58279e+08,0.000461399,1.20497e-06
0.15,1.01258e+12,1.18893e+09,0.00117278,1.20561e-06
0.2,9.15799e+11,18690.2,2.04086e-08,1.20569e-06
0.25,1.00709e+12,1.41817e+07,1.40816e-05,1.2044e-06
0.3,1.01775e+12,8.02132e+08,0.000787523,1.20609e-06
0.35,1.01163e+12,1.99745e+08,0.000197409,1.20108e-06
0.4,9.11151e+11,2.67679e+09,0.00292921,1.19853e-06
0.45,1.01097e+12,7.24142e+08,0.000715769,1.20306e-06
0.5,1.00957e+12,2.19327e+09,0.00216777,1.20077e-06
0.55,9.05808e+11,1.09122e+09,0.00120324,1.20146e-06
0.6,1.00688e+12,7.31421e+08,0.000725898,1.20268e-06
0.65,1.00059e+12,1.79645e+10,0.0176373,1.16194e-06
0.7,1.01045e+12,1.09209e+10,0.0106924,1.18978e-06
0.75,1.0024e+12,2.27878e+09,0.00226817,1.19729e-06
0.8,1.00404e+12,9.82076e+09,0.00968646,1.18692e-06
0.85,8.10356e+11,2.38088e+09,0.00292946,1.15882e-06
0.9,9.52892e+11,4.11105e+10,0.0413585,1.17826e-06
0.95,9.59875e+11,3.75874e+09,0.00390059,1.19786e-06
1,9.9464e+11,3.68051e+09,0.00368671,1.20063e-06
2,7.47576e+11,1.1512e+11,0.133442,1.0916e-06
3,9.41696e+11,7.63084e+10,0.0749588,1.05405e-06
4,8.34247e+11,1.66971e+11,0.166768,9.9547e-07
5,7.32827e+11,2.83874e+11,0.279211,8.4984e-07
6,7.48265e+11,2.22167e+11,0.228936,8.9673e-07
7,7.11146e+11,3.02859e+11,0.298676,7.5604e-07
8,5.50282e+11,3.70036e+11,0.402074,7.3033e-07
9,5.32424e+11,4.68345e+11,0.467985,5.9047e-07
10,5.26425e+11,4.78854e+11,0.476339,5.5439e-07
12,4.86535e+11,5.15118e+11,0.514268,4.9887e-07
14,4.77416e+11,5.2671e+11,0.524546,5.5828e-07
16,5.04938e+11,5.04723e+11,0.499894,3.7429e-07
18,2.70899e+11,5.97227e+11,0.68795,3.0502e-07
20,1.79963e+11,8.27155e+11,0.821309,2.6746e-07
25,3.31982e+11,6.70779e+11,0.668932,1.931e-07
30,1.61058e+11,6.89577e+11,0.810662,1.7679e-07
35,2.62479e+11,7.34146e+11,0.736632,1.2291e-07
40,1.23069e+11,8.81483e+11,0.877489,1.0884e-07
45,9.53359e+10,9.14977e+11,0.905637,9.115e-08
50,1.34539e+11,8.69002e+11,0.865936,5.745e-08
55,9.82222e+10,9.09829e+11,0.902562,5.323e-08
60,9.65372e+10,9.20496e+11,0.90508,4.209e-08
65,9.07034e+10,8.72902e+11,0.905871,3.797e-08
70,1.5604e+10,8.01416e+11,0.980901,2.999e-08
75,1.43034e+10,8.0047e+11,0.982445,2.484e-08
80,6.00558e+09,1.00274e+12,0.994046,1.261e-08
85,6.75471e+09,9.50026e+11,0.99294,9.87e-09
90,4.21463e+09,8.12008e+11,0.994836,9.83e-09
95,4.1147e+08,1.01593e+12,0.999595,4.63e-09
100,0,1.01227e+12,1,0
