ratio,success,failure,failRate,totLatency
0,8.66673e+11,0,0,1.20596e-06
0.05,1.00708e+12,0,0,1.20616e-06
0.1,1.01716e+12,0,0,1.20617e-06
0.15,1.0187e+12,5.58866e+08,0.000548305,1.20578e-06
0.2,9.15871e+11,1.6352e+07,1.78537e-05,1.20621e-06
0.25,1.00632e+12,1.20456e+08,0.000119685,1.20404e-06
0.3,1.00887e+12,4.05289e+08,0.000401563,1.20446e-06
0.35,9.1572e+11,1.60194e+08,0.000174907,1.20274e-06
0.4,8.17672e+11,5.38343e+08,0.000657952,1.20359e-06
0.45,1.0156e+12,6.0123e+08,0.000591647,1.2015e-06
0.5,1.01291e+12,3.65432e+09,0.00359477,1.1961e-06
0.55,1.00751e+12,3.67509e+08,0.000364636,1.20373e-06
0.6,9.06783e+11,4.95884e+09,0.00543887,1.19873e-06
0.65,1.01489e+12,3.90178e+09,0.00382981,1.20257e-06
0.7,8.1268e+11,2.37854e+09,0.00291825,1.19716e-06
0.75,8.56262e+11,1.98968e+09,0.0023183,1.19775e-06
0.8,8.68779e+11,3.41445e+10,0.0378155,1.18532e-06
0.85,7.92066e+11,4.33491e+09,0.00544313,1.1916e-06
0.9,1.00687e+12,6.26181e+09,0.00618067,1.1972e-06
0.95,7.89836e+11,1.76595e+10,0.0218695,1.18517e-06
1,9.94261e+11,2.52152e+10,0.0247335,1.12675e-06
2,8.41001e+11,6.76108e+10,0.0744111,1.11546e-06
3,6.77133e+11,1.84053e+11,0.21372,1.08612e-06
4,7.09274e+11,2.57597e+11,0.266423,9.2853e-07
5,7.87849e+11,2.24013e+11,0.221387,8.9734e-07
6,7.0807e+11,3.10543e+11,0.304869,9.1291e-07
7,6.44883e+11,2.71482e+11,0.29626,8.0285e-07
8,5.88734e+11,4.19611e+11,0.416138,6.6249e-07
9,4.51371e+11,5.41017e+11,0.545167,6.3306e-07
10,5.9452e+11,4.15382e+11,0.411309,6.222e-07
12,4.04079e+11,4.08876e+11,0.50295,5.6016e-07
14,3.0264e+11,7.01256e+11,0.698535,4.4723e-07
16,3.94589e+11,6.16915e+11,0.609899,3.037e-07
18,3.18298e+11,6.85655e+11,0.682956,2.7448e-07
20,2.76989e+11,6.25868e+11,0.693208,3.7529e-07
25,2.53965e+11,7.59648e+11,0.749446,1.9015e-07
30,2.14351e+11,7.96116e+11,0.787869,1.5233e-07
35,9.50263e+10,8.21778e+11,0.896351,1.2372e-07
40,1.81114e+11,7.19567e+11,0.798914,1.1714e-07
45,4.93335e+10,9.63125e+11,0.951274,9.88e-08
50,1.66044e+11,7.39107e+11,0.816556,5.825e-08
55,3.56606e+10,7.81085e+11,0.956338,5.583e-08
60,1.3174e+11,8.81693e+11,0.870006,4.411e-08
65,7.61351e+10,9.38377e+11,0.924954,3.907e-08
70,1.92285e+10,7.86155e+11,0.976125,3.312e-08
75,7.28116e+10,8.97977e+11,0.924997,2.246e-08
80,5.87401e+10,9.56014e+11,0.942114,1.531e-08
85,2.90813e+09,9.60967e+11,0.996983,9.73e-09
90,5.09947e+10,9.10143e+11,0.946943,7.45e-09
95,1.75931e+09,9.5757e+11,0.998166,2.67e-09
100,0,1.00891e+12,1,0
