ratio,success,fail,fail_rate
0.0,1323360227000000.0,0.0,0.0
0.05,1316327076000000.0,117441286044.32639,8.921096521898317e-05
0.1,1316827794000000.0,341256470040.9787,0.0002590832740256074
0.15,1321868676000000.0,929697890556.5858,0.0007028266052536784
0.2,1320034736000000.0,1384763096555.6433,0.001047936024481548
0.25,1313629205000000.0,2314919700923.833,0.0017591322134972468
0.3,1311718478000000.0,3579270349111.504,0.0027212624317224025
0.35,1313834232000000.0,3672497526485.39,0.0027874601656154674
0.4,1312910559000000.0,6503879792610.0,0.004929368363257924
0.45,1310622938000000.0,6990034793302.9,0.005305074356154994
0.5,1310641159000000.0,9254378397968.0,0.007011447600021446
0.55,1306170372000000.0,9980631865090.0,0.007583196636085269
0.6,1306698135000000.0,11752523069700.0,0.008913889190898111
0.65,1304286891000000.0,15167839055800.0,0.011495535777236214
0.7,1300134776000000.0,16097221477000.0,0.01222977522796568
0.75,1297754246000000.0,19157489436700.0,0.014547284317689826
0.8,1296449291000000.0,21136208895500.0,0.016041622268290257
0.85,1295956882000000.0,24461137082000.0,0.018525297843940528
0.9,1293797622000000.0,26046874102900.0,0.019734805259110835
0.95,1293389903000000.0,28723918577000.0,0.021725753190249903
1.0,1282315806000000.0,31890633580000.0,0.024266076180688746
2.0,1219258406000000.0,99637738900000.0,0.07554631142511575
3.0,1146370898000000.0,172310150600000.0,0.13066855763411173
4.0,1072814647000000.0,243591703300000.0,0.18504294152370743
5.0,1007207771000000.0,311946085900000.0,0.23647437656216277
6.0,942701688000000.0,376049357300000.0,0.2851556847217158
7.0,875057846000000.0,438152309000000.0,0.3336498026090881
8.0,832814326000000.0,490019724000000.0,0.37043174387596084
9.0,777383039000000.0,542948356000000.0,0.41122127221704063
10.0,728069019000000.0,585865860000000.0,0.4458865270749845
12.0,649149087000000.0,671131204000000.0,0.5083247917695379
14.0,575790501000000.0,737440259000000.0,0.5615465929232423
16.0,523441945000000.0,797752958000000.0,0.6038117133123696
18.0,471528135000000.0,845038191000000.0,0.6418500718967955
20.0,420721122000000.0,893954024000000.0,0.6799809266341755
25.0,335008183300000.0,980990147000000.0,0.7454341881850031
30.0,272295474100000.0,1047364795000000.0,0.7936624444367762
35.0,223490558400000.0,1095349123000000.0,0.8305400106230076
40.0,180467996500000.0,1138100763000000.0,0.8631334200816093
45.0,152862592600000.0,1165847007000000.0,0.884081686637932
50.0,126416229400000.0,1194773788000000.0,0.9043163907272193
55.0,105188968100000.0,1211887957000000.0,0.9201345296577772
60.0,86839592600000.0,1230055268000000.0,0.9340573076878481
65.0,72495919780000.0,1243360199000000.0,0.9449058914988253
70.0,54540098050000.0,1259419944000000.0,0.958491813826463
75.0,44566521550000.0,1275404719000000.0,0.9662367480586697
80.0,34521741600000.0,1284585016000000.0,0.9738294558790607
85.0,22120623755000.0,1292938161000000.0,0.9831789848397376
90.0,14761387455000.0,1306790722000000.0,0.9888302645431912
95.0,6937426282000.0,1310664993000000.0,0.9947348106071477
100.0,0.0,1316685082000000.0,1.0
