ratio,success,failure,failRate,totLatency
0,1.01016e+12,0,0,1.20501e-06
0.05,9.66589e+11,0,0,1.20589e-06
0.1,8.16263e+11,0,0,1.20518e-06
0.15,8.17448e+11,220617,2.69885e-07,1.20532e-06
0.2,1.02083e+12,0,0,1.20569e-06
0.25,9.65973e+11,166175,1.72028e-07,1.20497e-06
0.3,1.01443e+12,1.313e+07,1.2943e-05,1.20519e-06
0.35,1.01059e+12,4.59277e+07,4.54444e-05,1.20257e-06
0.4,1.00023e+12,1.79999e+09,0.00179635,1.20255e-06
0.45,1.01166e+12,1.01563e+09,0.00100291,1.20074e-06
0.5,1.00721e+12,2.0928e+09,0.00207351,1.19615e-06
0.55,1.00023e+12,5.86331e+08,0.000585852,1.20343e-06
0.6,1.0095e+12,7.01926e+09,0.00690518,1.18629e-06
0.65,9.73089e+11,3.89814e+10,0.0385165,1.18619e-06
0.7,9.52921e+11,3.10494e+09,0.00324775,1.19734e-06
0.75,1.00301e+12,9.04558e+09,0.00893784,1.17592e-06
0.8,1.00448e+12,4.6829e+09,0.00464037,1.16839e-06
0.85,9.92765e+11,1.81341e+10,0.0179386,1.18827e-06
0.9,9.7269e+11,3.36855e+10,0.0334721,1.13667e-06
0.95,1.01418e+12,1.02132e+09,0.00100604,1.18464e-06
1,9.61115e+11,3.68327e+09,0.00381766,1.19054e-06
2,9.25205e+11,8.01508e+10,0.0797239,1.1456e-06
3,8.88136e+11,7.41214e+10,0.0770286,1.11885e-06
4,8.10321e+11,1.94112e+11,0.193256,8.7974e-07
5,8.37893e+11,1.71136e+11,0.169605,9.4151e-07
6,5.36464e+11,2.67656e+11,0.332856,7.7128e-07
7,6.87408e+11,2.97964e+11,0.302388,8.1639e-07
8,4.95989e+11,3.16782e+11,0.389756,7.2745e-07
9,4.78971e+11,4.34711e+11,0.475779,6.636e-07
10,4.86369e+11,4.30584e+11,0.469581,6.1737e-07
12,5.29173e+11,4.84643e+11,0.478038,6.456e-07
14,3.69135e+11,4.81841e+11,0.566222,4.1871e-07
16,3.47836e+11,6.67444e+11,0.657399,4.2098e-07
18,2.03052e+11,6.08048e+11,0.749659,3.7281e-07
20,1.83177e+11,7.74682e+11,0.808764,2.6102e-07
25,3.72056e+11,6.39167e+11,0.632073,2.168e-07
30,1.97756e+11,7.58257e+11,0.793145,1.8732e-07
35,1.96575e+11,8.16064e+11,0.805878,1.4281e-07
40,1.63172e+11,8.49912e+11,0.838935,8.805e-08
45,4.8358e+10,9.62446e+11,0.952159,8.447e-08
50,1.27739e+11,8.87035e+11,0.874121,7.186e-08
55,3.81776e+10,7.69827e+11,0.952751,5.895e-08
60,6.75587e+10,9.44299e+11,0.933233,4.473e-08
65,2.95122e+10,9.83783e+11,0.970875,3.222e-08
70,5.91549e+09,9.98785e+11,0.994112,2.766e-08
75,1.09296e+10,9.50639e+11,0.988634,2.411e-08
80,6.59676e+10,9.47405e+11,0.934903,1.754e-08
85,2.0272e+09,9.51181e+11,0.997873,9.89e-09
90,5.42292e+10,9.12469e+11,0.943903,7.03e-09
95,2.72523e+08,8.05321e+11,0.999662,3.18e-09
100,0,1.01451e+12,1,0
