ratio,success,failure,failRate,totLatency
0,1.00361e+12,0,0,1.20572e-06
0.05,1.00999e+12,0,0,1.2063e-06
0.1,8.10444e+11,14542.9,1.79443e-08,1.20507e-06
0.15,1.01908e+12,378875,3.7178e-07,1.20602e-06
0.2,9.1451e+11,5.54956e+07,6.06798e-05,1.2045e-06
0.25,1.00782e+12,2.64798e+07,2.62736e-05,1.20535e-06
0.3,8.62757e+11,3.6546e+08,0.000423416,1.20517e-06
0.35,1.01495e+12,3.9763e+08,0.00039162,1.19724e-06
0.4,1.0089e+12,2.06655e+08,0.000204789,1.20422e-06
0.45,8.1358e+11,1.87456e+09,0.00229879,1.20387e-06
0.5,9.54054e+11,3.78655e+09,0.00395322,1.20191e-06
0.55,1.01486e+12,1.69125e+09,0.00166372,1.19671e-06
0.6,9.03713e+11,4.28562e+09,0.00471986,1.19514e-06
0.65,1.0145e+12,1.69339e+09,0.0016664,1.19742e-06
0.7,1.01014e+12,7.46015e+08,0.000737981,1.18888e-06
0.75,1.01184e+12,2.05417e+09,0.00202602,1.19679e-06
0.8,9.95442e+11,1.02658e+09,0.00103022,1.20043e-06
0.85,1.00759e+12,7.7491e+09,0.007632,1.19923e-06
0.9,9.7921e+11,3.43656e+10,0.0339053,1.14408e-06
0.95,1.01317e+12,4.16583e+09,0.00409484,1.18809e-06
1,9.50843e+11,6.48337e+10,0.063833,1.16308e-06
2,9.64035e+11,4.84855e+10,0.047886,1.07141e-06
3,8.07416e+11,1.62157e+11,0.167246,9.8456e-07
4,8.62329e+11,1.53533e+11,0.151136,9.2191e-07
5,6.79853e+11,2.27661e+11,0.250862,8.634e-07
6,7.25048e+11,2.36469e+11,0.245933,8.0343e-07
7,5.78026e+11,3.8195e+11,0.397875,7.3541e-07
8,5.48094e+11,4.70311e+11,0.461811,6.3098e-07
9,4.28536e+11,4.37964e+11,0.505441,5.9521e-07
10,4.621e+11,3.4786e+11,0.429478,6.6233e-07
12,6.03606e+11,4.16174e+11,0.408102,5.2052e-07
14,2.97382e+11,5.18638e+11,0.63557,4.1639e-07
16,2.78171e+11,5.68044e+11,0.671276,3.9916e-07
18,3.56223e+11,5.54931e+11,0.609042,3.6673e-07
20,2.95653e+11,7.12272e+11,0.706672,3.0901e-07
25,1.48406e+11,6.623e+11,0.816942,2.1958e-07
30,3.05938e+11,7.02207e+11,0.696534,1.8623e-07
35,1.60236e+11,7.89356e+11,0.831258,1.466e-07
40,1.05599e+11,8.99842e+11,0.894973,9.598e-08
45,1.05685e+11,9.08456e+11,0.895789,7.667e-08
50,5.99243e+10,9.04037e+11,0.937835,6.205e-08
55,4.99653e+10,9.6118e+11,0.950585,4.513e-08
60,2.90335e+10,9.86484e+11,0.97141,3.987e-08
65,7.13931e+10,9.32296e+11,0.928869,4.51e-08
70,6.28377e+10,9.53471e+11,0.938171,3.08e-08
75,6.33994e+10,9.45175e+11,0.93714,2.448e-08
80,1.17971e+11,8.95352e+11,0.88358,2.057e-08
85,2.49661e+09,9.10017e+11,0.997264,1.219e-08
90,4.82834e+09,9.04903e+11,0.994693,8.09e-09
95,1.19928e+09,1.00323e+12,0.998806,4e-09
100,0,9.62106e+11,1,0
