ratio,success,failure,failRate,totLatency
0,9.16646e+11,0,0,1.20694e-06
0.05,1.02057e+12,0,0,1.20618e-06
0.1,9.6133e+11,0,0,1.20584e-06
0.15,1.014e+12,7.11409e+07,7.01535e-05,1.20302e-06
0.2,9.15774e+11,0,0,1.20581e-06
0.25,1.01534e+12,6.01077e+07,5.9196e-05,1.20458e-06
0.3,7.95968e+11,8.06555e+08,0.00101227,1.2038e-06
0.35,1.01114e+12,220008,2.17583e-07,1.20525e-06
0.4,7.91505e+11,4.39477e+08,0.000554934,1.20397e-06
0.45,1.0034e+12,6.51995e+08,0.000649364,1.19955e-06
0.5,9.84798e+11,7.97559e+09,0.00803364,1.14822e-06
0.55,9.06199e+11,1.3668e+09,0.001506,1.20331e-06
0.6,9.6358e+11,7.61359e+08,0.000789512,1.19919e-06
0.65,9.08725e+11,4.65831e+09,0.00510006,1.19431e-06
0.7,9.09202e+11,3.87362e+09,0.00424239,1.19612e-06
0.75,9.41746e+11,1.06977e+10,0.0112318,1.19717e-06
0.8,8.55561e+11,2.53699e+09,0.00295652,1.19355e-06
0.85,9.6441e+11,1.69033e+09,0.00174964,1.19813e-06
0.9,1.00848e+12,9.74805e+09,0.00957356,1.18189e-06
0.95,9.46089e+11,1.79668e+10,0.0186366,1.19198e-06
1,7.70967e+11,4.22929e+10,0.0520042,1.13601e-06
2,8.87719e+11,1.16868e+11,0.116334,1.05485e-06
3,8.918e+11,1.17693e+11,0.116587,1.06404e-06
4,8.58218e+11,1.56573e+11,0.154291,9.4052e-07
5,6.68018e+11,1.92276e+11,0.223501,8.6289e-07
6,7.00374e+11,2.57347e+11,0.268708,8.682e-07
7,6.71598e+11,2.45633e+11,0.267798,7.0433e-07
8,8.37634e+11,1.79431e+11,0.17642,8.0687e-07
9,6.21825e+11,3.92514e+11,0.386965,6.8437e-07
10,5.34362e+11,4.34689e+11,0.448572,5.9702e-07
12,4.49096e+11,5.72523e+11,0.560408,5.268e-07
14,4.07466e+11,5.50739e+11,0.574761,3.9237e-07
16,3.15574e+11,6.82939e+11,0.683956,3.5697e-07
18,4.51501e+11,5.67929e+11,0.557104,3.0718e-07
20,3.32444e+11,6.22899e+11,0.652016,3.2246e-07
25,2.84535e+11,7.30212e+11,0.7196,2.128e-07
30,1.19319e+11,7.38034e+11,0.860828,1.8528e-07
35,1.74889e+11,7.36623e+11,0.808133,1.4752e-07
40,2.44314e+11,7.22752e+11,0.747366,1.1722e-07
45,7.09888e+10,8.3661e+11,0.921784,7.459e-08
50,9.48505e+10,8.71485e+11,0.901845,6.683e-08
55,8.80262e+10,8.29309e+11,0.904041,5.72e-08
60,3.51129e+10,7.67253e+11,0.956238,4.898e-08
65,3.85242e+10,7.69239e+11,0.952308,3.211e-08
70,8.96693e+09,9.98229e+11,0.991097,3.084e-08
75,1.97411e+10,9.44875e+11,0.979535,2.046e-08
80,1.40739e+10,8.86616e+11,0.984374,2.05e-08
85,2.47799e+09,1.00137e+12,0.997532,1.197e-08
90,5.14817e+10,8.5904e+11,0.943459,5.26e-09
95,8.54162e+08,8.50205e+11,0.998996,2.01e-09
100,0,1.01155e+12,1,0
