ratio,success,failure,failRate,totLatency
0,1.01668e+12,0,0,1.20696e-06
0.05,1.01408e+12,0,0,1.20642e-06
0.1,9.0243e+11,2764.89,3.06383e-09,1.20653e-06
0.15,1.01313e+12,2.01265e+06,1.98655e-06,1.20686e-06
0.2,8.51975e+11,2.12427e+09,0.00248714,1.20393e-06
0.25,8.59866e+11,4.80185e+06,5.58438e-06,1.20582e-06
0.3,8.05948e+11,1.53415e+08,0.000190317,1.20531e-06
0.35,1.00675e+12,1.97931e+08,0.000196565,1.20469e-06
0.4,1.01382e+12,1.1119e+08,0.000109662,1.20243e-06
0.45,1.00854e+12,1.38605e+08,0.000137412,1.20603e-06
0.5,9.85397e+11,1.3095e+09,0.00132714,1.20413e-06
0.55,1.0026e+12,6.72981e+08,0.000670786,1.20324e-06
0.6,9.11011e+11,6.79046e+09,0.00739862,1.19892e-06
0.65,9.62252e+11,1.15162e+09,0.00119537,1.19598e-06
0.7,8.00562e+11,2.22355e+09,0.00276979,1.17995e-06
0.75,7.87943e+11,7.97616e+09,0.0100213,1.18869e-06
0.8,1.01557e+12,1.78848e+09,0.00175796,1.19576e-06
0.85,9.91363e+11,2.44509e+10,0.0240703,1.18302e-06
0.9,9.50921e+11,1.39668e+10,0.0144751,1.17718e-06
0.95,8.38368e+11,6.3123e+10,0.0700207,1.19474e-06
1,9.69045e+11,3.92928e+10,0.0389678,1.16315e-06
2,9.13251e+11,5.27145e+10,0.0545719,1.07764e-06
3,8.03263e+11,1.11686e+11,0.122068,1.0622e-06
4,8.34478e+11,1.70806e+11,0.169908,9.9148e-07
5,8.71272e+11,1.46648e+11,0.144066,8.9044e-07
6,4.59667e+11,3.42614e+11,0.42705,8.9262e-07
7,7.68909e+11,2.48724e+11,0.244414,8.0275e-07
8,6.93559e+11,3.21615e+11,0.316808,7.4979e-07
9,3.62661e+11,4.47837e+11,0.552545,6.3066e-07
10,5.38344e+11,4.27495e+11,0.442615,6.5775e-07
12,3.44682e+11,5.16044e+11,0.599545,5.0741e-07
14,3.06664e+11,4.93058e+11,0.616537,4.1082e-07
16,3.55208e+11,6.6352e+11,0.651322,3.4064e-07
18,2.20083e+11,5.9693e+11,0.730625,3.1677e-07
20,3.52462e+11,6.67931e+11,0.654582,2.741e-07
25,2.64133e+11,6.93048e+11,0.724051,2.4915e-07
30,2.0751e+11,7.08067e+11,0.773356,2.0278e-07
35,1.34697e+11,8.70846e+11,0.866045,1.2645e-07
40,1.77587e+11,8.28395e+11,0.823469,1.1153e-07
45,7.82275e+10,9.33565e+11,0.922684,7.501e-08
50,9.31028e+10,9.15626e+11,0.907703,9.593e-08
55,1.28728e+11,8.33096e+11,0.866163,7.539e-08
60,1.64708e+10,1.00106e+12,0.983813,3.794e-08
65,1.13778e+11,9.02604e+11,0.888056,2.96e-08
70,1.77781e+10,9.99323e+11,0.982521,2.82e-08
75,1.23132e+10,7.96662e+11,0.984779,3.292e-08
80,6.74555e+09,7.96648e+11,0.991604,2.136e-08
85,4.00902e+09,7.99336e+11,0.99501,9.9e-09
90,2.21848e+09,9.15051e+11,0.997581,7.07e-09
95,2.21577e+08,1.00964e+12,0.999781,1.58e-09
100,0,1.01807e+12,1,0
