ratio,success,failure,failRate,totLatency
0,1.01057e+12,0,0,1.20612e-06
0.05,8.07436e+11,0,0,1.20482e-06
0.1,8.12345e+11,2247.05,2.76613e-09,1.20567e-06
0.15,1.02006e+12,123798,1.21363e-07,1.20579e-06
0.2,1.00828e+12,4.9736e+07,4.93251e-05,1.20565e-06
0.25,9.12108e+11,1.6236e+09,0.00177689,1.20515e-06
0.3,1.00874e+12,3.67747e+08,0.000364426,1.2043e-06
0.35,1.00602e+12,1.93176e+08,0.000191983,1.20205e-06
0.4,1.00735e+12,1.3917e+08,0.000138135,1.20554e-06
0.45,1.00844e+12,1.51053e+08,0.000149766,1.20364e-06
0.5,1.00548e+12,4.12694e+09,0.00408768,1.19409e-06
0.55,1.00534e+12,4.58135e+08,0.000455492,1.20339e-06
0.6,1.01402e+12,8.10576e+08,0.000798732,1.20233e-06
0.65,1.00118e+12,1.69455e+10,0.0166439,1.20336e-06
0.7,1.0082e+12,2.1188e+09,0.00209716,1.19762e-06
0.75,7.78273e+11,1.61804e+10,0.0203667,1.19063e-06
0.8,9.20512e+11,8.95948e+10,0.0886984,1.15907e-06
0.85,8.52384e+11,4.84352e+10,0.0537679,1.19735e-06
0.9,1.01137e+12,3.68574e+09,0.00363108,1.19406e-06
0.95,9.99025e+11,6.28363e+09,0.00625044,1.18527e-06
1,9.03327e+11,1.58818e+10,0.0172777,1.14903e-06
2,8.03454e+11,2.07608e+11,0.205336,1.11366e-06
3,8.80653e+11,3.96849e+10,0.0431199,1.05536e-06
4,8.11538e+11,1.48564e+11,0.154738,9.5012e-07
5,7.16572e+11,2.8089e+11,0.281605,8.7703e-07
6,5.38923e+11,2.76328e+11,0.338949,8.795e-07
7,6.74066e+11,3.43702e+11,0.337702,7.2726e-07
8,5.92128e+11,3.22961e+11,0.352928,6.5548e-07
9,4.0169e+11,6.15924e+11,0.605263,6.2588e-07
10,4.23239e+11,3.89576e+11,0.479292,6.4688e-07
12,4.84279e+11,5.21504e+11,0.518505,4.7071e-07
14,3.5393e+11,4.46569e+11,0.557863,4.051e-07
16,5.62016e+11,4.39153e+11,0.43864,5.0011e-07
18,4.3314e+11,5.83248e+11,0.573844,3.6108e-07
20,3.43014e+11,6.73452e+11,0.662543,3.4067e-07
25,1.00393e+11,6.95999e+11,0.87394,2.3236e-07
30,2.53039e+11,7.64215e+11,0.751253,1.4937e-07
35,1.36386e+11,7.84667e+11,0.851924,1.6413e-07
40,1.17402e+11,7.34964e+11,0.862263,1.3198e-07
45,5.62942e+10,9.64061e+11,0.944829,8.292e-08
50,1.53488e+11,8.5346e+11,0.847571,7.467e-08
55,1.84776e+11,7.83256e+11,0.809122,6.323e-08
60,7.64724e+10,9.20564e+11,0.9233,3.656e-08
65,1.795e+11,8.22978e+11,0.820943,4.354e-08
70,2.10125e+10,8.80956e+11,0.976704,3.457e-08
75,9.91755e+09,1.00771e+12,0.990254,1.776e-08
80,1.76417e+10,9.96282e+11,0.982601,1.56e-08
85,2.29824e+09,1.01545e+12,0.997742,1.177e-08
90,2.32584e+09,1.00198e+12,0.997684,6.65e-09
95,5.16307e+10,9.56774e+11,0.9488,2.97e-09
100,0,9.93852e+11,1,0
