ratio,success,failure,failRate,totLatency
0,9.89417e+11,0,0,1.20478e-06
0.05,1.00987e+12,0,0,1.2051e-06
0.1,1.01733e+12,0,0,1.20468e-06
0.15,1.01133e+12,0,0,1.20446e-06
0.2,9.66282e+11,2.10791e+07,2.18141e-05,1.20415e-06
0.25,8.02704e+11,1.6921e+08,0.000210755,1.20214e-06
0.3,1.00056e+12,5.30606e+08,0.000530028,1.2031e-06
0.35,8.09888e+11,1.0571e+09,0.00130355,1.20162e-06
0.4,1.00257e+12,1.83991e+08,0.000183485,1.20322e-06
0.45,1.00216e+12,2.33284e+09,0.0023224,1.20191e-06
0.5,8.38626e+11,2.19992e+10,0.0255619,1.18941e-06
0.55,1.01784e+12,1.14627e+09,0.00112491,1.19697e-06
0.6,1.00327e+12,1.28307e+09,0.00127725,1.19974e-06
0.65,7.92912e+11,1.18654e+10,0.0147437,1.19524e-06
0.7,8.78361e+11,2.82226e+10,0.0311307,1.09942e-06
0.75,8.153e+11,5.01807e+08,0.000615109,1.1984e-06
0.8,9.99275e+11,7.7518e+09,0.00769771,1.18878e-06
0.85,9.80612e+11,3.40353e+10,0.033544,1.14613e-06
0.9,8.62111e+11,5.24943e+10,0.0573955,1.16633e-06
0.95,8.35871e+11,2.13931e+10,0.0249551,1.1732e-06
1,8.66853e+11,1.41743e+11,0.140535,1.11876e-06
2,9.22248e+11,9.22159e+10,0.0909011,1.0557e-06
3,8.26409e+11,1.77567e+11,0.176864,9.8132e-07
4,7.17722e+11,1.83661e+11,0.203755,1.03666e-06
5,5.28851e+11,2.81138e+11,0.347089,8.6643e-07
6,7.82039e+11,2.32706e+11,0.229325,8.4372e-07
7,7.88488e+11,2.30294e+11,0.226049,7.7598e-07
8,6.00553e+11,4.05644e+11,0.403146,7.2275e-07
9,5.22637e+11,3.38272e+11,0.392924,6.3092e-07
10,6.50806e+11,3.66739e+11,0.360415,6.6741e-07
12,4.13443e+11,4.30467e+11,0.510086,6.2335e-07
14,4.18538e+11,4.9784e+11,0.543269,4.6727e-07
16,3.1419e+11,5.45177e+11,0.634394,3.9586e-07
18,3.58744e+11,6.56117e+11,0.646509,3.4044e-07
20,2.08479e+11,5.90305e+11,0.739005,2.904e-07
25,2.64088e+11,6.50593e+11,0.711279,2.256e-07
30,2.10318e+11,7.9548e+11,0.790894,1.6456e-07
35,1.78239e+11,8.13488e+11,0.820274,1.2988e-07
40,2.18394e+11,7.46048e+11,0.773554,1.0306e-07
45,1.0914e+11,8.94542e+11,0.891261,8.274e-08
50,3.86069e+10,8.21592e+11,0.955119,7.338e-08
55,1.44124e+11,8.63557e+11,0.856975,5.755e-08
60,1.36478e+11,8.73812e+11,0.864912,3.536e-08
65,1.61587e+10,9.97168e+11,0.984054,2.834e-08
70,2.84871e+10,8.76954e+11,0.968538,2.227e-08
75,1.19987e+10,1.00739e+12,0.98823,1.975e-08
80,1.05522e+11,9.1153e+11,0.896247,1.397e-08
85,5.50944e+09,1.00391e+12,0.994542,1.137e-08
90,6.11889e+10,9.52487e+11,0.939637,5.61e-09
95,3.29677e+08,9.59717e+11,0.999657,2.3e-09
100,0,1.01772e+12,1,0
