ratio,success,fail,fail_rate
0.0,893742256000000.0,0.0,0.0
0.05,893072573000000.0,465566918269.65894,0.000521037544421152
0.1,893363879000000.0,509397177863.21844,0.0005698762804962282
0.15,887693355000000.0,1044021141126.0226,0.0011747240176385228
0.2,887891508000000.0,1336704903322.7166,0.0015032191780762175
0.25,887587061000000.0,1828089196987.373,0.0020553834692184953
0.3,890869532000000.0,2767785933977.04,0.00309721391265973
0.35,888813975000000.0,2639446412943.24,0.0029608349124508925
0.4,884576455000000.0,3677193556946.8804,0.004139801241369324
0.45,890239475000000.0,2959214748522.91,0.0033130531677739777
0.5,885394264000000.0,4470335824843.5,0.005023613508980376
0.55,887098890000000.0,4473912290540.0,0.0050179999648330125
0.6,887063522000000.0,4791615748891.7,0.005372639059955513
0.65,881830954000000.0,5523907254487.2,0.006225138888266012
0.7,887047505000000.0,5604065171260.0,0.006277998447014248
0.75,885361559000000.0,5695757627840.0,0.006392133840946728
0.8,880975493000000.0,6420922646680.0,0.007235686930289014
0.85,882089578000000.0,6921700471600.0,0.007785841011488492
0.9,878623852000000.0,11715739035700.0,0.013158730841196786
0.95,879358833000000.0,11323161258000.0,0.012712911376897184
1.0,875925150000000.0,12157922411200.0,0.013690073360131158
2.0,835869780000000.0,55007263040000.0,0.06174506736899965
3.0,787759330000000.0,101802966400000.0,0.11444163810897776
4.0,766350434000000.0,131534203100000.0,0.1464934331929667
5.0,711335524000000.0,177996317400000.0,0.20014611994527873
6.0,684075679000000.0,209761208700000.0,0.23467504148296295
7.0,652175671000000.0,239637751200000.0,0.26870839262414503
8.0,619157951000000.0,271272813000000.0,0.30465345983935477
9.0,602953559000000.0,289620593000000.0,0.32447790735486143
10.0,575242738000000.0,315351884800000.0,0.3540913865037093
12.0,531424025000000.0,356527359000000.0,0.401516755786711
14.0,490565184000000.0,401022366000000.0,0.4497846184595108
16.0,460497950000000.0,433011392000000.0,0.484618762945178
18.0,424131865000000.0,462174537000000.0,0.5214613546253049
20.0,403675520000000.0,486630474000000.0,0.5465878891971158
25.0,338445100000000.0,550320952000000.0,0.6191966387122986
30.0,287574028400000.0,601654439000000.0,0.6766027641458299
35.0,247490807400000.0,641977348000000.0,0.721754167479215
40.0,213885465200000.0,676405649000000.0,0.7597578345009164
45.0,177926290900000.0,711047884000000.0,0.7998521262780048
50.0,152913985800000.0,739237894000000.0,0.8286009487148311
55.0,126348003600000.0,762986912000000.0,0.857929783950113
60.0,104983970000000.0,784600068000000.0,0.8819853262699842
65.0,86183113470000.0,800409808000000.0,0.9027929150087217
70.0,70611035650000.0,818870578000000.0,0.9206155196842725
75.0,52684697700000.0,836400689000000.0,0.9407428144831524
80.0,40039662930000.0,848516904000000.0,0.9549385324241779
85.0,26306624140000.0,863131285000000.0,0.9704233158159
90.0,16849507853000.0,872181555000000.0,0.9810473350628177
95.0,7637069222600.0,883260486000000.0,0.9914276684475896
100.0,0.0,887458966000000.0,1.0
