ratio,success,failure,failRate,totLatency
0,8.14875e+11,0,0,1.20478e-06
0.05,1.012e+12,2.68026e+08,0.000264778,1.20421e-06
0.1,8.91234e+11,6.13021e+10,0.0643567,1.20411e-06
0.15,8.13881e+11,0,0,1.20559e-06
0.2,9.1424e+11,11194.3,1.22444e-08,1.20389e-06
0.25,1.00657e+12,6.08489e+09,0.00600883,1.20344e-06
0.3,8.15939e+11,1.98718e+06,2.43544e-06,1.20431e-06
0.35,9.44186e+11,1.1371e+10,0.0118999,1.20425e-06
0.4,1.01778e+12,5.69259e+08,0.000559003,1.19825e-06
0.45,8.08456e+11,6.09739e+08,0.000753633,1.20362e-06
0.5,9.56155e+11,1.61935e+09,0.00169075,1.20184e-06
0.55,8.5644e+11,1.73841e+09,0.0020257,1.19177e-06
0.6,9.04401e+11,7.31583e+09,0.00802424,1.19925e-06
0.65,8.18805e+11,8.32991e+08,0.00101629,1.19682e-06
0.7,8.51149e+11,5.42348e+10,0.0599025,1.1854e-06
0.75,7.91498e+11,1.05003e+10,0.0130926,1.18893e-06
0.8,1.00728e+12,8.76694e+09,0.00862844,1.19761e-06
0.85,1.01095e+12,1.54017e+08,0.000152325,1.20101e-06
0.9,9.92461e+11,2.44791e+10,0.0240714,1.16938e-06
0.95,8.04498e+11,4.75502e+09,0.00587581,1.18969e-06
1,9.35973e+11,6.49158e+10,0.0648581,1.18354e-06
2,7.87663e+11,8.0407e+10,0.0926274,1.12028e-06
3,9.12156e+11,9.99734e+10,0.0987754,9.7225e-07
4,9.68626e+11,4.08765e+10,0.0404917,9.7594e-07
5,8.95233e+11,1.23319e+11,0.121073,9.2103e-07
6,5.1577e+11,3.90264e+11,0.430739,8.4962e-07
7,6.94329e+11,3.24003e+11,0.31817,8.1165e-07
8,5.8214e+11,4.32157e+11,0.426066,8.0944e-07
9,4.84674e+11,4.26849e+11,0.468281,7.8603e-07
10,6.15491e+11,3.91139e+11,0.388562,6.2684e-07
12,3.01489e+11,6.08638e+11,0.668739,5.7387e-07
14,3.50757e+11,4.68034e+11,0.571616,5.6368e-07
16,4.50757e+11,4.13056e+11,0.478177,6.8038e-07
18,6.13275e+11,3.95932e+11,0.39232,4.8633e-07
20,3.25219e+11,6.94153e+11,0.680962,5.1091e-07
25,3.49551e+11,5.50756e+11,0.611743,3.4072e-07
30,2.83206e+11,6.34913e+11,0.691536,2.3792e-07
35,3.47539e+11,6.57617e+11,0.654244,2.1743e-07
40,9.61178e+10,7.03527e+11,0.879799,1.8821e-07
45,8.02116e+10,9.25128e+11,0.920214,1.8772e-07
50,6.33871e+10,9.40546e+11,0.936861,1.7221e-07
55,9.87103e+10,7.16343e+11,0.878891,1.4821e-07
60,2.64444e+10,7.91159e+11,0.967656,7.631e-08
65,9.16967e+10,9.20395e+11,0.909399,6.125e-08
70,1.70035e+11,8.4043e+11,0.831726,1.4662e-07
75,1.57477e+10,9.37864e+11,0.983486,4.426e-08
80,1.59706e+10,8.01388e+11,0.980461,2.969e-08
85,7.34119e+09,9.57912e+11,0.992395,3.557e-08
90,3.89595e+09,1.01605e+12,0.99618,2.093e-08
95,7.41704e+08,1.01344e+12,0.999269,3.37e-09
100,0,1.0066e+12,1,0
