ratio,success,failure,failRate,totLatency
0,1.01302e+12,0,0,1.20606e-06
0.05,9.11883e+11,6.80632e+08,0.000745845,1.19959e-06
0.1,1.01201e+12,0,0,1.20645e-06
0.15,9.05073e+11,1.72166e+07,1.9022e-05,1.20645e-06
0.2,1.01497e+12,8.77369e+06,8.64422e-06,1.20562e-06
0.25,9.91488e+11,1.97074e+09,0.00198372,1.20507e-06
0.3,9.93881e+11,2.80594e+08,0.000282241,1.18966e-06
0.35,1.0148e+12,1.37755e+08,0.000135727,1.20627e-06
0.4,8.0096e+11,3.08253e+09,0.00383378,1.1991e-06
0.45,9.95034e+11,1.46748e+09,0.00147263,1.20123e-06
0.5,1.01628e+12,8.69955e+07,8.55944e-05,1.20212e-06
0.55,1.01801e+12,1.99067e+08,0.000195507,1.19814e-06
0.6,9.52738e+11,4.94118e+07,5.18602e-05,1.20463e-06
0.65,9.4987e+11,1.19487e+07,1.25792e-05,1.20209e-06
0.7,1.01385e+12,4.69493e+08,0.000462867,1.1989e-06
0.75,1.00263e+12,3.65018e+07,3.64048e-05,1.20338e-06
0.8,9.91043e+11,1.87236e+10,0.0185425,1.19827e-06
0.85,8.99091e+11,4.0462e+10,0.0430652,1.17039e-06
0.9,9.02423e+11,2.18736e+09,0.00241801,1.19241e-06
0.95,7.73892e+11,2.9913e+10,0.0372143,1.18825e-06
1,9.57749e+11,4.18144e+09,0.00434692,1.19364e-06
2,9.86676e+11,1.66397e+10,0.0165847,1.13374e-06
3,8.10817e+11,1.92296e+11,0.191699,9.8156e-07
4,7.71597e+11,1.80039e+11,0.189188,9.3253e-07
5,7.06204e+11,2.05999e+11,0.225826,9.9871e-07
6,6.90495e+11,3.15879e+11,0.313878,1.07054e-06
7,6.4957e+11,1.68235e+11,0.205716,1.02197e-06
8,5.72391e+11,3.36454e+11,0.370199,7.4406e-07
9,5.45133e+11,3.15744e+11,0.36677,8.8003e-07
10,5.57989e+11,4.06917e+11,0.421716,6.8435e-07
12,5.53139e+11,3.04313e+11,0.354904,6.4738e-07
14,6.02904e+11,3.81796e+11,0.387728,6.737e-07
16,5.37095e+11,4.81086e+11,0.472496,6.7321e-07
18,5.58013e+11,4.56969e+11,0.450223,4.7476e-07
20,4.44215e+11,5.10462e+11,0.534696,4.9193e-07
25,4.38365e+11,5.7897e+11,0.569105,5.4765e-07
30,2.35857e+11,6.66803e+11,0.738709,4.0324e-07
35,2.08403e+11,8.03755e+11,0.7941,2.477e-07
40,1.8207e+11,6.30077e+11,0.775817,2.45e-07
45,2.65991e+11,7.54131e+11,0.739256,2.0334e-07
50,1.04953e+11,9.05632e+11,0.896147,1.6615e-07
55,8.8673e+10,7.25928e+11,0.891146,1.0302e-07
60,1.10797e+11,8.47973e+11,0.884439,6.437e-08
65,3.4372e+10,9.33683e+11,0.964494,8.046e-08
70,6.35285e+10,9.50008e+11,0.93732,7.102e-08
75,1.93292e+10,7.96455e+11,0.976306,3.963e-08
80,9.71126e+09,9.93931e+11,0.990324,3.17e-08
85,7.60778e+09,1.00712e+12,0.992503,3.457e-08
90,5.17349e+10,9.56439e+11,0.948685,9.92e-09
95,8.37963e+08,9.00307e+11,0.99907,5.62e-09
100,0,1.01634e+12,1,0
