ratio,success,failure,failRate,totLatency
0,9.15314e+11,0,0,1.20551e-06
0.05,8.0228e+11,4.90109e+09,0.00607186,1.18322e-06
0.1,1.0073e+12,6.04463e+08,0.00059972,1.20132e-06
0.15,9.03925e+11,1.01622e+10,0.0111173,1.19702e-06
0.2,7.82902e+11,3.18306e+10,0.0390687,1.18382e-06
0.25,9.64469e+11,3.88222e+10,0.0386948,1.1875e-06
0.3,7.72288e+11,1.24366e+11,0.1387,1.1777e-06
0.35,1.0079e+12,8.87582e+09,0.00872941,1.12363e-06
0.4,9.63841e+11,4.52099e+10,0.0448044,1.14884e-06
0.45,9.95037e+11,1.56213e+10,0.0154566,1.15451e-06
0.5,8.70622e+11,1.32622e+11,0.132193,1.17954e-06
0.55,9.79426e+11,2.2038e+10,0.0220058,1.18646e-06
0.6,9.88307e+11,1.62437e+10,0.0161701,1.11664e-06
0.65,9.62427e+11,5.76887e+10,0.0565512,1.14766e-06
0.7,9.72981e+11,3.8224e+10,0.0378004,1.11766e-06
0.75,8.65428e+11,4.73767e+10,0.0519024,1.1177e-06
0.8,8.53701e+11,5.42324e+10,0.0597317,1.15101e-06
0.85,9.47156e+11,6.1577e+10,0.0610439,1.12691e-06
0.9,7.63334e+11,4.25984e+10,0.0528561,1.13932e-06
0.95,7.70033e+11,4.09469e+10,0.0504906,1.17456e-06
1,7.41993e+11,6.2593e+10,0.0777952,1.07882e-06
2,6.82434e+11,1.30991e+11,0.161036,9.9559e-07
3,7.50646e+11,2.23047e+11,0.229074,9.1642e-07
4,7.19941e+11,2.85224e+11,0.283759,9.2776e-07
5,6.41324e+11,2.85879e+11,0.308324,9.7348e-07
6,7.11168e+11,3.07294e+11,0.301723,8.9389e-07
7,6.80492e+11,3.14955e+11,0.316395,7.0828e-07
8,6.08004e+11,3.57647e+11,0.370369,6.319e-07
9,5.21745e+11,1.89237e+11,0.266163,6.1966e-07
10,3.74178e+11,4.42465e+11,0.54181,6.9559e-07
12,3.12477e+11,5.03025e+11,0.616828,5.5588e-07
14,3.70272e+11,4.97738e+11,0.573424,4.2664e-07
16,6.43166e+11,3.63516e+11,0.361103,4.5066e-07
18,2.8559e+11,5.22932e+11,0.646775,3.8189e-07
20,3.08608e+11,6.5681e+11,0.680337,4.4197e-07
25,2.51919e+11,7.60667e+11,0.751212,2.2574e-07
30,2.77587e+11,7.29842e+11,0.72446,1.7549e-07
35,8.34144e+10,8.10713e+11,0.906709,2.3782e-07
40,2.30946e+11,5.29986e+11,0.696495,1.1666e-07
45,2.5797e+11,7.53771e+11,0.745024,2.0895e-07
50,2.17457e+11,7.92587e+11,0.784705,1.8879e-07
55,5.25298e+10,7.49459e+11,0.934501,7.745e-08
60,7.59258e+10,9.321e+11,0.924679,5.211e-08
65,3.50206e+10,8.81971e+11,0.961809,4.165e-08
70,1.11724e+11,8.94409e+11,0.888957,3.397e-08
75,1.97907e+10,9.94043e+11,0.980479,2.722e-08
80,4.00724e+10,8.12455e+11,0.952996,3.232e-08
85,9.71756e+10,7.69845e+11,0.88792,2.726e-08
90,2.37017e+10,8.92098e+11,0.974119,4.4e-09
95,1.71318e+08,9.54367e+11,0.999821,1.99e-09
100,0,1.01175e+12,1,0
