ratio,success,failure,failRate,totLatency
0,1.01493e+12,0,0,1.20509e-06
0.05,1.01018e+12,7.52295e+08,0.000744162,1.20221e-06
0.1,8.94158e+11,1.45784e+10,0.0160425,1.13681e-06
0.15,9.96844e+11,7.95756e+09,0.00791954,1.20028e-06
0.2,9.0183e+11,4.04777e+10,0.0429559,1.14487e-06
0.25,8.72029e+11,1.36683e+11,0.135503,1.19653e-06
0.3,7.77604e+11,7.19861e+09,0.00917251,1.20081e-06
0.35,8.63649e+11,5.08367e+10,0.0555905,1.10998e-06
0.4,8.27033e+11,1.42529e+11,0.147004,1.1837e-06
0.45,9.27291e+11,3.07635e+10,0.0321104,1.11457e-06
0.5,8.76847e+11,3.47498e+10,0.0381197,1.1144e-06
0.55,7.74253e+11,3.47156e+10,0.0429134,1.11215e-06
0.6,9.56735e+11,6.15251e+10,0.0604217,1.07671e-06
0.65,9.76179e+11,2.17363e+10,0.0217817,1.17642e-06
0.7,8.93844e+11,5.13679e+10,0.0543454,1.13248e-06
0.75,8.56447e+11,6.36321e+10,0.0691593,1.08093e-06
0.8,9.67219e+11,4.25685e+10,0.042156,1.09454e-06
0.85,9.46679e+11,6.86828e+10,0.0676436,1.0858e-06
0.9,9.36016e+11,7.27276e+10,0.0720972,1.09905e-06
0.95,9.91142e+11,1.92516e+10,0.0190535,1.16915e-06
1,8.85776e+11,2.20509e+10,0.0242897,1.16902e-06
2,8.13423e+11,1.93516e+11,0.192183,1.10392e-06
3,7.93279e+11,1.98178e+11,0.199886,8.7656e-07
4,7.69042e+11,2.52415e+11,0.247113,8.265e-07
5,7.36532e+11,2.67322e+11,0.266296,8.1924e-07
6,5.01407e+11,3.09539e+11,0.381701,9.5816e-07
7,6.88766e+11,2.7989e+11,0.288947,7.1213e-07
8,5.2907e+11,3.73057e+11,0.413531,7.8766e-07
9,4.73735e+11,4.29937e+11,0.475767,6.7085e-07
10,4.16455e+11,5.95733e+11,0.58856,6.5805e-07
12,3.54167e+11,4.97012e+11,0.58391,5.2119e-07
14,6.00668e+11,4.11979e+11,0.406834,4.8697e-07
16,4.26411e+11,4.7717e+11,0.528088,6.0887e-07
18,3.48089e+11,6.58485e+11,0.654184,4.7691e-07
20,2.6898e+11,6.46793e+11,0.706281,3.0512e-07
25,3.33588e+11,6.76451e+11,0.669728,3.3465e-07
30,1.16246e+11,8.98898e+11,0.885488,2.1874e-07
35,2.01542e+11,7.02266e+11,0.777008,1.8406e-07
40,8.91357e+10,8.2661e+11,0.902663,1.1761e-07
45,8.35294e+10,9.26349e+11,0.917288,1.3038e-07
50,1.02475e+11,9.01164e+11,0.897897,1.5853e-07
55,8.65463e+10,8.26231e+11,0.905183,1.5848e-07
60,2.43466e+10,9.60211e+11,0.975272,7.247e-08
65,7.46515e+10,8.87739e+11,0.922431,5.625e-08
70,8.59042e+10,9.30157e+11,0.915454,4.877e-08
75,7.03048e+10,9.4373e+11,0.930668,2.184e-08
80,8.64286e+10,8.30209e+11,0.905711,2.448e-08
85,2.04341e+09,1.01563e+12,0.997992,1.792e-08
90,3.42175e+08,9.13003e+11,0.999625,3.12e-09
95,3.3665e+09,1.00835e+12,0.996672,2e-09
100,0,6.16946e+11,1,0
