ratio,success,failure,failRate,totLatency
0,1.00484e+12,0,0,1.20255e-06
0.05,9.87445e+11,2.96968e+10,0.0291963,1.12322e-06
0.1,8.69991e+11,1.44003e+10,0.0162827,1.13015e-06
0.15,8.40394e+11,5.84809e+10,0.0650602,1.11734e-06
0.2,9.65123e+11,5.03693e+10,0.0496009,1.08722e-06
0.25,8.53693e+11,1.67164e+11,0.163749,1.08314e-06
0.3,1.00437e+12,1.01349e+10,0.00998998,1.1558e-06
0.35,8.07641e+11,6.14841e+10,0.0707425,1.08785e-06
0.4,9.77747e+11,2.74262e+10,0.0272851,1.12386e-06
0.45,8.64278e+11,1.42464e+11,0.14151,1.10042e-06
0.5,9.77553e+11,4.04478e+10,0.0397326,1.13294e-06
0.55,9.21576e+11,8.50612e+10,0.0845004,1.04903e-06
0.6,9.6433e+11,3.30069e+10,0.033095,1.17155e-06
0.65,9.49877e+11,1.68701e+10,0.0174504,1.17263e-06
0.7,8.8809e+11,1.81392e+10,0.0200162,1.17315e-06
0.75,9.5435e+11,4.4461e+10,0.044514,1.16701e-06
0.8,7.99267e+11,1.02829e+11,0.113989,1.04449e-06
0.85,9.83246e+11,1.76882e+10,0.0176717,1.13747e-06
0.9,9.31577e+11,7.65069e+10,0.0758934,1.01818e-06
0.95,7.28167e+11,8.17121e+10,0.100894,1.00749e-06
1,8.75236e+11,1.43787e+11,0.141103,1.06414e-06
2,8.91898e+11,1.27023e+11,0.124665,9.993e-07
3,6.51324e+11,2.0785e+11,0.241919,1.03972e-06
4,7.47389e+11,2.55045e+11,0.254426,9.4459e-07
5,5.38132e+11,2.79335e+11,0.341708,8.3339e-07
6,5.74995e+11,3.81072e+11,0.398583,7.6648e-07
7,8.37437e+11,1.80784e+11,0.177549,8.2879e-07
8,5.91602e+11,3.06394e+11,0.341198,5.4656e-07
9,4.92987e+11,5.16779e+11,0.511781,5.5082e-07
10,6.54549e+11,3.45185e+11,0.345277,7.9974e-07
12,4.45691e+11,4.13323e+11,0.48116,7.1411e-07
14,4.39982e+11,5.28861e+11,0.545869,6.4404e-07
16,3.70754e+11,6.31335e+11,0.630019,3.735e-07
18,4.37341e+11,5.76859e+11,0.568782,4.191e-07
20,3.74235e+11,4.2843e+11,0.53376,4.7575e-07
25,4.41283e+11,5.62966e+11,0.560584,3.519e-07
30,1.12836e+11,6.87424e+11,0.859001,2.5278e-07
35,1.25592e+11,8.91641e+11,0.876536,2.7857e-07
40,2.4601e+11,7.57172e+11,0.75477,1.6714e-07
45,9.58514e+10,9.00195e+11,0.903768,1.4954e-07
50,5.91286e+10,9.4283e+11,0.940987,1.1083e-07
55,7.79353e+10,8.38625e+11,0.91497,9.181e-08
60,2.83832e+10,9.74687e+11,0.971704,6.964e-08
65,2.96027e+10,9.83728e+11,0.970787,2.9e-08
70,1.98157e+11,8.19477e+11,0.805277,6.806e-08
75,1.93174e+10,9.96769e+11,0.980988,2.887e-08
80,4.52638e+09,1.013e+12,0.995552,2.17e-08
85,2.31823e+10,8.95334e+11,0.974761,2.698e-08
90,6.69041e+09,1.01006e+12,0.99342,8.87e-09
95,2.24251e+09,8.61084e+11,0.997402,2.51e-09
100,0,1.01292e+12,1,0
