ratio,success,failure,failRate,totLatency
0,8.92035e+11,0,0,1.20635e-06
0.05,8.75423e+11,2.10516e+10,0.0234826,1.17477e-06
0.1,9.27821e+11,9.32476e+10,0.0913236,1.12216e-06
0.15,6.57319e+11,1.62132e+11,0.197854,1.11859e-06
0.2,1.00106e+12,1.26624e+10,0.012491,1.16484e-06
0.25,9.94535e+11,1.49128e+10,0.0147732,1.18115e-06
0.3,9.90386e+11,2.69164e+10,0.0264586,1.15619e-06
0.35,9.36863e+11,7.75608e+10,0.076458,1.15063e-06
0.4,9.86396e+11,2.38771e+10,0.0236342,1.14469e-06
0.45,5.43101e+11,1.62481e+10,0.0290482,1.13664e-06
0.5,8.7872e+11,3.91729e+10,0.0426769,1.1556e-06
0.55,9.78599e+11,4.19671e+10,0.0411214,1.16515e-06
0.6,9.43338e+11,5.88718e+10,0.058742,1.16598e-06
0.65,8.96064e+11,2.24892e+10,0.0244832,1.14272e-06
0.7,8.90715e+11,1.27122e+11,0.124895,1.11572e-06
0.75,9.89164e+11,1.51762e+10,0.0151107,1.14315e-06
0.8,8.31483e+11,7.53248e+10,0.0830659,1.13346e-06
0.85,9.42173e+11,6.36171e+10,0.0632509,1.1336e-06
0.9,9.30652e+11,2.53016e+10,0.0264674,1.07965e-06
0.95,8.18438e+11,5.30689e+10,0.0608932,1.13615e-06
1,8.56396e+11,4.16496e+10,0.0463781,1.13103e-06
2,8.38641e+11,1.67348e+11,0.166352,1.09539e-06
3,6.65447e+11,3.4537e+11,0.341674,1.07509e-06
4,8.3976e+11,1.60159e+11,0.160172,8.7449e-07
5,6.84471e+11,3.27933e+11,0.323915,9.3755e-07
6,5.41301e+11,2.68678e+11,0.33171,9.5992e-07
7,7.31076e+11,2.7337e+11,0.27216,7.1866e-07
8,4.70626e+11,3.33972e+11,0.415079,6.7804e-07
9,5.78523e+11,4.37823e+11,0.430781,6.4849e-07
10,4.49683e+11,4.93521e+11,0.523239,5.8957e-07
12,5.09984e+11,2.9204e+11,0.364129,6.0929e-07
14,4.03408e+11,4.0684e+11,0.502118,5.4504e-07
16,4.36627e+11,4.73188e+11,0.520092,6.8639e-07
18,4.46925e+11,5.61859e+11,0.556967,6.6588e-07
20,3.64398e+11,6.47436e+11,0.639864,3.2596e-07
25,1.37573e+11,8.82038e+11,0.865073,3.0275e-07
30,1.77511e+11,6.7374e+11,0.79147,1.8939e-07
35,1.18689e+11,6.97258e+11,0.854538,1.7534e-07
40,1.55772e+11,7.05814e+11,0.819203,1.876e-07
45,2.46312e+11,7.70857e+11,0.757846,1.9769e-07
50,4.26037e+10,9.59815e+11,0.957499,1.0397e-07
55,7.93278e+10,9.28551e+11,0.921292,7.321e-08
60,2.36597e+10,9.28398e+11,0.975149,9.307e-08
65,3.434e+10,7.70863e+11,0.957352,8.001e-08
70,2.30047e+10,9.40675e+11,0.976128,5.738e-08
75,2.18211e+11,7.92299e+11,0.784059,4e-08
80,1.23952e+11,8.9238e+11,0.87804,2.65e-08
85,1.326e+10,9.46825e+11,0.986189,2.211e-08
90,3.60522e+09,9.96264e+11,0.996394,1.852e-08
95,3.46423e+08,9.11498e+11,0.99962,3.74e-09
100,0,8.64614e+11,1,0
