ratio,success,failure,failRate,totLatency
0,1.01774e+12,0,0,1.20109e-06
0.05,8.03581e+11,4.81271e+10,0.0565066,1.17327e-06
0.1,8.59625e+11,6.00172e+09,0.00693337,1.18492e-06
0.15,8.74954e+11,1.37479e+10,0.0154696,1.17882e-06
0.2,9.68105e+11,5.14893e+10,0.0504998,1.17582e-06
0.25,7.34086e+11,5.95291e+10,0.0750101,1.13812e-06
0.3,9.76395e+11,3.93323e+10,0.0387233,1.13957e-06
0.35,8.19555e+11,9.29339e+10,0.101847,1.12763e-06
0.4,9.43353e+11,5.36719e+10,0.0538321,1.12311e-06
0.45,8.83661e+11,6.28339e+10,0.0663859,1.1248e-06
0.5,9.58287e+11,5.61099e+10,0.0553135,1.11314e-06
0.55,8.8282e+11,1.74756e+10,0.0194109,1.13674e-06
0.6,9.30125e+11,3.52104e+10,0.0364748,1.10995e-06
0.65,7.71921e+11,1.34725e+11,0.148597,1.09127e-06
0.7,6.94629e+11,1.96005e+11,0.220074,1.09089e-06
0.75,8.44459e+11,1.70758e+11,0.168198,1.16438e-06
0.8,7.96761e+11,5.00564e+10,0.0591112,1.14974e-06
0.85,9.75546e+11,2.96172e+10,0.0294651,1.09227e-06
0.9,8.31037e+11,3.38669e+10,0.0391568,1.06358e-06
0.95,9.41437e+11,7.21571e+10,0.0711893,1.05248e-06
1,9.09323e+11,9.07729e+10,0.0907642,1.10748e-06
2,8.3302e+11,1.29159e+11,0.134236,9.9832e-07
3,7.42414e+11,2.55999e+11,0.256406,8.6034e-07
4,6.74182e+11,3.3385e+11,0.33119,7.8042e-07
5,6.16121e+11,3.01338e+11,0.328448,7.198e-07
6,6.97975e+11,2.69866e+11,0.278833,6.7043e-07
7,4.2172e+11,3.97357e+11,0.485128,5.4178e-07
8,5.31138e+11,4.8059e+11,0.475019,4.9753e-07
9,5.10402e+11,4.95369e+11,0.492527,4.2595e-07
10,4.24825e+11,5.87181e+11,0.580215,3.768e-07
12,4.77934e+11,5.3651e+11,0.528871,3.4797e-07
14,3.5359e+11,6.63866e+11,0.652476,3.2285e-07
16,1.45745e+11,6.70779e+11,0.821506,2.3361e-07
18,2.40894e+11,7.21521e+11,0.749698,2.135e-07
20,1.36359e+11,7.78106e+11,0.850886,1.8569e-07
25,1.41821e+11,7.23129e+11,0.836035,1.3857e-07
30,2.21158e+11,7.32523e+11,0.768101,1.0618e-07
35,9.0618e+10,9.25969e+11,0.91086,7.672e-08
40,4.31708e+10,7.55076e+11,0.945918,6.483e-08
45,4.25829e+10,7.69883e+11,0.947588,5.541e-08
50,2.7968e+10,8.77959e+11,0.969128,4.242e-08
55,2.06932e+10,9.87927e+11,0.979484,4.149e-08
60,1.09425e+11,9.06335e+11,0.892273,3.502e-08
65,6.37977e+10,9.34562e+11,0.936097,2.531e-08
70,1.05904e+11,8.55567e+11,0.889852,2.028e-08
75,1.02813e+11,9.10772e+11,0.898565,1.652e-08
80,5.89271e+10,9.06343e+11,0.938953,1.645e-08
85,2.73849e+09,1.0097e+12,0.997295,1.202e-08
90,2.71798e+09,1.01389e+12,0.997326,4.04e-09
95,3.91687e+08,1.00095e+12,0.999609,1.54e-09
100,0,8.62906e+11,1,0
