ratio,success,fail,fail_rate
0.0,15581362000000.0,0.0,0.0
0.05,16040446000000.0,58402339600.0,0.0036277340073042202
0.1,16151844000000.0,118997002000.0,0.007313512681082248
0.15,16139709000000.0,311777260000.0,0.01895131267003228
0.2,15535717000000.0,394328840000.0,0.024753779365144626
0.25,15979344000000.0,470632230000.0,0.02860990334695456
0.3,15959979000000.0,473771560000.0,0.028829180427818298
0.35,15242508000000.0,511295630000.0,0.03245537661941772
0.4,15134511000000.0,850214310000.0,0.053189172382468675
0.45,15996045000000.0,699004330000.0,0.04186895864655705
0.5,15159115000000.0,1022537500000.0,0.06319116666236653
0.55,15813912000000.0,918191200000.0,0.05487601821628736
0.6,15172412000000.0,942066730000.0,0.058460887614451555
0.65,14942093000000.0,1047871710000.0,0.06553308459428113
0.7,15284887000000.0,848001100000.0,0.05256350225351157
0.75,15309375000000.0,942062600000.0,0.05796795478573539
0.8,14795804000000.0,1205003800000.0,0.07530893534012702
0.85,15061935000000.0,1280533500000.0,0.07835618590912383
0.9,13958423000000.0,1574413300000.0,0.101360322711957
0.95,13866876000000.0,1353999000000.0,0.08895671240976619
1.0,13595538000000.0,1691356000000.0,0.11064091894664803
2.0,12131204000000.0,2890620000000.0,0.19242803004482012
3.0,10987578000000.0,4230570000000.0,0.27799506221124937
4.0,10279899000000.0,4921886000000.0,0.32377026776789697
5.0,8435838000000.0,6103957000000.0,0.41981038934868065
6.0,8828706000000.0,6583795000000.0,0.4271723972637536
7.0,8225062000000.0,7573564000000.0,0.4793811816293392
8.0,7182199000000.0,8125714000000.0,0.5308178848416502
9.0,6581204000000.0,8782475000000.0,0.5716387982331576
10.0,6398641000000.0,8846433000000.0,0.5802814076205861
12.0,6057315000000.0,9554725000000.0,0.61201002559563
14.0,4829315000000.0,10291620000000.0,0.6806206097704937
16.0,4262779000000.0,11032515000000.0,0.7213012708353301
18.0,3713664300000.0,11763917000000.0,0.7600617158444517
20.0,2991320400000.0,12087419000000.0,0.8016199948385606
25.0,2498540400000.0,12856966000000.0,0.8372870073500148
30.0,2528836600000.0,13013388000000.0,0.8372924941517059
35.0,1704273500000.0,13675163000000.0,0.8891849190963531
40.0,1451828300000.0,13626126000000.0,0.9037118516800385
45.0,1335159900000.0,13854300000000.0,0.9120995803148998
50.0,1102185100000.0,14122009000000.0,0.9276030578196582
55.0,698594660000.0,14613461000000.0,0.9543761676738837
60.0,733675620000.0,14248468000000.0,0.9510299968676978
65.0,580676000000.0,14153879000000.0,0.960590869557988
70.0,513350610000.0,14732208000000.0,0.9663278582876407
75.0,215039880000.0,14660326000000.0,0.9855438930554896
80.0,518047740000.0,14534184000000.0,0.9655833268482484
85.0,185938306000.0,14780370000000.0,0.987576207692751
90.0,51404723000.0,15034246000000.0,0.9965924755952604
95.0,29486314000.0,15151255000000.0,0.9980576499269632
100.0,0.0,14352255000000.0,1.0
