ratio,success,failure,failRate,totLatency
0,1.0194e+12,0,0,1.20514e-06
0.05,8.86234e+11,1.84372e+10,0.02038,1.15151e-06
0.1,9.94224e+11,1.05934e+10,0.0105426,1.19508e-06
0.15,1.00304e+12,8.44048e+09,0.00834468,1.17652e-06
0.2,9.24779e+11,9.00079e+10,0.0886964,1.12546e-06
0.25,1.00096e+12,1.58552e+10,0.0155931,1.19542e-06
0.3,9.58195e+11,8.47119e+09,0.0087633,1.19108e-06
0.35,8.13841e+11,1.95596e+11,0.193768,1.11241e-06
0.4,7.86883e+11,2.14039e+11,0.213842,1.11258e-06
0.45,9.64876e+11,4.82873e+10,0.0476599,1.17858e-06
0.5,8.56375e+11,1.61084e+11,0.15832,1.1218e-06
0.55,9.02535e+11,1.13448e+11,0.111664,1.12661e-06
0.6,8.45536e+11,1.65065e+11,0.163333,1.09651e-06
0.65,9.17392e+11,1.01631e+11,0.0997334,1.16371e-06
0.7,8.57987e+11,1.4717e+11,0.146415,1.02679e-06
0.75,7.75492e+11,2.31738e+11,0.230075,1.10369e-06
0.8,8.78496e+11,1.41642e+11,0.138846,1.15017e-06
0.85,7.47337e+11,1.68569e+11,0.184046,1.00073e-06
0.9,6.444e+11,1.59952e+11,0.198858,1.12242e-06
0.95,6.86283e+11,1.25721e+11,0.154828,1.10022e-06
1,8.34328e+11,7.40192e+10,0.0814877,1.13767e-06
2,7.84754e+11,2.33723e+11,0.229483,8.7807e-07
3,6.4217e+11,2.70869e+11,0.296667,9.322e-07
4,6.33194e+11,3.69695e+11,0.36863,8.8022e-07
5,3.62821e+11,4.48918e+11,0.553032,8.3071e-07
6,5.58364e+11,4.45187e+11,0.443612,7.2533e-07
7,6.04586e+11,4.13034e+11,0.405882,7.5781e-07
8,3.97187e+11,5.15537e+11,0.564834,7.14e-07
9,5.24516e+11,4.91594e+11,0.4838,7.1617e-07
10,4.05248e+11,6.13774e+11,0.602317,6.5712e-07
12,3.08107e+11,6.0901e+11,0.664048,6.1251e-07
14,3.06594e+11,5.51123e+11,0.642546,5.5835e-07
16,2.32415e+11,5.81528e+11,0.714458,5.3897e-07
18,3.25988e+11,6.90695e+11,0.679362,5.5169e-07
20,2.85595e+11,7.28747e+11,0.718443,5.0952e-07
25,3.80696e+11,6.23541e+11,0.62091,3.8823e-07
30,1.34756e+11,6.70903e+11,0.832738,3.4836e-07
35,9.21549e+10,9.25851e+11,0.909475,2.5181e-07
40,2.77285e+11,7.3775e+11,0.726822,2.0582e-07
45,1.16221e+11,8.82721e+11,0.883656,1.8714e-07
50,4.00586e+10,8.67582e+11,0.955865,1.5524e-07
55,4.38335e+10,7.48868e+11,0.944704,1.2694e-07
60,2.78333e+10,9.74754e+11,0.972239,9.736e-08
65,1.44561e+10,9.05921e+11,0.984293,7.988e-08
70,8.32303e+09,8.97773e+11,0.990814,5.307e-08
75,6.34182e+09,1.01183e+12,0.993771,3.673e-08
80,2.89695e+09,9.65825e+11,0.99701,2.698e-08
85,2.87539e+09,9.02744e+11,0.996825,1.849e-08
90,4.14905e+09,8.79655e+11,0.995305,8.2e-09
95,5.4043e+08,9.49411e+11,0.999431,3.3e-09
100,0,9.11346e+11,1,0
