ratio,success,failure,failRate,totLatency
0,9.17722e+11,0,0,1.20673e-06
0.05,9.1009e+11,1.99027e+07,2.18685e-05,1.20684e-06
0.1,1.00309e+12,1.35315e+10,0.0133102,1.18867e-06
0.15,8.09562e+11,6.48476e+09,0.00794656,1.19222e-06
0.2,9.75809e+11,4.17793e+10,0.0410572,1.15491e-06
0.25,9.3018e+11,2.80136e+10,0.0292358,1.18981e-06
0.3,9.54676e+11,6.39404e+10,0.0627718,1.16104e-06
0.35,9.77878e+11,2.91318e+10,0.028929,1.18781e-06
0.4,9.24947e+11,2.11418e+10,0.0223465,1.15684e-06
0.45,9.3324e+11,8.28421e+10,0.0815309,1.18289e-06
0.5,9.26419e+11,6.80815e+10,0.068458,1.09287e-06
0.55,7.94857e+11,1.21965e+11,0.13303,1.05456e-06
0.6,9.55138e+11,4.67175e+10,0.046631,1.08385e-06
0.65,7.90693e+11,7.15686e+10,0.083001,1.07719e-06
0.7,7.92677e+11,1.79679e+11,0.184787,1.08326e-06
0.75,8.01357e+11,2.0907e+11,0.206913,1.00209e-06
0.8,8.08769e+11,8.73948e+10,0.097521,1.09446e-06
0.85,9.46016e+11,6.36072e+10,0.0630009,1.09628e-06
0.9,5.4156e+11,2.73558e+11,0.335605,1.0481e-06
0.95,6.32369e+11,1.73246e+11,0.215048,1.07712e-06
1,6.82492e+11,2.12635e+11,0.237547,9.6907e-07
2,7.02554e+11,2.56782e+11,0.267666,9.55e-07
3,5.40007e+11,3.59681e+11,0.399785,8.8151e-07
4,3.01944e+11,3.00642e+11,0.49892,7.7884e-07
5,5.9273e+11,4.23873e+11,0.41695,7.2739e-07
6,4.98365e+11,4.02278e+11,0.446657,7.9333e-07
7,3.35795e+11,4.78757e+11,0.587755,7.5627e-07
8,4.02729e+11,6.02837e+11,0.5995,6.9042e-07
9,4.11236e+11,6.08162e+11,0.596589,6.6481e-07
10,5.59782e+11,4.39529e+11,0.439832,6.234e-07
12,5.04517e+11,5.09073e+11,0.502247,5.534e-07
14,3.61996e+11,6.32002e+11,0.635818,5.3995e-07
16,4.54904e+11,5.63258e+11,0.553211,5.5837e-07
18,2.82627e+11,5.78094e+11,0.671639,5.1936e-07
20,2.23276e+11,5.91064e+11,0.725819,4.7274e-07
25,2.64513e+11,7.53937e+11,0.740279,4.0283e-07
30,1.7727e+11,7.40358e+11,0.806817,3.5823e-07
35,1.35555e+11,7.63483e+11,0.849223,3.0763e-07
40,2.56858e+11,7.53518e+11,0.74578,2.4078e-07
45,7.18144e+10,9.42654e+11,0.92921,1.7664e-07
50,1.08219e+11,9.08144e+11,0.893523,1.5489e-07
55,4.58583e+10,9.21475e+11,0.952593,1.3948e-07
60,3.57726e+10,8.54027e+11,0.959797,1.1274e-07
65,1.62211e+10,8.70686e+11,0.981711,8.069e-08
70,1.29052e+10,1.00289e+12,0.987295,5.433e-08
75,7.22727e+10,8.28502e+11,0.919766,4.863e-08
80,1.28068e+10,9.02642e+11,0.98601,3.415e-08
85,1.59247e+09,1.01119e+12,0.998428,1.37e-08
90,1.03385e+09,1.00643e+12,0.998974,8.16e-09
95,1.311e+09,1.01081e+12,0.998705,3.3e-09
100,0,1.01662e+12,1,0
