ratio,success,failure,failRate,totLatency
0,9.61049e+11,0,0,1.20516e-06
0.05,1.01217e+12,2.92894e+08,0.000289288,1.18618e-06
0.1,9.96364e+11,8.99419e+09,0.00894626,1.19778e-06
0.15,1.00201e+12,4.60732e+09,0.00457701,1.17295e-06
0.2,9.0159e+11,7.02263e+08,0.00077831,1.20023e-06
0.25,1.00419e+12,1.34915e+10,0.0132571,1.19599e-06
0.3,9.85643e+11,2.42464e+10,0.024009,1.18653e-06
0.35,9.52679e+11,6.57384e+10,0.0645496,1.15181e-06
0.4,7.9542e+11,1.13017e+11,0.124408,1.16046e-06
0.45,6.54324e+11,2.00357e+11,0.234423,1.09355e-06
0.5,6.49503e+11,1.99574e+11,0.235048,1.01177e-06
0.55,6.38446e+11,1.77256e+11,0.217305,1.10726e-06
0.6,5.51039e+11,2.48606e+11,0.310895,1.09877e-06
0.65,9.40617e+11,6.31266e+10,0.0628912,1.09797e-06
0.7,5.97923e+11,2.1715e+11,0.266418,1.05336e-06
0.75,7.8381e+11,2.32773e+11,0.228976,1.08163e-06
0.8,9.60658e+11,5.21058e+10,0.0514492,1.08157e-06
0.85,6.51519e+11,1.62265e+11,0.199396,1.03745e-06
0.9,6.88446e+11,3.25e+11,0.320688,9.1967e-07
0.95,8.18055e+11,1.82711e+11,0.182571,1.01964e-06
1,8.048e+11,2.09746e+11,0.206739,1.01626e-06
2,6.4934e+11,3.49972e+11,0.350213,9.6074e-07
3,6.20944e+11,3.82588e+11,0.381241,8.7873e-07
4,4.51091e+11,4.00326e+11,0.470188,8.5763e-07
5,5.65407e+11,4.49209e+11,0.442738,7.6899e-07
6,4.90061e+11,5.13762e+11,0.511805,8.012e-07
7,5.39593e+11,4.27678e+11,0.442149,7.1522e-07
8,3.64255e+11,5.01579e+11,0.579302,6.7308e-07
9,4.03622e+11,5.98515e+11,0.597239,6.9795e-07
10,2.66328e+11,5.4342e+11,0.671097,6.3938e-07
12,3.94308e+11,5.53248e+11,0.583868,6.3073e-07
14,2.39311e+11,5.56986e+11,0.69947,5.6783e-07
16,2.90175e+11,5.53383e+11,0.656011,5.2358e-07
18,1.68407e+11,6.46794e+11,0.793416,5.1273e-07
20,4.3808e+11,5.74993e+11,0.567573,4.8163e-07
25,3.84601e+11,6.337e+11,0.622311,3.843e-07
30,2.09468e+11,7.46601e+11,0.780907,3.612e-07
35,1.18793e+11,8.79655e+11,0.881022,3.0792e-07
40,1.01722e+11,9.12018e+11,0.899657,2.3501e-07
45,1.02695e+11,8.82326e+11,0.895743,2.4268e-07
50,1.39603e+11,8.61686e+11,0.860577,1.6774e-07
55,4.06235e+10,9.5669e+11,0.959267,1.2947e-07
60,7.32923e+10,8.36852e+11,0.919472,9.261e-08
65,1.53514e+10,9.92948e+11,0.984775,7.966e-08
70,9.04224e+09,7.95324e+11,0.988759,5.058e-08
75,1.20127e+10,9.9809e+11,0.988107,3.177e-08
80,3.80939e+09,9.03184e+11,0.9958,2.532e-08
85,1.3813e+09,9.13307e+11,0.99849,1.347e-08
90,3.06214e+09,1.00231e+12,0.996954,7.58e-09
95,1.89889e+09,9.18234e+11,0.997936,3.66e-09
100,0,1.00063e+12,1,0
