ratio,success,failure,failRate,totLatency
0,8.18361e+11,0,0,1.20567e-06
0.05,9.10627e+11,4.00081e+08,0.000439154,1.20325e-06
0.1,1.01262e+12,5.55253e+09,0.00545344,1.19622e-06
0.15,1.00546e+12,3.26176e+09,0.00323355,1.20211e-06
0.2,8.32225e+11,1.67196e+10,0.0196945,1.18596e-06
0.25,9.11302e+11,5.25484e+09,0.00573324,1.19766e-06
0.3,8.4962e+11,1.63437e+11,0.16133,1.10394e-06
0.35,8.37374e+11,2.84889e+10,0.0329024,1.12422e-06
0.4,9.82196e+11,3.38989e+10,0.033362,1.09646e-06
0.45,7.18966e+11,1.00453e+11,0.12259,1.03763e-06
0.5,9.30185e+11,8.1998e+10,0.081011,1.14518e-06
0.55,7.4558e+11,1.52966e+11,0.170237,1.15437e-06
0.6,9.52429e+11,5.89941e+10,0.0583278,1.09939e-06
0.65,7.80416e+11,7.10901e+10,0.0834874,1.15484e-06
0.7,7.62893e+11,1.95805e+11,0.20424,1.05962e-06
0.75,8.30796e+11,1.74062e+11,0.173221,1.04153e-06
0.8,7.42708e+11,1.53412e+11,0.171196,1.04214e-06
0.85,8.93317e+11,1.12087e+11,0.111484,1.05194e-06
0.9,7.4302e+11,2.74457e+11,0.269743,9.9938e-07
0.95,9.31643e+11,4.67084e+10,0.0477419,1.1147e-06
1,5.7217e+11,2.29078e+11,0.285901,1.06427e-06
2,5.67522e+11,2.83919e+11,0.333457,8.6799e-07
3,4.84137e+11,3.74832e+11,0.436374,7.7024e-07
4,6.47338e+11,3.50251e+11,0.351097,8.0486e-07
5,6.27395e+11,3.90956e+11,0.383911,8.038e-07
6,4.5335e+11,4.50973e+11,0.498686,7.7979e-07
7,3.93255e+11,4.22325e+11,0.517821,7.0103e-07
8,2.71976e+11,3.97265e+11,0.593605,6.416e-07
9,3.52156e+11,5.03032e+11,0.588212,6.6186e-07
10,4.94111e+11,4.71799e+11,0.48845,6.8059e-07
12,3.73298e+11,6.42792e+11,0.632613,6.0494e-07
14,4.38183e+11,5.80258e+11,0.569751,5.563e-07
16,3.20222e+11,5.63316e+11,0.637569,5.5287e-07
18,2.09238e+11,5.9251e+11,0.739023,4.8977e-07
20,3.19938e+11,6.41012e+11,0.667061,4.7151e-07
25,1.83625e+11,8.33816e+11,0.819523,4.2568e-07
30,2.62013e+11,7.20422e+11,0.733302,3.4913e-07
35,1.79014e+11,6.79588e+11,0.791505,3.271e-07
40,3.08204e+11,7.03466e+11,0.695351,2.7104e-07
45,7.89808e+10,7.3047e+11,0.902427,2.0199e-07
50,3.94391e+10,7.69336e+11,0.951236,1.797e-07
55,2.85456e+10,9.19313e+11,0.969884,1.3078e-07
60,1.39197e+11,8.50624e+11,0.859371,1.0124e-07
65,2.18099e+10,9.84994e+11,0.978337,7.784e-08
70,8.6375e+09,9.55565e+11,0.991042,5.812e-08
75,4.82503e+09,1.01147e+12,0.995252,3.266e-08
80,1.65903e+09,9.61247e+11,0.998277,2.215e-08
85,1.22988e+09,9.53329e+11,0.998712,1.329e-08
90,5.50228e+09,1.00638e+12,0.994562,1.065e-08
95,1.06237e+09,1.00054e+12,0.998939,2.38e-09
100,0,8.01707e+11,1,0
