ratio,success,fail,fail_rate
0.0,1371001956000000.0,0.0,0.0
0.05,1347533108000000.0,23196332114602.0,0.01692261903462337
0.1,1337131703000000.0,34141637071920.0,0.024897761864260667
0.15,1315874295000000.0,55291771213500.0,0.04032463505036209
0.2,1302470295000000.0,66387353431000.0,0.04849836175959855
0.25,1292651324000000.0,86237058587000.0,0.06254100018248498
0.3,1267620406000000.0,106405666974000.0,0.07744079174836259
0.35,1261441570000000.0,112282783780000.0,0.08173603639699463
0.4,1244022386000000.0,126970922810000.0,0.09261235776577838
0.45,1235262473000000.0,140818381670000.0,0.10233292701668309
0.5,1224837404000000.0,151487969310000.0,0.11006697416736445
0.55,1203519345000000.0,166754092190000.0,0.12169402665497203
0.6,1197459013000000.0,175920187240000.0,0.1280929456404012
0.65,1182829242000000.0,194869797490000.0,0.14144583969669994
0.7,1164767258000000.0,206801186130000.0,0.15077715371410147
0.75,1158054065000000.0,215005167100000.0,0.15658841372135443
0.8,1151281065000000.0,221923424300000.0,0.1616098884246489
0.85,1139935670000000.0,231774029700000.0,0.1689672601649534
0.9,1125453251000000.0,245812188100000.0,0.17925937684343116
0.95,1125174661000000.0,250837003600000.0,0.18229278868280316
1.0,1114816029000000.0,257147983000000.0,0.18743055994970223
2.0,979259265000000.0,393272206700000.0,0.2865305567185997
3.0,899025537000000.0,472709419000000.0,0.34460696429172283
4.0,840195987000000.0,534214895000000.0,0.3886864561364845
5.0,791640981000000.0,578130675000000.0,0.4220635406402365
6.0,752772257000000.0,615987825000000.0,0.4500334522467466
7.0,718557982000000.0,650522184000000.0,0.4751527340437711
8.0,688591809000000.0,682966588000000.0,0.49794933230247285
9.0,657495064000000.0,714602927000000.0,0.5208104171038029
10.0,636721080000000.0,737064849000000.0,0.5365208897841317
12.0,590947922000000.0,782552433000000.0,0.5697504410182697
14.0,550368754000000.0,821725573000000.0,0.5988841705924494
16.0,517292322000000.0,851561473000000.0,0.622098193474344
18.0,489471917000000.0,888108582000000.0,0.6446872488719805
20.0,455108473000000.0,915393242000000.0,0.6679256450255519
25.0,388405374000000.0,990758165000000.0,0.7183761294315946
30.0,321415570800000.0,1047683413000000.0,0.7652356954440974
35.0,263429144600000.0,1109882454000000.0,0.8081796258995056
40.0,210774524200000.0,1159539374000000.0,0.846185224803699
45.0,163303582800000.0,1208172705000000.0,0.8809286137480677
50.0,122073756800000.0,1245803350000000.0,0.9107567805666561
55.0,92661615400000.0,1280486177000000.0,0.9325188330689116
60.0,69247118770000.0,1303254685000000.0,0.9495467921573645
65.0,47877420240000.0,1321527551000000.0,0.9650377928768238
70.0,32210268790000.0,1342067438000000.0,0.9765620379120928
75.0,20907302060000.0,1352148139000000.0,0.9847731552311831
80.0,14595708303000.0,1362208476000000.0,0.9893988495463579
85.0,9366652974000.0,1360046252000000.0,0.9931600958775996
90.0,5975820448200.0,1361393004000000.0,0.995629693802174
95.0,2441845005560.0,1374048390000000.0,0.9982260353590158
100.0,0.0,1379571155000000.0,1.0
