region speed urban rural population longitude latitude area netizen_rate urban_netizen rural_netizen total_netizen
Guatemala 33.62 8804 8441 17245 -90.230759 15.783471 107160 50.84164945 4476.098817578 4291.5436300745005 8767.6424476525
Honduras 33.57 5377 4040 9417 -86.241905 15.199999 111890 42.05 2261.0285 1698.82 3959.8484999999996
Turkey 33.32 61555 20362 81917 35.243322 38.963745 769630 81.40843745 50110.9636723475 16576.386033569 66687.3497059165
Antigua_and_Barbuda 31.34 25 78 103 -61.796428 17.060816 440 73 18.25 56.94 75.19
Rwanda 29.88 2152 10350 12501 29.873888 -1.940278 24670 23.8 512.1759999999999 2463.3 2975.238
Bolivia_(Plurinational_State_of) 29.09 7786 3429 11216 -63.588653 -16.290154 1083300 59.94010155 4666.936306683 2055.3460821495 6722.881789848
Mauritius 28.85 517 751 1268 57.552152 -20.348404 2030 64.88490358 335.4549515086 487.28562588579996 822.7405773944
Togo 28.65 3332 4659 7991 0.824782 8.619543 54390 24 799.68 1118.16 1917.84
Bosnia_and_Herzegovina 28.10 1690 1813 3504 17.679076 43.915886 51200 75.67620138 1278.927803322 1372.0095310194 2651.6940963551997
Azerbaijan 27.84 5526 4398 9924 47.576927 40.143105 82654 84.59999573 4674.995764039801 3720.7078122054 8395.703576245201
Iraq 27.82 27724 11616 39340 43.679291 33.223191 434128 44.32634655 12289.036317521999 5148.948415247999 17437.984732769997
Indonesia 25.59 147603 119192 266795 113.921327 -0.789275 1877519 62.10447802 91668.07269186061 74023.5694415984 165691.642133459
Georgia 25.21 2291 1616 3907 43.356892 42.315407 69490 76.4427093 1751.3024700630003 1235.314182288 2986.616652351
Tajikistan 24.09 2471 6636 9107 71.276093 38.861034 138790 21.96 542.6316 1457.2656 1999.8972
Mali 23.59 8093 11014 19108 -3.996166 17.570692 1220190 27.4 2217.482 3017.836 5235.592
Madagascar 22.99 9767 16496 26263 46.869107 -18.766947 581800 15 1465.05 2474.4 3939.45
Venezuela_(Bolivarian_Republic_of) 22.04 28563 3819 32381 -66.58973 6.42375 882050 61.6 17594.808 2352.504 19946.696
Senegal 22.00 7690 8605 16294 -14.452362 14.497401 192530 42.6 3275.94 3665.73 6941.244000000001
Morocco 20.85 22603 13589 36192 -7.09262 31.791702 446300 88.13031937 19920.0960872011 11976.0290991893 31896.125186390396
Sri_Lanka 20.72 3871 17079 20950 80.771797 7.873054 61864 35 1354.85 5977.65 7332.5
Cambodia 20.66 3800 12446 16246 104.990963 12.565679 176520 32.90027854 1250.21058452 4094.7686670884 5344.979251608401
Dominican_Republic 20.59 8823 2060 10883 -70.162651 18.735693 48310 76.9 6784.887000000001 1584.14 8369.027
Western_Sahara 20.14 492 76 567 -12.885834 24.215527 266000 61.3 301.596 46.588 347.57099999999997
Mauritania 19.50 2437 2103 4540 -10.940835 21.00789 1030700 40.8 994.2959999999999 858.0239999999999 1852.32
Haiti 19.42 6143 4970 11113 -72.285215 18.971187 27560 34.5 2119.335 1714.65 3833.985
Seychelles 19.23 54 41 95 55.491977 -4.679574 460 79 42.66 32.39 75.05
Myanmar 19.04 16468 37387 53856 95.956223 21.913965 652790 35.1 5780.268 13122.837 18903.456000000002
Lesotho 17.42 637 1626 2263 28.233608 -29.609988 30360 43 273.91 699.18 973.09
Bhutan 16.25 334 483 817 90.433601 27.514162 38140 85.63688389 286.02719219259995 413.6261491887 699.6533413812999
Benin 16.20 5434 6052 11486 2.315834 9.30769 112760 25.8 1401.9720000000002 1561.4160000000002 2963.388
Cape_Verde 16.12 364 190 553 -24.013197 16.002082 4030 64.5 234.78 122.55 356.685
Fiji 15.37 513 399 912 179.414413 -16.578193 18270 68.9 353.45700000000005 274.911 628.368
Papua_New_Guinea 15.27 1109 7310 8418 143.95555 -6.314993 452860 11.20919659 124.3099901831 819.392270729 943.5901689462
Angola 14.81 20162 10613 30774 17.873887 -11.202692 1246700 36 7258.32 3820.68 11078.64
Nigeria 14.46 98611 97264 195875 8.675277 9.081999 910770 35.5 35006.905 34528.72 69535.625
Sierra_Leone 14.10 3247 4473 7720 -11.779889 8.460555 72180 18 584.46 805.14 1389.6
United_Republic_of_Tanzania 13.84 19959 39133 59091 34.888822 -6.369028 885800 22 4390.98 8609.26 13000.02
Iran_(Islamic_Republic_of) 11.57 61425 20587 82012 53.688046 32.427908 1628760 78.59573507 48277.430266747506 16180.5039788609 64457.934245608405
Suriname 11.27 375 193 568 -56.027783 3.919305 156000 70.06 262.725 135.2158 397.9408
Vanuatu 10.94 71 211 282 166.959158 -15.376706 12190 25.71978784 18.2610493664 54.26875234239999 72.5298017088
Algeria 10.85 30510 11498 42008 1.659626 28.033886 2381741 62.9 19190.79 7232.241999999999 26423.031999999996
Pakistan 10.71 73630 127183 200814 69.345116 30.375321 770880 25 18407.5 31795.75 50203.5
Uganda 10.34 10525 33745 44271 32.290275 1.373333 200520 6.1 642.025 2058.445 2700.531
Maldives 9.97 177 267 444 73.22068 3.202778 300 62.93 111.3861 168.0231 279.4092
Guinea 9.91 4717 8335 13053 -9.696645 9.945587 245720 26 1226.42 2167.1 3393.78
Democratic_Republic_of_the_Congo 9.90 37349 46656 84005 21.758664 -4.038333 2267050 13.6 5079.464 6345.215999999999 11424.68
Kenya 9.43 13772 37179 50951 37.906193 -0.023559 569140 29.5 4062.74 10967.805 15030.545
Namibia 9.40 1295 1293 2588 18.49041 -22.95764 823290 41 530.95 530.13 1061.08
Libya 9.29 5183 1288 6471 17.228331 26.3351 1759540 17.76 920.5008 228.74880000000002 1149.2496
Zambia 8.83 7664 9946 17609 27.849332 -13.133897 743390 19.8 1517.4720000000002 1969.3080000000002 3486.5820000000003
Malawi 8.55 3246 15919 19165 34.301525 -13.254308 94280 9.9 321.35400000000004 1575.981 1897.335
Tunisia 8.47 8038 3621 11659 9.537499 33.886917 155360 71.9 5779.322000000001 2603.4990000000003 8382.821000000002
Cameroon 8.42 13912 10766 24678 12.354722 7.369722 472710 37.8 5258.736 4069.548 9328.284
Ethiopia 8.08 22328 85207 107535 40.489673 9.145 1129300.375 16.6981031 3728.352460168 14227.952708417 17956.305168585
