theta,success,fail,fail_rate
0.0,19237663000000.0,27190973.6,1.4134219508721537e-06
1.0,19212825000000.0,384932430.0,2.003477978712303e-05
2.0,19073896000000.0,11819709756.0,0.00061929612364278
3.0,19254446000000.0,3511423670.0,0.00018233624640192118
4.0,19419331000000.0,7018327466.0,0.0003612787635851435
5.0,19238876000000.0,14054040360.0,0.0007299689102146247
6.0,18435003000000.0,15842931548.0,0.0008586561075181446
7.0,19541242000000.0,18798885867.4,0.0009610862255907987
8.0,18915991000000.0,24100395200.0,0.0012724540075930034
9.0,19503130000000.0,43455907706.7,0.0022231968238282723
10.0,19216609000000.0,57543993700.0,0.002985552398531286
11.0,18971158000000.0,205090827298.0,0.0106950441217704
12.0,18699992000000.0,210050523290.0,0.011107882123019946
13.0,18593950000000.0,209880790000.0,0.01116159746085441
14.0,19234779000000.0,318464663400.0,0.016287050316674878
15.0,18268538000000.0,499756210000.0,0.02662768413624522
16.0,18062555000000.0,1050703660000.0,0.054972502527729616
17.0,16786194000000.0,2055173600000.0,0.10907772958052153
18.0,16652237000000.0,2388253800000.0,0.1254302646442286
19.0,16479621000000.0,2779651400000.0,0.14432795498546455
20.0,16613178000000.0,2419257800000.0,0.1271123583666574
21.0,16477190000000.0,2436067700000.0,0.12880212064154342
22.0,15712863000000.0,2584135200000.0,0.14123274057052704
23.0,16379853000000.0,3058287500000.0,0.1573343653936445
24.0,16119094000000.0,2727496800000.0,0.14472096460013342
25.0,16638066000000.0,2611770100000.0,0.1356775240283734
26.0,17131166000000.0,2408367200000.0,0.12325612773594817
27.0,16767767000000.0,2413784700000.0,0.12583886526761023
28.0,16072126000000.0,2322320800000.0,0.12625119011461655
29.0,17029191000000.0,2464789800000.0,0.1264385055719353
30.0,16182734000000.0,2855734900000.0,0.14999813876839643
31.0,16741066000000.0,2317458700000.0,0.12159696180470884
32.0,16715864000000.0,2099243900000.0,0.11157224880969192
33.0,16432009000000.0,1904774100000.0,0.10387722260836471
34.0,17329912000000.0,1890345000000.0,0.09835170258129222
35.0,17066556000000.0,1778237800000.0,0.09436228482372676
36.0,17065278000000.0,1572680300000.0,0.08438050320136192
37.0,17126798000000.0,1865979400000.0,0.09824678932950585
38.0,16663365000000.0,1465916700000.0,0.08085906128316159
39.0,17691980000000.0,1253503800000.0,0.06616372604852666
40.0,17959725000000.0,1050009500000.0,0.05523535849488061
41.0,17768551000000.0,980627200000.0,0.05230240971308278
42.0,18040064000000.0,690489900000.0,0.03686436096265151
43.0,18456691000000.0,634564200000.0,0.033238474545141485
44.0,19231399000000.0,378524900000.0,0.01930272151642567
45.0,18780545000000.0,155411418000.0,0.008207212488737573
46.0,18612809000000.0,48311980400.0,0.0025889109475654036
47.0,19274111000000.0,1650159684.1,8.560801674339917e-05
48.0,18771512000000.0,103154346166.0,0.005465227531661967
49.0,18962654000000.0,4325940800.0,0.00022807747008233184
50.0,18724784000000.0,4804832100.0,0.00025653697702990487
51.0,19035407000000.0,6464716897.0,0.00033950007610141956
52.0,19188019000000.0,4952509420.0,0.0002580376580858928
53.0,18989042000000.0,17619648150.0,0.0009270248756027598
54.0,19580324000000.0,14747887500.0,0.0007526324774244848
55.0,19323055000000.0,9879973000.0,0.0005110436161813081
56.0,19525001000000.0,14348724502.49,0.0007343501551894838
57.0,19374088000000.0,10948985850.0,0.0005648163507757117
58.0,19410925000000.0,13218964565.4,0.0006805429670164497
59.0,19392483000000.0,11427794668.0,0.0005889428573924512
60.0,19392858000000.0,12452071700.0,0.0006416837274947567
61.0,19189100000000.0,7607513497.0,0.00039629261901559103
62.0,19147711000000.0,6927635591.6,0.0003616688220224436
63.0,19016598000000.0,4697618200.0,0.0002469662579401381
64.0,18650996000000.0,5316383060.0,0.0002849643032793177
65.0,19160605000000.0,2112829800.0,0.00011025731416419085
66.0,18654141000000.0,2092625710.0,0.00011216764069228689
67.0,19318748000000.0,2483040720.0,0.00012851358770913336
68.0,18828340000000.0,1113162900.0,5.911817461556899e-05
69.0,19424947000000.0,1851642521.0,9.53138267952786e-05
70.0,18821550000000.0,2766586630.0,0.0001469687686810884
71.0,19232306000000.0,4869156810.0,0.00025311184050202446
72.0,18901121000000.0,3386461970.0,0.00017913516005706629
73.0,19268269000000.0,5779209890.0,0.0002998441130304189
74.0,19144872000000.0,5017266400.0,0.00026199976042698024
75.0,19644962000000.0,5813523160.0,0.0002958419199867354
76.0,19224512000000.0,7131475200.0,0.00037081985266606735
77.0,18885025000000.0,6097016540.0,0.0003227450722440836
78.0,18850879000000.0,5958714610.0,0.0003159975548489382
79.0,19178837000000.0,5275978220.0,0.0002750180957540176
80.0,18941030000000.0,5944213910.0,0.00031372892805417083
81.0,19010859000000.0,4967898910.0,0.0002612507432051121
82.0,19009871000000.0,5649668800.0,0.00029710828845563923
83.0,19207763000000.0,5568870590.0,0.0002898440846964349
84.0,19123070000000.0,8095868520.0,0.00042317695511289306
85.0,18947719000000.0,7715544330.65,0.00040703600398111844
86.0,19192345000000.0,3720988350.0,0.00019384119393308242
87.0,19283048000000.0,8244968000.0,0.0004273932293536044
88.0,18908309000000.0,9229629400.0,0.00048788743508397595
89.0,18935281000000.0,5728021080.0,0.00030241372429658415
90.0,19520142000000.0,8623301380.0,0.0004415692055754613
91.0,18701817000000.0,10656929500.0,0.0005695093839622922
92.0,18511670000000.0,10250052200.0,0.0005534011685134402
93.0,18941680000000.0,7711262700.0,0.0004069398638244837
94.0,18617887000000.0,11097340000.0,0.0005957029002473251
95.0,19095525000000.0,7224185000.0,0.00037817514798721365
96.0,19678268000000.0,8665492400.0,0.00044016466065399423
97.0,19090774000000.0,6702276800.0,0.0003509509163858505
98.0,19087554000000.0,7351388700.0,0.00038499215106613786
99.0,19167466000000.0,4624880480.0,0.0002412298433609454
100.0,19573300000000.0,3654026140.0,0.00018664937022996455
101.0,19250379000000.0,2555081330.0,0.0001327112698358906
102.0,19158772000000.0,3684738700.0,0.00019228947259974225
103.0,19253549000000.0,3969521840.0,0.000206128418648444
104.0,18731746000000.0,3905342730.0,0.0002084444601663337
105.0,19008378000000.0,3663835300.0,0.00019271130011913246
106.0,18739935000000.0,4784004640.0,0.0002552187972951627
107.0,18754907000000.0,6864305605.7,0.0003658666068298712
108.0,19469686000000.0,3789611970.0,0.0001946037803169863
109.0,18520706000000.0,4006973930.0,0.00021630423832418087
110.0,18643721000000.0,9266416410.0,0.0004967792130630964
111.0,18659172000000.0,14276032276.0,0.0007645097065804176
112.0,19415030000000.0,3666112247.0,0.00018879291512718268
113.0,18880755000000.0,4455902627.0,0.00023594667012059517
114.0,19174918000000.0,3772419780.0,0.00019669850742829153
115.0,19421983000000.0,6351395300.0,0.00032691404063626246
116.0,19436864000000.0,5704022910.0,0.0002933780611325988
117.0,19398293000000.0,5303168780.0,0.0002733085523874535
118.0,19168185000000.0,6718576230.0,0.0003503838339155261
119.0,19412948000000.0,8794549600.0,0.0004528198011862292
120.0,18753443000000.0,5446126100.0,0.00029032242066096464
121.0,19468168000000.0,8766998500.0,0.00045012208033118063
122.0,19054678000000.0,8928281300.0,0.00046834167514034266
123.0,18832041000000.0,6056161800.0,0.0003214847947743214
124.0,18669080000000.0,13458997000.0,0.0007204051334864718
125.0,18796813000000.0,6359654740.0,0.00033822242962795035
126.0,19099880000000.0,4719109100.0,0.00024701429603682026
127.0,19394878000000.0,4409988700.0,0.00022732734843509717
128.0,19043271000000.0,3397389370.0,0.00017837184438492627
129.0,18558057000000.0,2647240035.0,0.00014262605560461255
130.0,19300469000000.0,11257131248.0,0.0005829168853935337
131.0,18915758000000.0,12695039280.0,0.0006706855152745696
132.0,19606805000000.0,2986818023.2,0.00015231258194464052
133.0,19274842000000.0,8746358634.0,0.00045356489006797955
134.0,18796707000000.0,13433168800.0,0.0007141450664084537
135.0,18752129000000.0,89767799000.0,0.004764265506685307
136.0,19183581000000.0,174535380000.0,0.009016134450990422
137.0,18428329000000.0,300825560000.0,0.016061886778513508
138.0,18943009000000.0,384090510000.0,0.019873158401304263
139.0,19103232000000.0,454410600000.0,0.023234426014104585
140.0,18645605000000.0,564142400000.0,0.029367507456136567
141.0,18217795000000.0,585037600000.0,0.031114333273381374
142.0,18333588000000.0,746027400000.0,0.03910075671651117
143.0,18436178000000.0,767723700000.0,0.03997748540860319
144.0,18404278000000.0,925024000000.0,0.04785604777658293
145.0,18315871000000.0,896591200000.0,0.0466671679385269
146.0,18070417000000.0,1012561400000.0,0.05306097291395561
147.0,17692544000000.0,1088495200000.0,0.057957133703229795
148.0,17877102000000.0,1002146900000.0,0.053081926368373694
149.0,17552657000000.0,1111082600000.0,0.05953161712564828
150.0,18208081000000.0,1152145600000.0,0.05951095634386842
151.0,18291502000000.0,1261314800000.0,0.06450808663025984
152.0,18192494000000.0,1245026500000.0,0.06405274273537101
153.0,17753797000000.0,1193082500000.0,0.06296986794052287
154.0,18462168000000.0,1227641500000.0,0.06234907960892156
155.0,17131892000000.0,1236369200000.0,0.06731008376557711
156.0,17870344000000.0,1336574100000.0,0.06958816052847125
157.0,17785124000000.0,1042514600000.0,0.055371500491835444
158.0,17882271000000.0,1246531300000.0,0.06516515150559113
159.0,18216468000000.0,1120228400000.0,0.057932770770502455
160.0,17458349000000.0,1167589400000.0,0.06268620538334863
161.0,17868391000000.0,1291655100000.0,0.06741398706759896
162.0,18363238000000.0,1074104300000.0,0.05525983354216075
163.0,17953653000000.0,864526000000.0,0.04594100204913557
164.0,17873425000000.0,531426060000.0,0.02887423855088779
165.0,18214999000000.0,234749700000.0,0.012723734280456622
166.0,19546316000000.0,190505176000.0,0.009652272486090848
167.0,19309372000000.0,120550157000.0,0.006204356148517533
168.0,19099257000000.0,65695125900.0,0.003427878424554891
169.0,18967737000000.0,48469216600.0,0.002548837346835737
170.0,19404296000000.0,47572961520.0,0.002445675611639663
171.0,18774471000000.0,23433237059.64,0.0012465877453211995
172.0,19248151000000.0,15240067399.0,0.0007911414633943658
173.0,19001647000000.0,9134917694.0,0.0004805124656917879
174.0,19084787000000.0,7422755597.0,0.0003887845195511731
175.0,19116035000000.0,5698642835.0,0.0002980191514766396
176.0,19156588000000.0,2032488246.8,0.00010608740060626318
177.0,18882217000000.0,272843177.0,1.4449533894418547e-05
178.0,18673947000000.0,344188273.64,1.8431129201633635e-05
179.0,19055409000000.0,181901579.64,9.545837784800522e-06
