theta,success,failure,failRate,totLatency
0,8.09605e+11,2.64663e+07,3.26893e-05,1.20557e-06
1,9.90586e+11,953421,9.6248e-07,1.20597e-06
2,1.00944e+12,0,0,1.20637e-06
3,8.17702e+11,0,0,1.20654e-06
4,1.00774e+12,895006,8.88134e-07,1.20589e-06
5,1.01314e+12,0,0,1.20513e-06
6,8.20659e+11,6.85846e+06,8.35718e-06,1.20585e-06
7,1.00696e+12,26429.4,2.62468e-08,1.20669e-06
8,8.08049e+11,0,0,1.20615e-06
9,9.64938e+11,75806.7,7.85612e-08,1.20618e-06
10,1.01169e+12,1.09213e+08,0.00010794,1.20576e-06
11,1.01298e+12,5.48864e+08,0.000541539,1.20565e-06
12,8.62234e+11,9.81919e+06,1.13879e-05,1.206e-06
13,9.67555e+11,1.57463e+10,0.0160137,1.20175e-06
14,9.05851e+11,1.23946e+10,0.0134982,1.20163e-06
15,1.00608e+12,7.09724e+09,0.00700492,1.20163e-06
16,9.78014e+11,3.55355e+10,0.0350605,1.19309e-06
17,8.69117e+11,7.33694e+10,0.0778466,1.18529e-06
18,9.21972e+11,8.38645e+10,0.0833779,1.13744e-06
19,8.02065e+11,2.16716e+11,0.212721,1.10981e-06
20,8.15712e+11,2.06025e+11,0.201642,1.1053e-06
21,9.31113e+11,8.1423e+10,0.0804149,1.10631e-06
22,7.34188e+11,8.10258e+10,0.0993921,1.10617e-06
23,7.88235e+11,1.63171e+11,0.171505,1.1021e-06
24,6.62109e+11,1.28633e+11,0.162674,1.10858e-06
25,8.99861e+11,1.06517e+11,0.105842,1.11278e-06
26,7.34091e+11,1.1773e+11,0.13821,1.12085e-06
27,8.74259e+11,1.25995e+11,0.125963,1.11488e-06
28,6.97987e+11,9.8634e+10,0.123815,1.11395e-06
29,9.11291e+11,9.31556e+10,0.0927432,1.12515e-06
30,8.72685e+11,1.27329e+11,0.127327,1.1192e-06
31,7.91838e+11,1.15954e+11,0.127732,1.1231e-06
32,9.14808e+11,1.00295e+11,0.0988032,1.12492e-06
33,9.07254e+11,1.01816e+11,0.100901,1.11393e-06
34,9.03212e+11,9.85649e+10,0.0983901,1.1242e-06
35,7.43851e+11,6.33666e+10,0.0785,1.12229e-06
36,8.61013e+11,1.5565e+11,0.153099,1.12846e-06
37,8.30611e+11,8.84938e+10,0.0962826,1.13222e-06
38,8.06839e+11,1.9628e+11,0.19567,1.12883e-06
39,9.58314e+11,4.96309e+10,0.0492397,1.13251e-06
40,7.6468e+11,4.48709e+10,0.0554269,1.13718e-06
41,9.00782e+11,6.23068e+10,0.0646948,1.14148e-06
42,9.91821e+11,2.39146e+10,0.0235441,1.14559e-06
43,1.0071e+12,1.29028e+10,0.0126498,1.1517e-06
44,9.85851e+11,1.58102e+10,0.015784,1.15951e-06
45,9.87868e+11,1.86044e+10,0.0184848,1.16259e-06
46,1.01395e+12,1.04179e+08,0.000102735,1.1897e-06
47,1.00797e+12,0,0,1.20588e-06
48,1.00784e+12,0,0,1.20581e-06
49,1.00762e+12,0,0,1.2059e-06
50,1.0166e+12,0,0,1.20593e-06
51,9.6788e+11,0,0,1.20553e-06
52,9.1509e+11,2.44782e+06,2.67494e-06,1.20597e-06
53,1.01033e+12,1.27728e+09,0.00126263,1.20384e-06
54,1.01735e+12,2.05603e+08,0.000202055,1.20405e-06
55,9.1447e+11,7.61643e+08,0.000832186,1.20254e-06
56,1.01883e+12,1.58411e+09,0.00155242,1.20266e-06
57,9.86038e+11,1.75435e+09,0.00177603,1.20328e-06
58,1.01542e+12,1.84419e+09,0.00181289,1.20276e-06
59,1.01199e+12,5.5269e+08,0.000545842,1.20272e-06
60,9.87604e+11,1.5103e+09,0.00152692,1.20208e-06
61,8.65868e+11,5.12991e+08,0.000592107,1.20185e-06
62,9.65618e+11,4.09973e+08,0.00042439,1.20223e-06
63,1.00718e+12,6.75322e+08,0.000670057,1.20216e-06
64,8.61104e+11,1.04099e+08,0.000120876,1.20369e-06
65,1.01395e+12,1.22466e+08,0.000120767,1.2032e-06
66,9.85782e+11,1.45838e+08,0.00014792,1.20439e-06
67,1.02019e+12,8.62243e+08,0.000844467,1.2023e-06
68,1.01809e+12,1.02216e+08,0.00010039,1.20481e-06
69,1.01839e+12,1.3268e+08,0.000130267,1.20434e-06
70,1.01871e+12,2.67959e+08,0.000262968,1.20475e-06
71,1.01562e+12,1.36762e+09,0.00134477,1.20343e-06
72,8.14889e+11,1.27017e+09,0.00155628,1.20408e-06
73,1.00557e+12,5.72787e+08,0.000569292,1.20442e-06
74,8.08435e+11,5.43834e+08,0.000672248,1.20383e-06
