ratio,success,failure,failRate,totLatency
0,8.98819e+11,0,0,1.20459e-06
0.05,8.01857e+11,1.35682e+10,0.0166394,1.19147e-06
0.1,9.63348e+11,4.06947e+10,0.0405309,1.18882e-06
0.15,8.19317e+11,6.98265e+09,0.0084505,1.19078e-06
0.2,9.78279e+11,3.78102e+10,0.0372115,1.18817e-06
0.25,9.20917e+11,4.22916e+08,0.000459023,1.20422e-06
0.3,9.81172e+11,3.52895e+10,0.034718,1.19724e-06
0.35,8.34312e+11,9.61361e+09,0.0113915,1.20001e-06
0.4,1.0137e+12,3.76504e+09,0.00370041,1.18352e-06
0.45,1.01034e+12,7.63596e+09,0.00750112,1.20158e-06
0.5,8.77059e+11,1.38825e+11,0.136654,1.18973e-06
0.55,7.84458e+11,2.18803e+10,0.0271354,1.18217e-06
0.6,7.98152e+11,7.89991e+09,0.00980075,1.18261e-06
0.65,1.01241e+12,1.68411e+09,0.0016607,1.19829e-06
0.7,1.00511e+12,1.775e+09,0.00176287,1.19655e-06
0.75,1.0016e+12,2.73684e+09,0.00272503,1.19678e-06
0.8,8.95427e+11,2.86316e+09,0.00318734,1.18312e-06
0.85,9.73161e+11,3.68696e+10,0.0365035,1.12145e-06
0.9,7.83786e+11,3.60024e+10,0.0439167,1.12839e-06
0.95,8.1374e+11,5.36965e+09,0.00655547,1.17642e-06
1,8.03645e+11,6.44322e+10,0.074224,1.14878e-06
2,7.47059e+11,7.39287e+10,0.0900485,1.15634e-06
3,7.6825e+11,3.66971e+10,0.0455894,1.10801e-06
4,9.09482e+11,1.02205e+11,0.101024,1.10677e-06
5,7.70137e+11,1.33115e+11,0.147373,1.00212e-06
6,7.34403e+11,1.72394e+11,0.190113,9.7398e-07
7,7.83499e+11,2.35323e+11,0.230976,9.7548e-07
8,7.06426e+11,2.47677e+11,0.259591,8.9653e-07
9,4.05446e+11,4.12044e+11,0.504036,8.887e-07
10,5.51484e+11,3.09094e+11,0.35917,7.6696e-07
12,6.44394e+11,3.66009e+11,0.362241,6.8383e-07
14,4.58853e+11,4.56315e+11,0.498613,6.5781e-07
16,5.17137e+11,3.02308e+11,0.368918,9.1106e-07
18,4.71234e+11,5.43185e+11,0.535464,4.7878e-07
20,4.07349e+11,5.05732e+11,0.553874,4.8112e-07
25,5.657e+11,4.51826e+11,0.444044,5.8218e-07
30,2.86817e+11,6.32562e+11,0.688032,4.1898e-07
35,4.41501e+11,5.62209e+11,0.560131,2.6732e-07
40,2.37808e+11,7.3342e+11,0.755147,2.9912e-07
45,1.76372e+11,7.90218e+11,0.817532,2.4641e-07
50,2.18639e+11,6.96788e+11,0.761162,1.8375e-07
55,5.26533e+10,9.56693e+11,0.947834,1.5966e-07
60,1.21494e+11,7.87303e+11,0.866313,9.45e-08
65,5.38478e+10,7.9071e+11,0.936241,8.6e-08
70,6.54084e+10,7.269e+11,0.917446,1.1136e-07
75,4.10687e+10,9.61252e+11,0.959026,7.693e-08
80,2.23275e+10,8.889e+11,0.975497,2.524e-08
85,4.65793e+09,8.11238e+11,0.994291,1.554e-08
90,1.8753e+09,1.0059e+12,0.998139,1.56e-08
95,1.54738e+10,9.46353e+11,0.983912,4.16e-09
100,0,9.35761e+11,1,0
