ratio,success,fail,fail_rate
0.0,1372898778000000.0,0.0,0.0
0.05,1363664158000000.0,4803369989344.725,0.003510035781705538
0.1,1371439106000000.0,4867925116516.113,0.003536947066649115
0.15,1362243226000000.0,7541593866154.689,0.005505677794627333
0.2,1363926856000000.0,8998014938837.613,0.0065539019135727105
0.25,1364613475000000.0,8477866549811.106,0.006174291755595896
0.3,1360196510000000.0,12795414822115.0,0.009319366407615817
0.35,1355555811000000.0,13397015705511.6,0.009786323855842813
0.4,1361788555000000.0,14648948330432.105,0.010642654166998116
0.45,1356565519000000.0,17129840095117.0,0.012469897333278317
0.5,1359587964000000.0,16658424144591.602,0.01210424549564117
0.55,1356786868000000.0,19351984448720.0,0.014062523134409597
0.6,1350679037000000.0,21588110000900.0,0.015731710875743817
0.65,1347866108000000.0,24280499206300.0,0.017695266000573556
0.7,1350854718000000.0,25561130643100.0,0.018570790701297652
0.75,1340048964000000.0,26009846047000.0,0.01904006317715203
0.8,1347767729000000.0,28474919136000.0,0.020690333332255603
0.85,1340142995000000.0,30608088506000.0,0.02232942864266284
0.9,1336508393000000.0,37075807774000.0,0.026992016763958248
0.95,1332197270000000.0,38476164485000.0,0.02807099307316521
1.0,1335622404000000.0,37312572043000.0,0.02717723176558609
2.0,1271428696000000.0,98909870210000.0,0.07217914802146959
3.0,1224408289000000.0,151758610800000.0,0.11027631228599907
4.0,1183736242000000.0,191536451600000.0,0.13927161681558745
5.0,1127199826000000.0,245000216700000.0,0.17854555391058508
6.0,1085308709000000.0,283427649500000.0,0.2070724926242251
7.0,1048992641000000.0,321009113400000.0,0.23431292140248955
8.0,1005367206000000.0,365680577100000.0,0.2667161433813634
9.0,977524509000000.0,398384993700000.0,0.28954302075698574
10.0,941783383000000.0,429796625300000.0,0.3133587706871799
12.0,877624109000000.0,497363661200000.0,0.3617222436295965
14.0,818199752000000.0,557129374300000.0,0.4050880357626292
16.0,770327818000000.0,600102439000000.0,0.437893454216109
18.0,721472842000000.0,652884621000000.0,0.47504716827808285
20.0,678869531000000.0,691651554000000.0,0.504663198231642
25.0,589766587000000.0,782116637000000.0,0.5701043815665173
30.0,507989523000000.0,867955826000000.0,0.6308069042355547
35.0,438008166700000.0,932211111000000.0,0.6803371738899889
40.0,378661692700000.0,991863678000000.0,0.7237105559697904
45.0,333003058300000.0,1038143577000000.0,0.75713534225525
50.0,288789099200000.0,1084068286000000.0,0.7896437734077318
55.0,245319966500000.0,1123119454000000.0,0.8207301230694121
60.0,201606967000000.0,1165534595000000.0,0.8525339492239064
65.0,170902287700000.0,1201526957000000.0,0.8754746094489136
70.0,140394956900000.0,1230175697000000.0,0.8975645972715803
75.0,110065666310000.0,1257330428000000.0,0.9195071078760539
80.0,77993526870000.0,1291133948000000.0,0.9430341379443827
85.0,54800241870000.0,1315507488000000.0,0.9600088062882058
90.0,33719701005000.0,1338377580000000.0,0.9754247009510129
95.0,15514150017200.0,1348428125000000.0,0.9886255083507809
100.0,0.0,1364959408000000.0,1.0
