ratio,success,failure,failRate,totLatency
0,9.53175e+11,0,0,1.20466e-06
0.05,8.04099e+11,1.07254e+07,1.33383e-05,1.2044e-06
0.1,9.15024e+11,5.08317e+06,5.5552e-06,1.20296e-06
0.15,9.93314e+11,4.79727e+09,0.00480635,1.16013e-06
0.2,1.00524e+12,4.60358e+09,0.00455872,1.16004e-06
0.25,1.00127e+12,3.85476e+09,0.0038351,1.19696e-06
0.3,1.01004e+12,6.15254e+08,0.000608771,1.20098e-06
0.35,9.08966e+11,5.54727e+10,0.0575181,1.17925e-06
0.4,9.97831e+11,2.00268e+10,0.0196754,1.18945e-06
0.45,1.00372e+12,8.20784e+09,0.00811112,1.17217e-06
0.5,7.96488e+11,1.95021e+10,0.0238999,1.19137e-06
0.55,7.94143e+11,2.91278e+08,0.000366649,1.19979e-06
0.6,9.92237e+11,4.1297e+08,0.000416028,1.19836e-06
0.65,9.94663e+11,1.42464e+10,0.0141206,1.16798e-06
0.7,9.72545e+11,3.56238e+10,0.0353351,1.18714e-06
0.75,9.49472e+11,6.11222e+10,0.0604815,1.1789e-06
0.8,8.97215e+11,4.95173e+09,0.00548871,1.14386e-06
0.85,9.98832e+11,7.78289e+08,0.000778593,1.19546e-06
0.9,9.72007e+11,4.62918e+10,0.0454599,1.15937e-06
0.95,9.12599e+11,1.04742e+11,0.102957,1.16665e-06
1,1.00122e+12,7.89722e+09,0.00782588,1.1419e-06
2,9.9456e+11,2.00867e+10,0.0197967,1.13281e-06
3,6.86897e+11,1.74323e+11,0.202414,1.03131e-06
4,7.83887e+11,2.22575e+11,0.221146,9.7864e-07
5,9.13714e+11,1.04007e+11,0.102196,9.593e-07
6,7.49024e+11,1.62705e+11,0.178457,9.1033e-07
7,7.49008e+11,2.65433e+11,0.261654,9.6752e-07
8,6.55976e+11,1.50722e+11,0.186839,8.8188e-07
9,7.27438e+11,2.91106e+11,0.285806,8.3995e-07
10,5.87804e+11,4.26367e+11,0.420409,7.7476e-07
12,6.06891e+11,3.61996e+11,0.373621,7.6683e-07
14,7.78529e+11,2.20389e+11,0.220627,8.5966e-07
16,6.11391e+11,4.05498e+11,0.398764,7.6284e-07
18,6.35534e+11,3.75892e+11,0.371646,6.7174e-07
20,3.26661e+11,4.74449e+11,0.592239,5.8333e-07
25,3.18955e+11,6.74461e+11,0.678931,3.7462e-07
30,2.51996e+11,7.35137e+11,0.744719,6.0233e-07
35,3.68605e+11,6.48209e+11,0.63749,3.98e-07
40,4.23002e+11,5.82849e+11,0.579459,2.6507e-07
45,1.74326e+11,8.18804e+11,0.824468,2.7939e-07
50,1.45727e+11,8.61615e+11,0.855335,1.6281e-07
55,3.56279e+11,6.6161e+11,0.649982,1.477e-07
60,1.75114e+11,8.46166e+11,0.828535,1.266e-07
65,1.0698e+11,8.98483e+11,0.893602,9.652e-08
70,4.78569e+10,7.60431e+11,0.940792,7.045e-08
75,2.65659e+10,7.8336e+11,0.9672,6.091e-08
80,7.71084e+10,9.38345e+11,0.924065,4.037e-08
85,2.69508e+09,1.00039e+12,0.997313,2.456e-08
90,2.29054e+09,1.00577e+12,0.997728,1.111e-08
95,4.26444e+09,1.0034e+12,0.995768,7.1e-09
100,0,1.01345e+12,1,0
