ratio,success,failure,failRate,totLatency
0,1.01024e+12,0,0,1.20446e-06
0.05,9.08466e+11,1.18284e+09,0.00130032,1.18616e-06
0.1,8.97167e+11,8.63054e+09,0.00952811,1.20197e-06
0.15,9.70448e+11,4.65595e+10,0.0457809,1.20215e-06
0.2,8.55138e+11,3.49376e+08,0.000408394,1.20353e-06
0.25,9.46958e+11,1.34322e+10,0.0139862,1.18079e-06
0.3,7.1019e+11,8.24107e+10,0.103975,1.19932e-06
0.35,9.06276e+11,4.48956e+09,0.00492944,1.2036e-06
0.4,1.00338e+12,1.0262e+10,0.0101239,1.1968e-06
0.45,1.00548e+12,9.73613e+07,9.68213e-05,1.20076e-06
0.5,1.01851e+12,1.4985e+08,0.000147105,1.20102e-06
0.55,7.92829e+11,1.43426e+08,0.000180872,1.2009e-06
0.6,1.01201e+12,5.55583e+09,0.00545993,1.17975e-06
0.65,9.11203e+11,2.36308e+09,0.00258666,1.1917e-06
0.7,1.0032e+12,4.32699e+08,0.000431133,1.19873e-06
0.75,8.12608e+11,1.3165e+09,0.00161748,1.19328e-06
0.8,9.69326e+11,1.48454e+08,0.000153128,1.20005e-06
0.85,9.71741e+11,2.70709e+10,0.0271031,1.17481e-06
0.9,1.00038e+12,1.60042e+10,0.0157462,1.15803e-06
0.95,7.68833e+11,4.81718e+10,0.0589615,1.13762e-06
1,9.95343e+11,5.4467e+09,0.0054424,1.19105e-06
2,8.09549e+11,1.35924e+11,0.143762,1.06087e-06
3,9.87855e+11,2.68639e+10,0.0264743,1.05481e-06
4,8.74983e+11,1.00717e+11,0.103226,9.4905e-07
5,7.59791e+11,1.56935e+11,0.171191,1.09415e-06
6,7.50546e+11,2.60369e+11,0.257558,9.851e-07
7,6.09476e+11,3.11369e+11,0.338134,8.8104e-07
8,8.11753e+11,2.04722e+11,0.201404,8.9723e-07
9,7.08452e+11,2.58946e+11,0.267673,8.8169e-07
10,6.72939e+11,3.17213e+11,0.320368,8.3877e-07
12,5.65012e+11,4.01568e+11,0.415452,6.6924e-07
14,4.61452e+11,5.42275e+11,0.540262,5.8041e-07
16,4.15165e+11,3.9515e+11,0.48765,6.9484e-07
18,6.44298e+11,3.74252e+11,0.367436,6.3133e-07
20,4.37369e+11,4.80834e+11,0.523669,5.0855e-07
25,2.96366e+11,7.15184e+11,0.707018,3.845e-07
30,3.12562e+11,7.03966e+11,0.69252,3.8129e-07
35,3.01798e+11,6.41251e+11,0.679976,3.7011e-07
40,3.56909e+11,6.5053e+11,0.645727,2.9958e-07
45,2.22123e+11,7.73603e+11,0.776923,2.2736e-07
50,1.61002e+11,7.30561e+11,0.819416,1.7954e-07
55,2.16316e+11,7.83761e+11,0.783701,1.6847e-07
60,2.54693e+11,7.13091e+11,0.736829,1.326e-07
65,2.20028e+11,7.80279e+11,0.78004,1.2646e-07
70,1.98422e+10,9.95078e+11,0.980449,8.843e-08
75,2.00298e+10,8.93402e+11,0.978072,4.592e-08
80,1.20537e+11,8.87327e+11,0.880403,3.679e-08
85,1.7384e+10,9.35947e+11,0.981765,3.795e-08
90,8.25978e+09,1.0093e+12,0.991883,2.044e-08
95,1.2173e+11,8.89721e+11,0.879648,1.336e-08
100,0,9.99486e+11,1,0
