ratio,success,failure,failRate,totLatency
0,9.62812e+11,0,0,1.20489e-06
0.05,1.0073e+12,7.79662e+07,7.73953e-05,1.20477e-06
0.1,1.01944e+12,0,0,1.20444e-06
0.15,9.93712e+11,1.31616e+09,0.00132274,1.20383e-06
0.2,1.01868e+12,85686.9,8.41155e-08,1.2046e-06
0.25,1.01378e+12,1.031e+09,0.00101596,1.20382e-06
0.3,1.02016e+12,9.42692e+07,9.23976e-05,1.20362e-06
0.35,1.00654e+12,2.2036e+08,0.00021888,1.20374e-06
0.4,1.01911e+12,9.38114e+08,0.000919677,1.19749e-06
0.45,9.96424e+11,7.90229e+09,0.00786825,1.19288e-06
0.5,1.01396e+12,2.91288e+09,0.00286453,1.20329e-06
0.55,9.98836e+11,1.34016e+10,0.0132396,1.18857e-06
0.6,1.00526e+12,2.73999e+09,0.00271824,1.20096e-06
0.65,8.91908e+11,1.17697e+10,0.0130242,1.18568e-06
0.7,8.61249e+11,2.8148e+07,3.26818e-05,1.20423e-06
0.75,8.13147e+11,4.52132e+09,0.00552953,1.20295e-06
0.8,9.66615e+11,1.9659e+08,0.000203339,1.2024e-06
0.85,8.15247e+11,1.84851e+09,0.00226229,1.20098e-06
0.9,8.09597e+11,6.8234e+08,0.000842105,1.20298e-06
0.95,9.87996e+11,1.33511e+10,0.0133331,1.18926e-06
1,9.269e+11,1.30346e+10,0.0138676,1.19063e-06
2,8.01474e+11,1.43955e+10,0.0176444,1.17914e-06
3,7.93413e+11,2.41263e+10,0.0295109,1.16224e-06
4,9.65255e+11,5.24391e+10,0.0515274,1.09923e-06
5,9.15856e+11,1.00457e+11,0.0988446,1.10667e-06
6,9.56502e+11,5.92699e+10,0.0583496,1.10262e-06
7,9.46655e+11,6.71896e+10,0.0662721,1.06618e-06
8,7.82325e+11,1.2581e+11,0.138537,1.03261e-06
9,7.74641e+11,2.12355e+11,0.215153,9.5671e-07
10,8.30432e+11,1.30409e+11,0.135724,1.00658e-06
12,7.14478e+11,1.9769e+11,0.216725,9.4435e-07
14,7.02799e+11,2.51853e+11,0.263816,8.2691e-07
16,6.73542e+11,3.40843e+11,0.336009,8.407e-07
18,6.42007e+11,3.47029e+11,0.350876,7.9639e-07
20,6.71922e+11,3.41364e+11,0.336888,7.767e-07
25,3.76138e+11,4.43031e+11,0.54083,6.3853e-07
30,2.7054e+11,7.43616e+11,0.733237,5.1057e-07
35,2.52196e+11,7.64891e+11,0.752041,4.9568e-07
40,1.92168e+11,8.13792e+11,0.80897,4.0137e-07
45,1.22746e+11,8.90736e+11,0.878887,3.7517e-07
50,1.79176e+11,8.32633e+11,0.822915,2.994e-07
55,1.88293e+11,8.25235e+11,0.81422,2.4247e-07
60,4.6274e+10,9.64139e+11,0.954203,2.0221e-07
65,6.10295e+10,9.45793e+11,0.939384,1.4315e-07
70,3.75838e+10,9.80523e+11,0.963085,1.2018e-07
75,9.69724e+09,9.05963e+11,0.98941,7.543e-08
80,1.81975e+10,9.80909e+11,0.981786,4.602e-08
85,1.13552e+10,9.92251e+11,0.988686,3.292e-08
90,3.11159e+09,1.01032e+12,0.99693,1.376e-08
95,4.8955e+08,1.01262e+12,0.999517,6.66e-09
100,0,1.01803e+12,1,0
