ratio,success,failure,failRate,totLatency
0,1.01766e+12,0,0,1.20524e-06
0.05,1.01409e+12,0,0,1.20496e-06
0.1,9.09739e+11,1.78622e+08,0.000196306,1.20509e-06
0.15,1.00854e+12,1.95683e+09,0.0019365,1.19777e-06
0.2,9.05175e+11,6.35063e+07,7.01542e-05,1.20484e-06
0.25,1.00757e+12,0,0,1.20522e-06
0.3,1.01557e+12,2.42832e+06,2.39108e-06,1.20525e-06
0.35,9.87458e+11,2.31275e+09,0.00233665,1.19307e-06
0.4,1.01443e+12,1.47206e+07,1.45111e-05,1.20486e-06
0.45,9.09591e+11,2.42265e+08,0.000266274,1.20461e-06
0.5,1.01456e+12,2.05873e+09,0.00202508,1.19715e-06
0.55,1.00133e+12,3.29654e+09,0.00328136,1.20033e-06
0.6,9.5396e+11,7.37625e+09,0.00767292,1.19198e-06
0.65,9.95989e+11,1.38821e+09,0.00139186,1.19334e-06
0.7,1.01318e+12,0,0,1.20501e-06
0.75,9.67417e+11,1.04739e+08,0.000108255,1.20421e-06
0.8,9.83061e+11,8.75281e+08,0.000889571,1.19884e-06
0.85,9.66161e+11,5.13182e+10,0.0504366,1.20354e-06
0.9,8.46334e+11,8.14465e+09,0.00953172,1.19034e-06
0.95,9.97692e+11,7.5227e+09,0.00748367,1.19125e-06
1,9.58161e+11,4.43293e+09,0.0046052,1.19716e-06
2,7.97606e+11,1.16412e+10,0.0143852,1.20007e-06
3,7.75862e+11,3.91742e+10,0.0480644,1.16953e-06
4,9.94871e+11,1.78823e+10,0.0176571,1.17184e-06
5,8.76373e+11,8.42086e+10,0.0876642,1.13876e-06
6,7.17419e+11,9.14232e+10,0.11303,1.10364e-06
7,8.89323e+11,1.27525e+11,0.125412,1.11395e-06
8,7.58456e+11,2.00559e+11,0.209131,9.6897e-07
9,6.80453e+11,1.8496e+11,0.213725,1.03088e-06
10,7.55167e+11,2.53374e+11,0.251229,1.03914e-06
12,7.06559e+11,2.01039e+11,0.221507,9.5311e-07
14,5.2885e+11,2.74755e+11,0.341903,8.7363e-07
16,5.42204e+11,2.73398e+11,0.335211,8.8202e-07
18,5.63142e+11,4.09664e+11,0.421116,8.5278e-07
20,4.57618e+11,3.32135e+11,0.420556,8.1826e-07
25,4.94468e+11,5.18106e+11,0.511672,6.6132e-07
30,2.98244e+11,7.10235e+11,0.704264,5.7546e-07
35,3.08866e+11,6.85703e+11,0.689447,4.8473e-07
40,1.62826e+11,8.56781e+11,0.840305,4.7576e-07
45,3.08183e+11,7.05643e+11,0.69602,3.5948e-07
50,9.30099e+10,9.20243e+11,0.908207,3.1951e-07
55,1.19875e+11,7.94414e+11,0.868887,2.5488e-07
60,4.06911e+10,7.65234e+11,0.94951,1.538e-07
65,1.21071e+11,8.87744e+11,0.879987,1.5128e-07
70,3.88514e+10,8.63379e+11,0.956938,1.0187e-07
75,1.59125e+10,9.86401e+11,0.984124,9.178e-08
80,6.5133e+10,9.0408e+11,0.932798,5.228e-08
85,1.27545e+10,8.25327e+11,0.984781,3.183e-08
90,3.47012e+09,8.08292e+11,0.995725,1.72e-08
95,1.87779e+09,1.01654e+12,0.998156,9.08e-09
100,0,8.02624e+11,1,0
