ratio,success,failure,failRate,totLatency
0,9.13293e+11,0,0,1.20618e-06
0.05,1.01657e+12,0,0,1.20679e-06
0.1,9.57612e+11,7.70067e+06,8.04146e-06,1.20688e-06
0.15,9.61238e+11,8.37988e+07,8.71704e-05,1.20608e-06
0.2,1.01626e+12,7.42495e+06,7.30607e-06,1.20633e-06
0.25,9.04883e+11,6.9913e+09,0.00766695,1.19714e-06
0.3,8.62069e+11,4.33706e+06,5.03097e-06,1.2055e-06
0.35,9.83207e+11,1.85296e+09,0.00188107,1.19715e-06
0.4,8.98595e+11,1.12509e+07,1.25204e-05,1.20611e-06
0.45,8.11527e+11,5.45334e+08,0.000671534,1.20062e-06
0.5,7.88047e+11,7.22232e+09,0.00908161,1.19861e-06
0.55,1.01132e+12,2.77013e+09,0.00273165,1.20538e-06
0.6,8.97898e+11,1.67286e+08,0.000186274,1.20449e-06
0.65,1.01029e+12,2.12373e+09,0.00209768,1.1976e-06
0.7,1.01052e+12,2.54728e+09,0.00251442,1.20404e-06
0.75,8.58544e+11,6.37583e+07,7.42577e-05,1.20564e-06
0.8,8.08039e+11,6.74771e+09,0.00828157,1.1983e-06
0.85,1.00686e+12,2.7699e+09,0.00274348,1.196e-06
0.9,8.14291e+11,1.46203e+09,0.00179224,1.20475e-06
0.95,1.00815e+12,2.64768e+09,0.00261938,1.1955e-06
1,9.43071e+11,6.77103e+09,0.00712859,1.20303e-06
2,9.94785e+11,1.09352e+10,0.010873,1.18583e-06
3,7.66414e+11,4.78888e+10,0.0588096,1.17263e-06
4,7.71586e+11,4.11119e+10,0.0505869,1.12128e-06
5,9.40383e+11,6.73503e+10,0.0668334,1.14234e-06
6,8.61465e+11,1.4216e+11,0.141647,1.07078e-06
7,8.2838e+11,1.33922e+11,0.139168,1.06416e-06
8,9.25594e+11,7.9147e+10,0.0787736,1.07983e-06
9,9.09506e+11,8.75492e+10,0.0878077,1.02759e-06
10,8.30188e+11,1.88392e+11,0.184955,9.8148e-07
12,6.33891e+11,2.24438e+11,0.261483,9.3445e-07
14,7.30975e+11,2.82217e+11,0.278543,9.2447e-07
16,7.45487e+11,2.60685e+11,0.259086,8.2993e-07
18,5.84224e+11,3.29675e+11,0.360735,8.7447e-07
20,6.14269e+11,3.98218e+11,0.393307,7.9588e-07
25,3.95219e+11,4.12641e+11,0.510783,7.5047e-07
30,5.68145e+11,4.25084e+11,0.427982,6.2552e-07
35,2.55932e+11,5.95473e+11,0.6994,4.7223e-07
40,3.07497e+11,6.95229e+11,0.693339,4.5327e-07
45,3.10444e+11,7.05173e+11,0.69433,4.1573e-07
50,1.18366e+11,8.99889e+11,0.883756,3.121e-07
55,1.66744e+11,8.44399e+11,0.835093,2.5137e-07
60,5.18593e+10,9.68697e+11,0.949185,2.3377e-07
65,5.19305e+10,8.51283e+11,0.942505,1.6316e-07
70,1.58487e+10,9.99462e+11,0.98439,1.1833e-07
75,3.17649e+10,9.73667e+11,0.968407,8.62e-08
80,6.69161e+09,8.10926e+11,0.991816,4.962e-08
85,3.5954e+09,1.00831e+12,0.996447,3.243e-08
90,1.06218e+10,1.0044e+12,0.989535,2.254e-08
95,3.79464e+08,9.46465e+11,0.999599,4.87e-09
100,0,8.10302e+11,1,0
