ratio,success,fail,fail_rate
0.0,1373976623000000.0,0.0,0.0
0.05,1375860775000000.0,650469177006.87,0.0004725491199280212
0.1,1377500200000000.0,761334268641.8346,0.0005523873733048987
0.15,1374967976000000.0,1292739254433.3118,0.0009393127625490054
0.2,1373897822000000.0,1562031636342.4907,0.0011356432048619254
0.25,1372553230000000.0,2149408437600.209,0.0015635442731404736
0.3,1371036364000000.0,2963689090187.4478,0.0021569788760356875
0.35,1375134844000000.0,3134681994189.19,0.0022743606639115416
0.4,1371200876000000.0,3635021700901.69,0.0026439676960577124
0.45,1368367542000000.0,3957631313060.9,0.002883887426991086
0.5,1369000721000000.0,4745577367386.66,0.003454478729461537
0.55,1367387588000000.0,4829189639073.67,0.0035192614736735597
0.6,1371581066000000.0,5771715428275.0,0.0041904408994548935
0.65,1371755012000000.0,6490783582208.0,0.004709452844342702
0.7,1371093905000000.0,6857359396969.6,0.004976489063254769
0.75,1369464186000000.0,7249032297538.0,0.005265462843817429
0.8,1368096147000000.0,7555513498500.0,0.005492315907765546
0.85,1367302035000000.0,8662151879500.0,0.006295332365549851
0.9,1359062660000000.0,9036353949039.0,0.006605043828630082
0.95,1365046798000000.0,9691040247991.0,0.0070493733265839
1.0,1365432118000000.0,10516513347800.0,0.007643100264214536
2.0,1352128423000000.0,25499936210000.0,0.018510025609971417
3.0,1328900881000000.0,45600841790000.0,0.033176271105312405
4.0,1304809175000000.0,70276371800000.0,0.051106908921806436
5.0,1284217632000000.0,95837188300000.0,0.06944447922667786
6.0,1252053075000000.0,126932804100000.0,0.09204793611290867
7.0,1215377574000000.0,158509400700000.0,0.11537295543151349
8.0,1186268274000000.0,193812981700000.0,0.14043592063837926
9.0,1148492492000000.0,229870934900000.0,0.16677091862266677
10.0,1114176013000000.0,264842291300000.0,0.19205132410076017
12.0,1039016190000000.0,338131772800000.0,0.24553046000410494
14.0,964718177000000.0,407833038000000.0,0.29713502384681506
16.0,901331979000000.0,475604967000000.0,0.3454079494210914
18.0,840963151000000.0,534698887000000.0,0.38868477302562593
20.0,781793906000000.0,593817732000000.0,0.43167542029765815
25.0,652259664000000.0,724156093000000.0,0.5261172645817074
30.0,549346987000000.0,826271684000000.0,0.6006546010307823
35.0,454228553000000.0,917207312000000.0,0.6687934415365461
40.0,373642058000000.0,998463066000000.0,0.7276870033756976
45.0,298414756100000.0,1079892794000000.0,0.7834918947673549
50.0,231498469800000.0,1147955662000000.0,0.8321811037689771
55.0,169688249900000.0,1203685265000000.0,0.8764442097805013
60.0,126839541200000.0,1246837215000000.0,0.9076642007462687
65.0,87509426100000.0,1287620720000000.0,0.9363628043875083
70.0,61585435230000.0,1313193318000000.0,0.9552033844825526
75.0,38941477820000.0,1337592134000000.0,0.9717104780547181
80.0,25330631650000.0,1347608119000000.0,0.9815500643142255
85.0,15843951810000.0,1358031562000000.0,0.9884676947432727
90.0,8950531490000.0,1364573040000000.0,0.9934835253826111
95.0,3689090032390.0,1365607311000000.0,0.9973058499024692
100.0,0.0,1367322846000000.0,1.0
