theta,success,fail,fail_rate
0.0,28007240000000.0,90679428.2,3.2377033440964578e-06
1.0,28509440000000.0,7954359.8,2.7900785075649216e-07
2.0,28425388000000.0,149273040.0,5.251370926296509e-06
3.0,28968947000000.0,50260126.5,1.7349625894431296e-06
4.0,28122500000000.0,348690279.38,1.2398824998853132e-05
5.0,27687188000000.0,26643328.4,9.622971737397233e-07
6.0,29390847000000.0,886360374.4,3.0156791487329596e-05
7.0,28650961000000.0,29514730.5,1.0301469502363425e-06
8.0,28615687000000.0,404932045.5,1.4150501279545447e-05
9.0,27579146000000.0,1161953900.0,4.212983777926576e-05
10.0,28906483000000.0,153861924.5,5.322719665900159e-06
11.0,28821182000000.0,797500276.3,2.7669864808985612e-05
12.0,28442943000000.0,1781693893.0,6.263705879292706e-05
13.0,28725648000000.0,118152711.0,4.113126534967957e-06
14.0,28947215000000.0,1372666037.3600001,4.7417375009642334e-05
15.0,28512811000000.0,138772784.734,4.867009055178743e-06
16.0,28661853000000.0,103593296.657,3.6143135001895856e-06
17.0,27824760000000.0,2989163010.4,0.00010741662909529523
18.0,28297641000000.0,197782723.0,6.989322559882366e-06
19.0,28016966000000.0,21912888.099999998,7.821286202547078e-07
20.0,28115465000000.0,8236222.0,2.9294267717994627e-07
21.0,28422365000000.0,446207946.65,1.5698937849090947e-05
22.0,28895044000000.0,17990352.1,6.226099153553254e-07
23.0,28925662000000.0,5547384019.7,0.00019174393804512457
24.0,27954631000000.0,1174542789.36,4.2014270973599246e-05
25.0,28531261000000.0,922775107.76,3.234155208845436e-05
26.0,29521904000000.0,386136044.04,1.3079474602431433e-05
27.0,28728862000000.0,232927318.65,8.107715166080926e-06
28.0,28084084000000.0,155446344.879,5.535002832317438e-06
29.0,28890993000000.0,4941819620.599999,0.0001710212751879707
30.0,28994339000000.0,2294746547.72,7.913837750194737e-05
31.0,28451785000000.0,775340291.94,2.7250281966436367e-05
32.0,28180611000000.0,1068140378.24,3.790194235479696e-05
33.0,28569300000000.0,529479225.32000005,1.853281013472668e-05
34.0,28671997000000.0,5462626434.033999,0.00019048501872874095
35.0,29066703000000.0,2619546131.855,9.011376607411077e-05
