ratio,success,failure,failRate,totLatency
0,1.01651e+12,0,0,1.20446e-06
0.05,9.66809e+11,4.98167e+08,0.000515004,1.19879e-06
0.1,9.91399e+11,4.69747e+09,0.00471588,1.18524e-06
0.15,9.91697e+11,1.69448e+10,0.0167996,1.14759e-06
0.2,1.00294e+12,9.97239e+09,0.0098453,1.19284e-06
0.25,9.85464e+11,2.18373e+10,0.021679,1.19223e-06
0.3,9.21916e+11,1.51764e+10,0.0161952,1.16209e-06
0.35,7.52836e+11,3.9221e+10,0.0495179,1.10621e-06
0.4,7.76446e+11,1.45501e+09,0.00187043,1.17486e-06
0.45,7.97774e+11,2.08373e+11,0.2071,1.02661e-06
0.5,8.01982e+11,2.00579e+11,0.200066,1.02493e-06
0.55,7.63089e+11,3.93496e+10,0.0490376,1.15528e-06
0.6,9.74725e+11,3.97834e+10,0.0392144,1.10673e-06
0.65,9.8113e+11,2.29072e+10,0.0228151,1.14932e-06
0.7,8.14289e+11,1.38625e+11,0.145475,1.1275e-06
0.75,6.70048e+11,2.80636e+11,0.295193,1.12568e-06
0.8,6.42467e+11,1.71035e+11,0.210245,1.03425e-06
0.85,9.38553e+11,7.97329e+10,0.0783011,1.09468e-06
0.9,8.75219e+11,8.39193e+10,0.0874944,1.0807e-06
0.95,9.01119e+11,1.12786e+11,0.111239,1.11018e-06
1,9.04958e+11,1.11395e+11,0.109603,1.07357e-06
2,8.86567e+11,1.27131e+11,0.125413,8.9694e-07
3,8.02357e+11,2.02849e+11,0.201798,8.4578e-07
4,7.44068e+11,2.67382e+11,0.264355,7.5347e-07
5,5.12737e+11,3.9255e+11,0.433619,6.3688e-07
6,5.18703e+11,3.9773e+11,0.433998,5.6125e-07
7,3.74674e+11,4.53141e+11,0.547394,5.9512e-07
8,5.53652e+11,3.96455e+11,0.417274,5.7166e-07
9,3.9958e+11,4.90721e+11,0.551186,4.8783e-07
10,5.24821e+11,4.76457e+11,0.475848,4.4123e-07
12,2.79295e+11,7.42349e+11,0.726622,3.0065e-07
14,3.49648e+11,6.45792e+11,0.648751,2.373e-07
16,2.77052e+11,7.29596e+11,0.724778,2.2795e-07
18,2.92021e+11,7.1272e+11,0.709357,2.0282e-07
20,1.68567e+11,6.29321e+11,0.788734,2.2197e-07
25,1.31072e+11,8.74438e+11,0.869646,1.7648e-07
30,8.01356e+10,9.19238e+11,0.919814,1.008e-07
35,1.55934e+11,8.46291e+11,0.844412,9.951e-08
40,1.35164e+11,8.80419e+11,0.86691,7.791e-08
45,3.15569e+10,7.84157e+11,0.961314,5.111e-08
50,2.17376e+10,9.84526e+11,0.978398,4.109e-08
55,9.06697e+10,9.24904e+11,0.910721,4.368e-08
60,9.06192e+10,9.11096e+11,0.909536,3.009e-08
65,1.43206e+10,8.42573e+11,0.983288,2.215e-08
70,1.46486e+10,1.00399e+12,0.985619,2.376e-08
75,1.15872e+11,7.88159e+11,0.871827,1.913e-08
80,6.24317e+10,9.50495e+11,0.938365,1.189e-08
85,3.39798e+09,1.00687e+12,0.996637,8.29e-09
90,7.85946e+09,8.49258e+11,0.99083,4.81e-09
95,9.90361e+07,8.37726e+11,0.999882,2.17e-09
100,0,8.03878e+11,1,0
