ratio,success,failure,failRate,totLatency
0,1.0159e+12,0,0,1.20462e-06
0.05,9.13303e+11,1.06234e+08,0.000116305,1.19698e-06
0.1,8.54944e+11,2.02021e+09,0.00235741,1.19699e-06
0.15,1.01521e+12,3.13145e+08,0.00030836,1.19915e-06
0.2,9.66991e+11,3.93593e+10,0.039111,1.16998e-06
0.25,1.01079e+12,8.17657e+08,0.000808271,1.19615e-06
0.3,7.84973e+11,1.27809e+11,0.140021,1.16404e-06
0.35,7.96729e+11,1.00813e+11,0.112321,1.12529e-06
0.4,9.28065e+11,8.80624e+10,0.0866647,1.03876e-06
0.45,9.7601e+11,4.1663e+10,0.0409395,1.10659e-06
0.5,9.92516e+11,2.68345e+10,0.026325,1.14526e-06
0.55,7.63726e+11,3.11737e+10,0.0392172,1.11242e-06
0.6,8.25924e+11,8.72877e+10,0.0955832,1.10415e-06
0.65,8.81655e+11,6.02953e+10,0.0640111,1.08374e-06
0.7,9.98002e+11,1.94791e+10,0.0191444,1.15632e-06
0.75,8.05611e+11,2.1053e+11,0.207186,1.10949e-06
0.8,9.03053e+11,1.06792e+11,0.105751,1.11642e-06
0.85,8.95756e+11,7.19147e+10,0.0743173,1.0374e-06
0.9,7.80451e+11,2.09994e+11,0.21202,1.03594e-06
0.95,8.11031e+11,1.86506e+11,0.186966,9.3208e-07
1,8.95571e+11,9.90706e+10,0.0996043,1.01377e-06
2,8.34279e+11,1.78274e+11,0.176064,9.1989e-07
3,6.52691e+11,2.46254e+11,0.273937,8.5335e-07
4,4.45732e+11,3.66845e+11,0.451459,6.6086e-07
5,6.43498e+11,3.60008e+11,0.358751,7.0914e-07
6,4.54012e+11,3.53996e+11,0.438109,6.4551e-07
7,3.49343e+11,5.60867e+11,0.616195,5.4372e-07
8,5.35448e+11,4.7846e+11,0.471897,4.2415e-07
9,4.72295e+11,4.38164e+11,0.481256,4.9163e-07
10,2.71844e+11,7.47996e+11,0.733445,4.4094e-07
12,2.8182e+11,7.33938e+11,0.722552,3.8102e-07
14,2.26845e+11,7.71471e+11,0.772773,3.0213e-07
16,2.37033e+11,7.59419e+11,0.762123,2.6283e-07
18,2.77714e+11,7.29235e+11,0.724202,2.6409e-07
20,3.04013e+11,6.07394e+11,0.666435,2.5952e-07
25,1.33237e+11,7.75521e+11,0.853386,1.4033e-07
30,1.09334e+11,7.96212e+11,0.879262,1.0346e-07
35,1.54827e+11,8.664e+11,0.848391,7.399e-08
40,4.56735e+10,9.68066e+11,0.954946,6.47e-08
45,1.39389e+11,7.73356e+11,0.847286,5.229e-08
50,3.38491e+10,7.68577e+11,0.957817,4.24e-08
55,1.85762e+10,9.94665e+11,0.981667,3.787e-08
60,1.68535e+10,9.25253e+11,0.982111,2.656e-08
65,1.4497e+10,8.00551e+11,0.982213,2.239e-08
70,7.46671e+10,9.36187e+11,0.926135,1.894e-08
75,4.89431e+09,8.08982e+11,0.993986,1.39e-08
80,1.11387e+10,9.84829e+11,0.988816,1.131e-08
85,5.44939e+10,9.05385e+11,0.943228,1.311e-08
90,2.58996e+09,1.00207e+12,0.997422,7.35e-09
95,4.99947e+08,1.00228e+12,0.999501,2.13e-09
100,0,8.99015e+11,1,0
