ratio,success,fail,fail_rate
0.0,1312647818000000.0,0.0,0.0
0.05,1295863816000000.0,13790441391509.0,0.01052983359056609
0.1,1292720260000000.0,18926830190944.0,0.014429819066795408
0.15,1289004099000000.0,32015800793600.0,0.024235668818162574
0.2,1277921073000000.0,37999737113700.0,0.028876917837036633
0.25,1264324095000000.0,49375448367000.0,0.037585038844156995
0.3,1252111254000000.0,63505455177000.0,0.048270483898556295
0.35,1245453191000000.0,65208798035000.0,0.049752566703342965
0.4,1235863688000000.0,74404320090000.0,0.056785573356446704
0.45,1227485526000000.0,84764530910000.0,0.06459480071168595
0.5,1218655419000000.0,93089682790000.0,0.07096628961142705
0.55,1218191127000000.0,96944614680000.0,0.0737145312134545
0.6,1203093438000000.0,110417194630000.0,0.0840626576496874
0.65,1194713319000000.0,120579994370000.0,0.09167536483634516
0.7,1185317158000000.0,124720228710000.0,0.09520356439843272
0.75,1179145525000000.0,136606557130000.0,0.10382393384387051
0.8,1174636534000000.0,138181504580000.0,0.10525564131451379
0.85,1157599692000000.0,153708416560000.0,0.11721762075336617
0.9,1155342143000000.0,161512884000000.0,0.12265046697505602
0.95,1151579239000000.0,162931983800000.0,0.12394872023453979
1.0,1135644768000000.0,171376685410000.0,0.13112002481893523
2.0,1016811183000000.0,298775590900000.0,0.22710443493916613
3.0,907463533000000.0,404091283300000.0,0.30810094879600497
4.0,822159500000000.0,488784829000000.0,0.3728494171623973
5.0,755256333000000.0,551772527000000.0,0.42215787568761104
6.0,700095517000000.0,617045440000000.0,0.4684733526208312
7.0,639778266000000.0,670204750000000.0,0.5116133123973265
8.0,594014843000000.0,718124724000000.0,0.5472929420472236
9.0,554666399000000.0,759632600000000.0,0.5779754839484589
10.0,515705924000000.0,794125960000000.0,0.6062808286318979
12.0,457092572000000.0,856094509000000.0,0.6519212086278513
14.0,406336580000000.0,910303204000000.0,0.6913836381538354
16.0,362859326000000.0,947265366000000.0,0.7230345109776772
18.0,326419166900000.0,982621882000000.0,0.7506425278456369
20.0,296209419400000.0,1015883452000000.0,0.7742466056659959
25.0,231469242100000.0,1076226489000000.0,0.822994572364862
30.0,195001760900000.0,1120238934000000.0,0.8517368253155927
35.0,161202995000000.0,1153472921000000.0,0.8773819516748491
40.0,129563770000000.0,1177781951000000.0,0.9008955566084726
45.0,109470631700000.0,1203924254000000.0,0.9166506334904331
50.0,92564001460000.0,1217954140000000.0,0.9293683936668913
55.0,77024825050000.0,1235605671000000.0,0.9413202532763142
60.0,62849847630000.0,1246517985000000.0,0.9519998536211481
65.0,52888816370000.0,1255175985000000.0,0.9595671282381371
70.0,42129408470000.0,1260431669000000.0,0.9676564813745018
75.0,33514951230000.0,1276559521000000.0,0.9744175221024259
80.0,27122016483000.0,1284271896000000.0,0.9793181772274304
85.0,17320393899000.0,1293410736000000.0,0.9867857003592074
90.0,11589721542000.0,1299067213000000.0,0.991157318718151
95.0,5326574399900.0,1304877806000000.0,0.9959345469458175
100.0,0.0,1310616258000000.0,1.0
