ratio,success,failure,failRate,totLatency
0,8.5218e+11,0,0,1.20446e-06
0.05,1.01527e+12,1.45579e+09,0.00143185,1.20367e-06
0.1,1.00204e+12,4.74224e+08,0.000473036,1.20342e-06
0.15,9.97633e+11,4.95021e+09,0.00493745,1.18736e-06
0.2,1.00047e+12,1.58912e+10,0.0156354,1.11473e-06
0.25,9.33225e+11,4.52514e+10,0.0462468,1.11767e-06
0.3,8.74394e+11,2.24233e+10,0.0250032,1.11495e-06
0.35,9.04947e+11,1.17547e+10,0.0128228,1.14928e-06
0.4,9.30882e+11,7.88628e+10,0.0781017,1.14248e-06
0.45,9.15359e+11,9.42432e+10,0.0933469,1.09724e-06
0.5,7.6447e+11,1.34203e+11,0.149335,1.00746e-06
0.55,8.03845e+11,1.87728e+11,0.189324,1.10767e-06
0.6,8.59257e+11,1.30524e+11,0.131871,1.04112e-06
0.65,9.22406e+11,7.45688e+10,0.0747951,1.11134e-06
0.7,9.72692e+11,4.27467e+10,0.0420968,1.12077e-06
0.75,8.71258e+11,4.30526e+10,0.0470875,1.13946e-06
0.8,9.47545e+11,6.13576e+10,0.0608162,1.08485e-06
0.85,7.26913e+11,2.41341e+11,0.249254,1.00929e-06
0.9,7.43551e+11,2.72454e+11,0.268162,1.00101e-06
0.95,8.10319e+11,2.01536e+11,0.199175,1.05419e-06
1,6.52453e+11,2.14903e+11,0.247767,1.02241e-06
2,9.26668e+11,8.50045e+10,0.0840237,9.0209e-07
3,5.08765e+11,3.07511e+11,0.376724,8.9722e-07
4,5.93315e+11,3.70412e+11,0.384354,7.1596e-07
5,4.67591e+11,3.83017e+11,0.450287,6.6305e-07
6,4.00248e+11,4.19735e+11,0.511882,5.8331e-07
7,2.98511e+11,5.10521e+11,0.631027,5.3478e-07
8,3.74221e+11,5.72011e+11,0.604515,4.4905e-07
9,3.75383e+11,5.42355e+11,0.590969,4.2045e-07
10,5.14591e+11,4.97778e+11,0.491696,3.9859e-07
12,1.98826e+11,6.09492e+11,0.754025,3.4197e-07
14,1.90335e+11,6.06539e+11,0.761148,3.2418e-07
16,1.88703e+11,5.49937e+11,0.744526,2.7897e-07
18,2.2626e+11,7.81474e+11,0.775476,2.4094e-07
20,2.44891e+11,7.51131e+11,0.754131,2.1321e-07
25,1.79342e+11,7.71464e+11,0.811379,1.7003e-07
30,1.3417e+11,7.2932e+11,0.844619,1.1911e-07
35,1.39866e+11,7.22584e+11,0.837827,8.794e-08
40,1.53687e+11,8.60463e+11,0.848458,8.018e-08
45,7.71138e+10,7.89301e+11,0.910997,5.088e-08
50,7.35418e+10,9.37415e+11,0.927255,4.054e-08
55,7.28185e+10,8.27916e+11,0.919157,3.595e-08
60,2.33249e+10,7.74418e+11,0.970761,2.764e-08
65,1.65874e+10,7.95114e+11,0.979565,2.479e-08
70,1.87681e+10,7.84419e+11,0.976633,2.009e-08
75,1.73902e+10,9.90752e+11,0.98275,1.64e-08
80,9.40973e+09,1.00015e+12,0.990679,1.294e-08
85,2.97725e+09,8.05594e+11,0.996318,5.58e-09
90,6.52381e+09,1.00391e+12,0.993544,4.84e-09
95,5.05699e+10,9.53117e+11,0.949616,3.04e-09
100,0,9.0553e+11,1,0
