ratio,success,failure,failRate,totLatency
0,1.01958e+12,0,0,1.20659e-06
0.05,7.98079e+11,1.92539e+09,0.00240673,1.20404e-06
0.1,1.01299e+12,6.11567e+09,0.00600101,1.20244e-06
0.15,8.91037e+11,3.28061e+09,0.00366829,1.18693e-06
0.2,8.79365e+11,3.00604e+10,0.0330543,1.14626e-06
0.25,8.73869e+11,3.77642e+10,0.0414247,1.17171e-06
0.3,8.68013e+11,2.59075e+10,0.0289819,1.19574e-06
0.35,8.08274e+11,2.57109e+09,0.00317088,1.18047e-06
0.4,9.7144e+11,4.87239e+10,0.0477608,1.14079e-06
0.45,9.72402e+11,3.23577e+10,0.0322044,1.14012e-06
0.5,9.43885e+11,1.83052e+10,0.0190245,1.14889e-06
0.55,9.02414e+11,1.09886e+11,0.108551,1.1389e-06
0.6,7.35973e+11,7.98494e+10,0.097876,1.12534e-06
0.65,9.65423e+11,4.12214e+10,0.0409493,1.10622e-06
0.7,9.36142e+11,5.07925e+10,0.0514649,1.14253e-06
0.75,8.5064e+11,1.49854e+11,0.14978,1.05568e-06
0.8,8.06414e+11,1.93326e+11,0.193377,1.00646e-06
0.85,9.23394e+11,9.57657e+10,0.0939653,1.09135e-06
0.9,9.19305e+11,9.79477e+10,0.0962865,1.04099e-06
0.95,9.16051e+11,1.01056e+11,0.0993566,1.03698e-06
1,9.1422e+11,1.01472e+11,0.099904,1.04327e-06
2,7.41998e+11,1.76435e+11,0.192104,9.3717e-07
3,4.87131e+11,5.17996e+11,0.515354,7.264e-07
4,4.49794e+11,5.53623e+11,0.551738,6.6386e-07
5,5.95558e+11,4.18091e+11,0.412461,6.5756e-07
6,3.84836e+11,4.23932e+11,0.52417,5.7871e-07
7,4.79904e+11,5.35707e+11,0.527473,5.7918e-07
8,4.63192e+11,5.44024e+11,0.540126,5.1487e-07
9,3.01697e+11,7.05176e+11,0.700363,4.1922e-07
10,4.03123e+11,5.59704e+11,0.581313,4.2219e-07
12,2.93461e+11,7.13425e+11,0.708546,3.5321e-07
14,3.22074e+11,6.91024e+11,0.68209,3.2407e-07
16,3.18212e+11,6.42596e+11,0.668808,2.6729e-07
18,2.99873e+11,7.12861e+11,0.703898,2.3798e-07
20,1.5518e+11,8.45715e+11,0.844959,2.0286e-07
25,8.64701e+10,9.17509e+11,0.913873,1.7475e-07
30,2.43062e+11,7.26464e+11,0.749298,1.3417e-07
35,2.12653e+11,8.03599e+11,0.790748,9.837e-08
40,1.64189e+11,7.43172e+11,0.819048,7.039e-08
45,1.50192e+11,8.59417e+11,0.851238,7.053e-08
50,7.41738e+10,9.31115e+11,0.926216,5.096e-08
55,2.22582e+10,9.98294e+11,0.97819,4.155e-08
60,1.97214e+10,9.95414e+11,0.980573,2.713e-08
65,1.69128e+10,9.88276e+11,0.983175,2.124e-08
70,1.05127e+11,7.86337e+11,0.882073,1.579e-08
75,1.68992e+10,7.9777e+11,0.979256,1.578e-08
80,5.40516e+09,7.98907e+11,0.99328,1.053e-08
85,5.23886e+10,8.50298e+11,0.941964,1.268e-08
90,1.02139e+09,9.16482e+11,0.998887,3.68e-09
95,2.10327e+08,9.10187e+11,0.999769,1.25e-09
100,0,1.01363e+12,1,0
