ratio,success,failure,failRate,totLatency
0,1.00251e+12,0,0,1.20362e-06
0.05,8.98459e+11,4.01588e+09,0.00444985,1.20143e-06
0.1,9.89718e+11,5.30448e+09,0.00533101,1.20205e-06
0.15,8.82007e+11,2.71628e+10,0.0298764,1.17322e-06
0.2,9.96867e+11,5.15193e+09,0.00514155,1.17878e-06
0.25,9.40072e+11,7.73666e+10,0.0760406,1.11687e-06
0.3,1.00318e+12,1.16621e+10,0.0114915,1.15393e-06
0.35,7.55178e+11,1.06075e+11,0.123164,1.12422e-06
0.4,9.69547e+11,4.53233e+10,0.0446592,1.11307e-06
0.45,9.9515e+11,1.08564e+10,0.0107916,1.15879e-06
0.5,9.44113e+11,7.26638e+10,0.0714648,1.08453e-06
0.55,8.64239e+11,5.23596e+10,0.0571237,1.12499e-06
0.6,7.98389e+11,1.57271e+11,0.164568,1.08495e-06
0.65,6.31784e+11,1.8611e+11,0.227548,1.07741e-06
0.7,9.43935e+11,4.53394e+10,0.0458309,1.10039e-06
0.75,6.96304e+11,1.17613e+11,0.144502,1.13008e-06
0.8,8.12761e+11,1.02041e+11,0.111544,1.11174e-06
0.85,8.87345e+11,7.54156e+10,0.0783327,1.04864e-06
0.9,7.35889e+11,2.20142e+11,0.230266,1.03915e-06
0.95,6.73265e+11,1.2879e+11,0.160575,1.09677e-06
1,7.13046e+11,1.40533e+11,0.164639,9.8935e-07
2,4.59593e+11,3.40843e+11,0.425821,8.2502e-07
3,5.65674e+11,4.38974e+11,0.436943,7.0528e-07
4,7.52066e+11,2.396e+11,0.241614,7.8426e-07
5,6.53849e+11,3.61446e+11,0.356001,7.7963e-07
6,5.59857e+11,4.4332e+11,0.441916,5.7638e-07
7,6.36082e+11,3.60663e+11,0.361841,5.7612e-07
8,4.72473e+11,3.78908e+11,0.445051,5.3448e-07
9,4.12252e+11,5.96979e+11,0.591519,4.7881e-07
10,2.52766e+11,6.13653e+11,0.708264,3.9152e-07
12,3.95506e+11,5.98235e+11,0.602003,3.7971e-07
14,3.18309e+11,6.9375e+11,0.685483,3.2219e-07
16,3.31769e+11,6.31997e+11,0.655758,2.1163e-07
18,2.26293e+11,7.72704e+11,0.77348,2.2393e-07
20,1.6454e+11,8.49983e+11,0.837815,1.9757e-07
25,1.10248e+11,6.9157e+11,0.862503,1.5241e-07
30,1.69414e+11,7.32462e+11,0.812154,9.228e-08
35,1.09316e+11,7.5424e+11,0.873412,9.109e-08
40,5.22503e+10,8.15255e+11,0.93977,7.554e-08
45,1.27216e+11,8.88306e+11,0.874729,5.494e-08
50,2.88349e+10,9.78012e+11,0.971361,4.903e-08
55,6.65288e+10,9.43303e+11,0.934119,4.125e-08
60,7.65808e+10,9.3591e+11,0.924364,3.588e-08
65,2.29032e+10,7.78342e+11,0.971416,2.703e-08
70,5.81494e+10,9.00946e+11,0.939371,2.123e-08
75,2.28948e+09,8.06866e+11,0.997171,1.79e-08
80,7.04013e+09,1.00505e+12,0.993044,1.311e-08
85,4.52832e+09,1.00833e+12,0.995529,7.23e-09
90,1.15772e+10,8.06658e+11,0.985851,5.13e-09
95,1.61272e+08,9.92128e+11,0.999837,2.2e-09
100,0,8.11653e+11,1,0
