theta,success,fail,fail_rate
0.0,18352143000000.0,382492350000.0,0.02041632211432394
1.0,19123270000000.0,421587890000.0,0.021570271442889474
2.0,18535118000000.0,404029240000.0,0.021333021750138736
3.0,18610787000000.0,426840110000.0,0.022420867240108475
4.0,18949872000000.0,375919350000.0,0.01945169246588187
5.0,19452961000000.0,466145327300.0,0.023401919726746354
6.0,18396772000000.0,385147935000.0,0.02050631332328699
7.0,18363332000000.0,416489737000.0,0.022177512802447535
8.0,18547823000000.0,474517580000.0,0.024945278316534064
9.0,18525022000000.0,705971740000.0,0.03671010190864947
10.0,18929293000000.0,467714540000.0,0.024112716306135953
11.0,18058331000000.0,697903400000.0,0.03720914257714757
12.0,18029784000000.0,605900150000.0,0.032512900794146586
13.0,18312357000000.0,715226360000.0,0.03758892269543577
14.0,17950784000000.0,891631830000.0,0.047320462410153696
15.0,17775261000000.0,1635816400000.0,0.08427231349868297
16.0,16626628000000.0,1655448900000.0,0.09055037395669198
17.0,16703579000000.0,2130607500000.0,0.11312447713098732
18.0,16953631000000.0,2119000700000.0,0.11110164204554948
19.0,16973925000000.0,2868655500000.0,0.14457068726519717
20.0,16978846000000.0,2488622500000.0,0.12783493138822852
21.0,16486483000000.0,2421656500000.0,0.1280748166682396
22.0,17384096000000.0,2103354400000.0,0.10793379107202243
23.0,16958936000000.0,2583964200000.0,0.13222009904138998
24.0,16614973000000.0,2620107500000.0,0.13621505249224197
25.0,17442032000000.0,1735396600000.0,0.09049162096736994
26.0,16911523000000.0,2230307200000.0,0.11651483566080321
27.0,17163733000000.0,2237832600000.0,0.11534288758635025
28.0,17175917000000.0,1814673700000.0,0.09555646418096937
29.0,17202441000000.0,1585071400000.0,0.08436834884005186
30.0,17127304000000.0,1634335900000.0,0.08711050359728949
31.0,17263211000000.0,1871901900000.0,0.09782549545343942
32.0,17438832000000.0,1729793900000.0,0.09024089201928658
33.0,17088301000000.0,1376368500000.0,0.07454065181074593
34.0,17649681000000.0,1352106200000.0,0.07115679097806127
35.0,17702845000000.0,1170660200000.0,0.06202664463196799
36.0,17989557000000.0,1434375300000.0,0.07384577323717299
37.0,17990268000000.0,1180751400000.0,0.06159043373562076
38.0,17825795000000.0,1046189700000.0,0.055436124850186
39.0,17681771000000.0,726074400000.0,0.03944374717532124
