ratio,success,failure,failRate,totLatency
0,1.01174e+12,0,0,1.20845e-06
0.05,9.69154e+11,5.44272e+07,5.61564e-05,1.20774e-06
0.1,1.00473e+12,160074,1.5932e-07,1.20786e-06
0.15,9.51033e+11,0,0,1.2077e-06
0.2,9.15042e+11,1.12597e+08,0.000123036,1.2069e-06
0.25,8.64859e+11,2.35519e+09,0.00271581,1.2043e-06
0.3,1.01265e+12,2.74194e+09,0.00270038,1.20594e-06
0.35,9.82938e+11,3.85835e+10,0.0377706,1.16617e-06
0.4,1.00188e+12,5.20219e+09,0.00516563,1.19349e-06
0.45,9.17351e+11,2.99328e+10,0.0315986,1.18703e-06
0.5,1.01397e+12,1.31393e+09,0.00129416,1.20309e-06
0.55,7.83949e+11,2.28255e+10,0.0282923,1.18805e-06
0.6,9.14459e+11,5.04045e+10,0.05224,1.16813e-06
0.65,9.18044e+11,9.24304e+10,0.0914723,1.17806e-06
0.7,7.42903e+11,6.46311e+10,0.0800351,1.18876e-06
0.75,7.37201e+11,8.08246e+10,0.0988045,1.19399e-06
0.8,9.86927e+11,2.36215e+10,0.0233749,1.19185e-06
0.85,8.18098e+11,3.68844e+10,0.0431405,1.183e-06
0.9,9.89226e+11,1.81374e+10,0.0180048,1.1879e-06
0.95,9.76367e+11,3.80938e+10,0.0375508,1.17789e-06
1,9.32493e+11,8.45867e+10,0.0831663,1.15236e-06
2,7.34166e+11,2.33737e+11,0.241488,1.04292e-06
3,6.06498e+11,2.07553e+11,0.254963,9.9809e-07
4,7.71141e+11,2.41618e+11,0.238574,9.7709e-07
5,5.3171e+11,2.73768e+11,0.339883,1.02755e-06
6,6.62554e+11,3.56833e+11,0.350046,8.8661e-07
7,6.54178e+11,3.60888e+11,0.355531,9.0467e-07
8,6.52563e+11,2.99465e+11,0.314555,8.4838e-07
9,6.38721e+11,3.8113e+11,0.373712,8.7744e-07
10,6.23794e+11,3.86699e+11,0.382684,8.2358e-07
12,4.97587e+11,4.69128e+11,0.48528,7.5049e-07
14,3.03588e+11,4.84609e+11,0.614833,7.2035e-07
16,5.32832e+11,4.79291e+11,0.47355,6.8127e-07
18,5.25148e+11,4.81612e+11,0.478378,6.8871e-07
20,3.96224e+11,6.06408e+11,0.604816,6.4558e-07
25,4.14563e+11,5.93522e+11,0.588762,5.2789e-07
30,2.00465e+11,6.09996e+11,0.752653,4.9582e-07
35,2.35198e+11,7.7132e+11,0.766325,4.26e-07
40,1.55226e+11,8.609e+11,0.847237,4.3473e-07
45,1.04097e+11,7.03535e+11,0.871109,3.0541e-07
50,1.29321e+11,7.85083e+11,0.858574,2.5734e-07
55,1.66699e+11,8.44711e+11,0.835182,2.1869e-07
60,1.41855e+11,8.73803e+11,0.860332,1.7111e-07
65,3.0106e+10,9.75791e+11,0.97007,1.1383e-07
70,1.79987e+10,9.89338e+11,0.982132,8.141e-08
75,1.43885e+11,8.50282e+11,0.855271,5.324e-08
80,2.41489e+10,7.70905e+11,0.969626,4.316e-08
85,2.25321e+10,7.90468e+11,0.972285,2.374e-08
90,2.34876e+10,9.82784e+11,0.976659,2.109e-08
95,7.61742e+07,1.00725e+12,0.999924,6.63e-09
100,0,1.01544e+12,1,0
