theta,success,fail,fail_rate
0.0,28428559000000.0,581630462000.0,0.020049178333077376
1.0,27597002000000.0,510893749100.0,0.01817616493459346
2.0,28520395000000.0,647073684900.0,0.022184773450532238
3.0,28146889000000.0,621737569300.0,0.021611652812215852
4.0,28088009000000.0,522671762000.0,0.018268414035579317
5.0,27866154000000.0,628282619000.0,0.022049308340459102
6.0,27020746000000.0,516769392000.0,0.01876601373231109
7.0,28781975000000.0,523805106000.0,0.01787378135321357
8.0,27642132000000.0,554850420000.0,0.01967765244292407
9.0,27711182000000.0,440339289000.0,0.015641758201254272
10.0,27409804000000.0,532246106000.0,0.019048212424674978
11.0,28273665000000.0,524764130000.0,0.01822197063704912
12.0,27776791000000.0,441756105000.0,0.01565481395467472
13.0,28338171000000.0,462796730000.0,0.016068790963504196
14.0,27482148000000.0,470206960000.0,0.01682172971375289
15.0,28547770000000.0,308783770000.0,0.010700646115303601
16.0,28515827000000.0,350556286000.0,0.012144101411208568
17.0,28727986000000.0,399865664000.0,0.013727949064441514
18.0,27969117000000.0,413480042000.0,0.014568083441699874
19.0,28132709000000.0,438715271000.0,0.015355036796163363
20.0,27834833000000.0,542663683000.0,0.019123028682268915
21.0,28528873000000.0,423925533000.0,0.014641953610004765
22.0,28378099000000.0,530971695000.0,0.018366958267248445
23.0,28455417000000.0,569764379000.0,0.019630002361061216
24.0,27880121000000.0,544730491000.0,0.01916388168896766
25.0,28669785000000.0,652328676000.0,0.022246986803476164
26.0,27750680000000.0,439313305000.0,0.015584015939517089
27.0,27725540000000.0,570972171000.0,0.02017818194516451
28.0,28575070000000.0,588648230000.0,0.02018426544097083
29.0,27769600000000.0,609280982000.0,0.021469521028205846
30.0,27757674000000.0,635085312000.0,0.022367861644626615
31.0,28176467000000.0,639881197000.0,0.022205492265207166
32.0,27122867000000.0,650751594000.0,0.023430565657029057
33.0,27184180000000.0,666480759000.0,0.023930518732293463
34.0,28418288000000.0,749912100000.0,0.025709920304612832
35.0,27556925000000.0,905275551000.0,0.031806238923019384
36.0,27406852000000.0,833561500000.0,0.02951661809059559
37.0,27993382000000.0,1031178150000.0,0.03552777870433981
38.0,28025464000000.0,1092209044000.0,0.03751017611708024
39.0,27171100000000.0,972968230000.0,0.03457098746523327
40.0,28451552000000.0,859021130000.0,0.029307551448755995
