ratio,success,failure,failRate,totLatency
0,1.01279e+12,0,0,1.20392e-06
0.05,1.01074e+12,7.48502e+07,7.40492e-05,1.20342e-06
0.1,1.01593e+12,195704,1.92636e-07,1.20332e-06
0.15,1.00511e+12,1.59155e+09,0.00158095,1.20075e-06
0.2,8.54948e+11,5.26953e+10,0.0580573,1.18369e-06
0.25,9.97969e+11,4.08838e+09,0.00407999,1.19256e-06
0.3,9.02599e+11,1.75733e+09,0.00194319,1.19844e-06
0.35,9.00483e+11,2.90391e+09,0.00321447,1.1879e-06
0.4,1.00768e+12,9.70518e+09,0.00953931,1.17522e-06
0.45,1.0106e+12,7.58186e+09,0.00744648,1.16301e-06
0.5,1.00698e+12,3.17145e+09,0.00313959,1.17336e-06
0.55,1.00166e+12,7.67243e+09,0.0076015,1.18978e-06
0.6,7.59515e+11,5.11217e+10,0.0630637,1.19068e-06
0.65,9.75317e+11,3.93424e+10,0.038774,1.17141e-06
0.7,6.75208e+11,9.03618e+09,0.0132061,1.19466e-06
0.75,7.78054e+11,3.0918e+10,0.0382189,1.16502e-06
0.8,9.57947e+11,2.69743e+09,0.00280794,1.18936e-06
0.85,9.71846e+11,4.79388e+10,0.0470087,1.13644e-06
0.9,8.98544e+11,1.45397e+10,0.0159237,1.18836e-06
0.95,9.89442e+11,4.81748e+09,0.00484529,1.1828e-06
1,9.86708e+11,2.17836e+10,0.0216002,1.16275e-06
2,9.62138e+11,4.8934e+10,0.0483982,1.06125e-06
3,9.50267e+11,6.79921e+10,0.0667728,1.08218e-06
4,9.05631e+11,1.02602e+11,0.101764,1.01242e-06
5,5.5233e+11,2.56573e+11,0.317186,8.6031e-07
6,7.52393e+11,2.1004e+11,0.218238,8.6968e-07
7,7.01608e+11,3.14681e+11,0.309637,9.0567e-07
8,6.92407e+11,3.24847e+11,0.319337,8.0108e-07
9,7.39421e+11,2.23805e+11,0.23235,7.9624e-07
10,7.46638e+11,2.65851e+11,0.262572,6.6701e-07
12,4.98679e+11,3.17579e+11,0.389067,6.684e-07
14,6.42543e+11,3.72749e+11,0.367135,6.4056e-07
16,6.61234e+11,3.44038e+11,0.342234,5.7032e-07
18,4.64271e+11,5.47804e+11,0.541268,5.3818e-07
20,4.12164e+11,5.93831e+11,0.590292,4.3676e-07
25,2.78017e+11,7.29073e+11,0.72394,3.029e-07
30,2.77963e+11,7.19927e+11,0.721449,2.4378e-07
35,2.56296e+11,7.43152e+11,0.743563,2.0474e-07
40,2.59201e+11,6.57788e+11,0.717335,1.6932e-07
45,9.33415e+10,6.98048e+11,0.882054,1.3609e-07
50,7.71704e+10,9.3286e+11,0.923596,1.0893e-07
55,9.53272e+10,7.71884e+11,0.890076,8.603e-08
60,9.18614e+10,9.21785e+11,0.909375,8.196e-08
65,1.17921e+11,8.43354e+11,0.877328,3.35e-08
70,2.73354e+10,9.83782e+11,0.972965,3.019e-08
75,1.14611e+10,9.4706e+11,0.988043,2.292e-08
80,7.99001e+09,9.52949e+11,0.991685,1.599e-08
85,5.93182e+10,9.31489e+11,0.940131,1.027e-08
90,8.50399e+09,9.52194e+11,0.991148,5.87e-09
95,1.48354e+09,7.97964e+11,0.998144,4.65e-09
100,0,1.00426e+12,1,0
