ratio,success,failure,failRate,totLatency
0,8.00381e+11,0,0,1.20538e-06
0.05,9.98673e+11,3545.81,3.55052e-09,1.20635e-06
0.1,9.07379e+11,3.35535e+08,0.000369648,1.20351e-06
0.15,7.71954e+11,7.31569e+08,0.000946788,1.1944e-06
0.2,1.01145e+12,5.56472e+09,0.00547164,1.18004e-06
0.25,9.96799e+11,1.43948e+10,0.0142355,1.18657e-06
0.3,9.85561e+11,2.57932e+10,0.0255036,1.18278e-06
0.35,8.56527e+11,5.58636e+10,0.0612277,1.1893e-06
0.4,8.63295e+11,6.47033e+09,0.00743917,1.18853e-06
0.45,9.33743e+11,3.14574e+10,0.0325915,1.12021e-06
0.5,8.55799e+11,5.17749e+09,0.00601351,1.17252e-06
0.55,9.94274e+11,1.93456e+10,0.0190857,1.20403e-06
0.6,9.95513e+11,2.03894e+09,0.00204394,1.19164e-06
0.65,9.0323e+11,1.00913e+10,0.011049,1.18407e-06
0.7,9.01298e+11,4.25591e+09,0.00469978,1.17807e-06
0.75,9.53694e+11,3.87734e+10,0.0390677,1.18367e-06
0.8,1.0076e+12,1.86391e+09,0.00184644,1.19657e-06
0.85,9.88604e+11,1.64493e+10,0.0163666,1.16933e-06
0.9,8.93765e+11,1.60481e+10,0.0176389,1.18379e-06
0.95,9.89868e+11,2.68901e+10,0.0264469,1.16962e-06
1,8.96939e+11,1.79938e+10,0.0196668,1.15793e-06
2,9.69111e+11,4.27836e+10,0.0422807,1.13209e-06
3,8.28202e+11,8.7799e+10,0.0958503,1.05951e-06
4,7.28952e+11,1.64156e+11,0.183803,9.4561e-07
5,7.39818e+11,2.78107e+11,0.27321,9.2744e-07
6,6.61631e+11,1.48709e+11,0.183514,9.3679e-07
7,6.84539e+11,1.30905e+11,0.160532,8.6865e-07
8,8.29418e+11,1.89755e+11,0.186185,8.3864e-07
9,5.00294e+11,3.10735e+11,0.383137,7.0264e-07
10,6.01065e+11,4.10206e+11,0.405634,7.4687e-07
12,6.59555e+11,3.27494e+11,0.331791,6.8308e-07
14,4.96904e+11,4.58634e+11,0.479975,6.5064e-07
16,5.54183e+11,4.4129e+11,0.443297,5.6295e-07
18,4.08865e+11,5.92757e+11,0.591797,4.3939e-07
20,3.05125e+11,5.03862e+11,0.622831,4.3077e-07
25,3.69364e+11,6.27271e+11,0.629389,3.24e-07
30,2.5758e+11,5.97426e+11,0.698739,2.8788e-07
35,2.13864e+11,7.78248e+11,0.784435,2.4118e-07
40,1.9959e+11,8.19923e+11,0.80423,1.7744e-07
45,2.62296e+11,7.49293e+11,0.740709,1.1838e-07
50,1.85795e+11,8.27199e+11,0.816588,1.1681e-07
55,4.04136e+10,7.50508e+11,0.948903,8.345e-08
60,2.38747e+10,7.75761e+11,0.970143,5.057e-08
65,2.4667e+10,8.39921e+11,0.97147,3.695e-08
70,7.91699e+10,9.23984e+11,0.921079,3.202e-08
75,1.37629e+10,9.86654e+11,0.986243,2.872e-08
80,1.41042e+10,9.51224e+11,0.985389,2.091e-08
85,1.43565e+10,7.92335e+11,0.982203,1.25e-08
90,2.9764e+09,9.98246e+11,0.997027,3.74e-09
95,4.56766e+09,8.03555e+11,0.994348,2.34e-09
100,0,9.59518e+11,1,0
