ratio,success,fail,fail_rate
0.0,1320194240000000.0,0.0,0.0
0.05,1313473172000000.0,3053472700312.776,0.002319339842155532
0.1,1312975088000000.0,4867561837477.8125,0.0036935834775707875
0.15,1316453181000000.0,7416655789489.973,0.00560225452940001
0.2,1310198050000000.0,9569860743834.807,0.007251169441179347
0.25,1300977325000000.0,13078452250108.951,0.009952737529511795
0.3,1300241175000000.0,14938986183486.713,0.011358889545629716
0.35,1303238470000000.0,18179889611104.0,0.013757860619141372
0.4,1294301895000000.0,21456083740980.0,0.016307013970389035
0.45,1299239421000000.0,21623519504730.0,0.016370751908950668
0.5,1295978814000000.0,25277964715400.0,0.019131757825285603
0.55,1291266004000000.0,26413237486400.0,0.0200452709997956
0.6,1289104902000000.0,29098704275100.0,0.022074514237846274
0.65,1279274881000000.0,33551993159000.0,0.025557058451056987
0.7,1278274669000000.0,33576970058000.0,0.02559509708133656
0.75,1277281193000000.0,37404460751700.0,0.028451258021230715
0.8,1273054361000000.0,39932553144700.0,0.030413519521413267
0.85,1277717915000000.0,40966519157800.0,0.031066203631928024
0.9,1273558743000000.0,45215267494000.0,0.03428583452070215
0.95,1267255578000000.0,47096372008000.0,0.035832390257201155
1.0,1269545088000000.0,49933330300000.0,0.037843233816839156
2.0,1215334975000000.0,99902736070000.0,0.0759579315808433
3.0,1168391922000000.0,150913866600000.0,0.11438884594006396
4.0,1120324959000000.0,197784957400000.0,0.15005194554653453
5.0,1069502807000000.0,247460591900000.0,0.18790240648046305
6.0,1026960169000000.0,290408227900000.0,0.22044572238364132
7.0,978263239000000.0,338230565800000.0,0.2569177041067683
8.0,936657601000000.0,379338803000000.0,0.28825215771638235
9.0,894984733000000.0,425136307000000.0,0.3220434294418942
10.0,857499652000000.0,460339226000000.0,0.3493137390958047
12.0,774191813000000.0,542512937000000.0,0.4120232246447049
14.0,711012596000000.0,605981317000000.0,0.4601246148660066
16.0,652286458000000.0,664120487000000.0,0.5044948216981642
18.0,599273958000000.0,712251252000000.0,0.5430709578201703
20.0,551749519000000.0,763741745000000.0,0.5805753074161046
25.0,446873819000000.0,870010833000000.0,0.6606583436739758
30.0,366905723000000.0,947051686000000.0,0.7207628493230712
35.0,296432092500000.0,1021812626000000.0,0.7751312117242516
40.0,245017923900000.0,1075730488000000.0,0.8144855434294844
45.0,199369528700000.0,1119302879000000.0,0.8488104190731222
50.0,164188573600000.0,1152478071000000.0,0.8752998154290754
55.0,131315701300000.0,1185746974000000.0,0.9002965433895627
60.0,105710779500000.0,1206932249000000.0,0.9194672297000661
65.0,85536206500000.0,1236051639000000.0,0.9352776988746905
70.0,62540095020000.0,1251543329000000.0,0.9524078198713751
75.0,48325247770000.0,1267500762000000.0,0.9632738314859371
80.0,36170929370000.0,1276331960000000.0,0.9724412573389747
85.0,23035801198000.0,1290430537000000.0,0.9824618259881682
90.0,15352164137000.0,1299867398000000.0,0.9883272994266786
95.0,6198827912800.0,1306110231000000.0,0.9952763963102293
100.0,0.0,1310765549000000.0,1.0
