theta,success,failure,failRate,totLatency
0,1.01991e+12,2.62794e+08,0.000257597,1.20575e-06
1,1.01803e+12,1.48677e+08,0.000146023,1.20576e-06
2,1.01236e+12,4.18333e+08,0.000413053,1.20474e-06
3,1.0087e+12,2.16189e+08,0.000214278,1.20563e-06
4,1.01096e+12,1.31689e+09,0.00130091,1.20339e-06
5,7.97441e+11,1.26437e+09,0.00158303,1.20335e-06
6,9.06636e+11,2.09574e+09,0.00230623,1.20262e-06
7,1.00297e+12,2.12788e+09,0.00211708,1.20211e-06
8,9.4821e+11,2.06139e+09,0.00216926,1.20005e-06
9,1.00557e+12,1.14896e+09,0.00114129,1.20379e-06
10,1.01384e+12,5.25904e+08,0.000518457,1.20344e-06
11,1.01261e+12,7.31758e+07,7.22593e-05,1.20355e-06
12,1.0007e+12,1.0354e+08,0.000103457,1.20337e-06
13,8.24163e+11,1.97994e+07,2.40231e-05,1.20396e-06
14,8.69116e+11,1.26168e+08,0.000145147,1.20498e-06
15,1.00582e+12,3.54345e+07,3.52282e-05,1.2037e-06
16,1.01881e+12,3.64919e+07,3.5817e-05,1.20413e-06
17,9.59513e+11,7.11099e+06,7.41099e-06,1.20525e-06
18,9.09322e+11,1.0287e+08,0.000113116,1.20502e-06
19,8.9728e+11,4.56877e+07,5.09154e-05,1.20476e-06
20,9.92175e+11,4.95442e+07,4.99324e-05,1.20507e-06
21,9.14315e+11,2.03048e+08,0.000222028,1.2041e-06
22,7.98233e+11,1.37572e+09,0.00172049,1.20319e-06
23,8.15143e+11,9.56903e+08,0.00117253,1.20397e-06
24,8.83019e+11,4.59159e+08,0.000519718,1.20376e-06
25,1.01239e+12,2.2958e+09,0.00226256,1.20371e-06
26,1.00629e+12,6.38592e+09,0.00630598,1.20368e-06
27,1.01311e+12,9.90688e+08,0.000976909,1.20398e-06
28,1.01156e+12,9.53545e+08,0.00094176,1.20362e-06
29,9.11337e+11,1.41203e+09,0.00154701,1.20314e-06
30,8.04697e+11,5.70727e+09,0.00704251,1.19929e-06
31,1.01486e+12,1.34105e+09,0.00131968,1.20322e-06
32,1.01123e+12,2.98627e+08,0.000295222,1.20354e-06
33,1.01248e+12,8.20664e+08,0.000809892,1.20306e-06
34,9.10536e+11,7.89477e+08,0.000866295,1.20263e-06
35,1.0086e+12,6.62814e+08,0.000656732,1.20178e-06
36,9.18001e+11,5.42211e+08,0.000590295,1.204e-06
37,1.00939e+12,8.53692e+08,0.000845034,1.20451e-06
38,1.01843e+12,2.28696e+09,0.00224055,1.20346e-06
39,1.00354e+12,4.8843e+08,0.000486471,1.20282e-06
40,1.00879e+12,6.46543e+08,0.000640498,1.20477e-06
41,1.00489e+12,1.32119e+10,0.012977,1.20448e-06
42,1.01558e+12,3.71933e+07,3.66213e-05,1.2041e-06
43,9.99883e+11,5.59274e+08,0.000559027,1.20419e-06
44,9.91575e+11,2.49268e+09,0.00250756,1.20442e-06
45,9.90549e+11,3.1051e+10,0.0303944,1.20241e-06
46,9.98329e+11,5.34858e+09,0.00532898,1.2022e-06
47,8.76443e+11,3.11746e+10,0.0343477,1.20115e-06
48,1.01726e+12,9.44705e+08,0.00092781,1.20232e-06
49,9.78584e+11,2.87851e+10,0.0285745,1.20198e-06
50,1.00367e+12,1.74939e+09,0.00173995,1.20224e-06
51,1.01361e+12,3.72585e+09,0.00366236,1.19483e-06
52,9.75019e+11,3.65023e+10,0.0360865,1.19492e-06
53,9.63346e+11,3.93613e+10,0.0392551,1.19604e-06
54,9.81039e+11,3.16791e+10,0.0312812,1.19512e-06
55,8.14395e+11,5.59237e+09,0.00682006,1.19551e-06
56,1.00485e+12,6.16956e+09,0.00610234,1.19576e-06
57,1.00093e+12,9.44365e+08,0.000942599,1.20092e-06
58,9.17173e+11,4.02988e+08,0.000439187,1.20122e-06
59,8.54817e+11,1.69483e+09,0.00197875,1.19771e-06
60,8.48271e+11,2.35126e+09,0.00276417,1.19887e-06
61,8.0896e+11,1.97765e+09,0.00243872,1.20109e-06
62,1.00878e+12,1.45295e+09,0.00143824,1.20237e-06
63,9.082e+11,0,0,1.20444e-06
64,1.00224e+12,0,0,1.20446e-06
65,8.86365e+11,0,0,1.20407e-06
66,1.00504e+12,0,0,1.20483e-06
67,1.01074e+12,0,0,1.20402e-06
68,8.49483e+11,0,0,1.20381e-06
69,9.39732e+11,5.72659e+10,0.0574383,1.20321e-06
70,1.00582e+12,3.63368e+08,0.000361135,1.20478e-06
71,1.00123e+12,1.63468e+09,0.00163001,1.20277e-06
72,9.48297e+11,6.79236e+09,0.00711176,1.19397e-06
73,9.04124e+11,6.69696e+09,0.00735266,1.19514e-06
74,9.58328e+11,1.08274e+10,0.011172,1.1879e-06
75,9.7021e+11,4.21528e+10,0.041638,1.18003e-06
76,9.86601e+11,1.35339e+10,0.0135321,1.17926e-06
77,7.89963e+11,1.59532e+10,0.0197951,1.17342e-06
78,8.22528e+11,9.5201e+10,0.103735,1.15812e-06
79,9.47834e+11,5.27429e+10,0.0527125,1.15848e-06
80,8.50292e+11,5.71379e+10,0.0629668,1.15893e-06
81,8.25729e+11,6.65292e+10,0.0745627,1.1645e-06
82,9.89133e+11,1.43172e+10,0.0142679,1.17398e-06
83,7.94172e+11,2.48327e+10,0.0303205,1.17355e-06
84,9.90564e+11,1.01938e+10,0.0101861,1.18296e-06
85,1.00778e+12,6.47523e+09,0.00638423,1.18892e-06
86,1.00227e+12,1.27709e+10,0.0125816,1.17501e-06
87,1.01199e+12,1.89335e+09,0.00186741,1.19324e-06
88,9.11196e+11,2.17508e+09,0.00238137,1.19286e-06
89,1.01367e+12,1.08389e+07,1.06927e-05,1.20355e-06
90,1.01646e+12,0,0,1.20402e-06
91,8.10624e+11,0,0,1.20452e-06
92,1.01332e+12,0,0,1.20414e-06
93,8.07813e+11,0,0,1.20417e-06
94,8.02618e+11,0,0,1.20465e-06
95,1.00193e+12,0,0,1.20356e-06
96,8.13127e+11,0,0,1.20465e-06
97,1.00466e+12,0,0,1.20409e-06
98,1.01275e+12,0,0,1.20492e-06
99,9.15778e+11,0,0,1.20491e-06
100,9.69552e+11,0,0,1.20438e-06
101,9.47907e+11,1.3547e+09,0.00142711,1.20266e-06
102,1.01561e+12,1.83126e+09,0.00179987,1.20298e-06
103,1.00689e+12,4.49805e+09,0.00444739,1.19611e-06
104,8.11255e+11,1.43648e+09,0.00176756,1.19693e-06
105,9.9941e+11,8.39248e+09,0.00832751,1.19082e-06
106,8.43124e+11,2.5891e+10,0.0297935,1.1861e-06
107,9.1986e+11,4.67624e+10,0.0483771,1.17446e-06
108,9.55766e+11,5.30565e+10,0.0525925,1.16912e-06
109,9.73714e+11,4.21425e+10,0.0414846,1.1694e-06
110,7.65375e+11,5.53222e+10,0.0674088,1.16923e-06
111,9.78734e+11,4.07514e+10,0.0399725,1.18358e-06
112,8.45854e+11,6.42147e+10,0.0705603,1.17464e-06
113,7.53021e+11,6.31622e+10,0.0773873,1.17556e-06
114,9.64345e+11,5.48209e+10,0.05379,1.17579e-06
115,9.98962e+11,4.19681e+09,0.00418359,1.1953e-06
116,1.00929e+12,1.11898e+10,0.0109652,1.18588e-06
117,9.02103e+11,1.0514e+10,0.0115207,1.18585e-06
118,9.4182e+11,6.62429e+09,0.00698438,1.19347e-06
119,9.11308e+11,3.46398e+09,0.00378671,1.19371e-06
120,8.60401e+11,6.74452e+09,0.00777783,1.1786e-06
121,8.55849e+11,3.39465e+09,0.00395074,1.18824e-06
122,8.17472e+11,3.27943e+09,0.00399565,1.18898e-06
123,8.97788e+11,6.67854e+09,0.00738395,1.18939e-06
124,1.01478e+12,5.96719e+07,5.87994e-05,1.20444e-06
125,9.91956e+11,6.67238e+09,0.00668154,1.18803e-06
126,1.00099e+12,3.68087e+09,0.00366377,1.18839e-06
127,1.00747e+12,4.50161e+07,4.46804e-05,1.20414e-06
128,1.00538e+12,1.66676e+08,0.000165757,1.20407e-06
129,8.50533e+11,9.49377e+06,1.1162e-05,1.20398e-06
130,9.17196e+11,9.76592e+07,0.000106464,1.20352e-06
131,8.62891e+11,3.11594e+08,0.000360975,1.20298e-06
132,1.02005e+12,2.41928e+08,0.000237116,1.2027e-06
133,1.01085e+12,7.67481e+07,7.59184e-05,1.20297e-06
134,1.01581e+12,1.63195e+08,0.00016063,1.20385e-06
135,1.01175e+12,1.67619e+08,0.000165646,1.20347e-06
136,8.15907e+11,8.43392e+07,0.000103358,1.20382e-06
137,8.03254e+11,9.79236e+07,0.000121894,1.20321e-06
138,1.01919e+12,5.16964e+07,5.07206e-05,1.20412e-06
139,1.00487e+12,1.13147e+08,0.000112585,1.20348e-06
140,9.13346e+11,1.74027e+08,0.000190501,1.20366e-06
141,1.00883e+12,3.04941e+09,0.00301361,1.20146e-06
142,9.92336e+11,1.38386e+10,0.0137537,1.20107e-06
143,1.00299e+12,1.22646e+10,0.0120803,1.20124e-06
144,8.15185e+11,7.59322e+07,9.31385e-05,1.20422e-06
145,9.04331e+11,1.09113e+07,1.20654e-05,1.20397e-06
146,1.01342e+12,1.07094e+08,0.000105665,1.20368e-06
147,1.01348e+12,5.0853e+06,5.01765e-06,1.20287e-06
148,1.00281e+12,8.16493e+07,8.1414e-05,1.20429e-06
149,9.49087e+11,73713.6,7.76679e-08,1.20351e-06
150,9.96386e+11,7.12162e+07,7.14694e-05,1.20322e-06
151,1.01819e+12,5.69328e+07,5.59128e-05,1.2035e-06
152,9.70204e+11,1.65449e+08,0.000170501,1.20381e-06
153,9.50698e+11,1.16647e+08,0.000122681,1.20421e-06
154,9.43129e+11,7.9701e+07,8.44999e-05,1.20337e-06
155,1.00974e+12,1.68623e+09,0.00166718,1.20188e-06
156,9.98005e+11,4.11068e+09,0.004102,1.20167e-06
157,1.01482e+12,2.69535e+09,0.00264895,1.20128e-06
158,8.48023e+11,2.77087e+09,0.00325681,1.20179e-06
159,9.09667e+11,3.141e+09,0.00344103,1.20094e-06
160,1.00531e+12,0,0,1.20387e-06
161,1.01497e+12,1.99459e+07,1.96514e-05,1.20361e-06
162,1.00661e+12,2.3982e+07,2.38239e-05,1.20385e-06
163,9.8664e+11,1.68866e+07,1.7115e-05,1.20296e-06
164,8.97367e+11,1.888e+09,0.00209952,1.2015e-06
165,7.96893e+11,2.15409e+06,2.70311e-06,1.20395e-06
166,1.00654e+12,1.00245e+08,9.95834e-05,1.20335e-06
167,9.62071e+11,4.70862e+09,0.00487042,1.19841e-06
168,1.00677e+12,1.2573e+10,0.0123345,1.19751e-06
169,8.57356e+11,7.6144e+09,0.00880307,1.19814e-06
170,9.06975e+11,4.78418e+09,0.0052472,1.19951e-06
171,8.66915e+11,2.4587e+09,0.00282813,1.20011e-06
172,1.01087e+12,1.13606e+09,0.00112258,1.20153e-06
173,1.01178e+12,1.82729e+09,0.00180275,1.20169e-06
174,1.01128e+12,2.11274e+07,2.08912e-05,1.20338e-06
175,1.01539e+12,4.03047e+08,0.000396781,1.20172e-06
176,1.00319e+12,3.24951e+08,0.000323812,1.20241e-06
177,1.01819e+12,2.89024e+08,0.000283778,1.20354e-06
178,1.01638e+12,8.81702e+07,8.6742e-05,1.20245e-06
179,9.10234e+11,8.93571e+07,9.81597e-05,1.20374e-06
