theta,success,failure,failRate,totLatency
0,8.6804e+11,2.38693e+08,0.000274904,1.208e-06
1,9.16325e+11,1.07694e+08,0.000117514,1.2079e-06
2,1.01956e+12,6.5964e+07,6.46943e-05,1.20891e-06
3,1.00139e+12,1.41477e+09,0.00141081,1.20569e-06
4,9.04704e+11,1.56703e+07,1.73206e-05,1.20901e-06
5,1.00149e+12,2.03256e+06,2.02954e-06,1.20856e-06
6,1.01985e+12,1.16897e+09,0.00114492,1.20664e-06
7,8.62245e+11,1.41717e+09,0.00164089,1.20638e-06
8,1.01449e+12,1.36968e+09,0.00134829,1.20623e-06
9,9.89125e+11,3.81055e+09,0.00383766,1.20571e-06
10,1.01102e+12,2.9717e+09,0.0029307,1.20569e-06
11,8.0345e+11,1.70245e+09,0.00211444,1.20346e-06
12,9.68527e+11,3.64494e+08,0.000376197,1.20604e-06
13,1.01978e+12,1.48294e+08,0.000145397,1.20837e-06
14,1.01899e+12,1.21497e+08,0.000119219,1.20767e-06
15,1.00736e+12,3.4389e+07,3.41367e-05,1.20791e-06
16,1.00921e+12,4.28789e+07,4.2486e-05,1.20718e-06
17,1.00266e+12,3.96397e+07,3.95331e-05,1.20817e-06
18,1.01502e+12,3.89958e+07,3.84172e-05,1.20904e-06
19,1.01409e+12,2.9251e+07,2.88438e-05,1.20776e-06
20,1.01727e+12,5.69492e+07,5.59793e-05,1.20757e-06
21,1.01624e+12,2.26338e+07,2.22716e-05,1.20907e-06
22,9.67546e+11,7.43502e+07,7.68382e-05,1.20926e-06
23,8.15951e+11,8.4136e+07,0.000103103,1.20839e-06
24,9.17524e+11,9.25558e+07,0.000100865,1.20781e-06
25,9.88624e+11,1.11739e+07,1.13023e-05,1.20845e-06
26,8.14171e+11,8.23864e+08,0.00101088,1.208e-06
27,9.30171e+11,1.41328e+10,0.0149664,1.20829e-06
28,9.8157e+11,2.76712e+10,0.0274178,1.20745e-06
29,9.09493e+11,6.32597e+08,0.000695065,1.20764e-06
30,1.01921e+12,7.8906e+06,7.74184e-06,1.20917e-06
31,9.15076e+11,2.26932e+09,0.00247379,1.20882e-06
32,9.18798e+11,4.7412e+07,5.15996e-05,1.20857e-06
33,1.01593e+12,3.56809e+08,0.000351091,1.20766e-06
34,1.0193e+12,1.78686e+08,0.000175272,1.20745e-06
35,9.06831e+11,1.35115e+10,0.0146809,1.2074e-06
36,1.01375e+12,9.77788e+08,0.000963598,1.20698e-06
37,1.00142e+12,1.82709e+09,0.00182118,1.20689e-06
38,1.00866e+12,5.42436e+08,0.000537492,1.20664e-06
39,1.00405e+12,1.3866e+10,0.013622,1.20795e-06
40,8.58312e+11,4.16652e+09,0.00483087,1.20779e-06
41,9.63256e+11,2.75592e+08,0.000286023,1.20698e-06
42,8.29109e+11,2.68987e+10,0.0314234,1.20741e-06
43,1.01458e+12,8.65006e+08,0.000851848,1.20853e-06
44,9.13192e+11,1.74692e+09,0.00190932,1.20899e-06
45,9.86107e+11,2.65236e+10,0.0261928,1.20757e-06
46,9.68224e+11,3.66984e+08,0.000378885,1.20829e-06
47,9.04998e+11,8.81334e+08,0.000972904,1.20788e-06
48,9.29312e+11,7.00523e+10,0.0700969,1.20368e-06
49,7.62226e+11,5.2255e+10,0.0641574,1.20372e-06
50,8.70274e+11,8.25818e+10,0.0866677,1.20444e-06
51,9.38389e+11,8.03204e+10,0.0788452,1.20297e-06
52,7.38184e+11,7.20826e+10,0.0889616,1.20187e-06
53,8.51493e+11,6.80029e+10,0.0739567,1.20099e-06
54,8.23325e+11,4.23508e+10,0.0489222,1.19839e-06
55,9.0202e+11,1.03587e+10,0.0113535,1.19972e-06
56,8.42223e+11,1.39564e+10,0.0163008,1.20056e-06
57,9.48193e+11,3.70707e+10,0.0376252,1.19723e-06
58,1.0068e+12,1.1549e+10,0.011341,1.198e-06
59,8.87744e+11,5.81643e+09,0.00650927,1.19718e-06
60,1.01466e+12,3.06408e+09,0.00301071,1.20429e-06
61,9.65067e+11,7.92793e+08,0.000820816,1.2017e-06
62,8.58065e+11,3.96439e+09,0.0045989,1.20262e-06
63,1.00089e+12,3.16162e+09,0.00314887,1.20228e-06
64,9.1366e+11,1.96777e+09,0.00214909,1.20585e-06
65,1.01427e+12,2.88586e+09,0.00283718,1.20597e-06
66,1.01015e+12,0,0,1.20746e-06
67,9.63971e+11,0,0,1.20897e-06
68,9.0434e+11,0,0,1.20873e-06
69,1.01926e+12,0,0,1.20849e-06
70,8.64378e+11,0,0,1.20833e-06
71,1.01192e+12,0,0,1.20811e-06
72,8.14977e+11,0,0,1.20888e-06
73,1.00408e+12,0,0,1.20789e-06
74,9.09232e+11,1.77065e+07,1.94738e-05,1.20837e-06
75,8.13082e+11,4.88894e+09,0.00597691,1.20478e-06
76,9.98657e+11,1.70759e+10,0.0168114,1.20466e-06
77,8.02738e+11,1.02649e+10,0.0126259,1.18959e-06
78,9.62782e+11,5.86409e+10,0.0574111,1.19366e-06
79,9.04349e+11,7.26032e+09,0.00796429,1.18492e-06
80,9.2985e+11,3.66513e+10,0.0379216,1.17768e-06
81,7.96472e+11,2.12259e+10,0.0259581,1.17495e-06
82,9.22696e+11,8.53859e+10,0.0847013,1.16323e-06
83,7.53516e+11,6.30613e+10,0.0772264,1.15802e-06
84,9.05804e+11,1.04141e+11,0.103115,1.15286e-06
85,8.91295e+11,7.4934e+10,0.0775531,1.16025e-06
86,9.50413e+11,6.80571e+10,0.0668228,1.16907e-06
87,1.00514e+12,8.85651e+09,0.00873426,1.18152e-06
88,1.005e+12,9.15768e+09,0.00902986,1.17959e-06
89,8.29394e+11,1.30027e+10,0.0154354,1.19292e-06
90,9.99592e+11,5.19013e+09,0.00516543,1.19567e-06
91,1.00707e+12,7.29565e+09,0.00719234,1.19666e-06
92,1.00126e+12,1.71994e+09,0.00171482,1.20592e-06
93,1.00587e+12,1.05467e+08,0.000104841,1.2079e-06
94,8.5453e+11,0,0,1.20857e-06
95,1.01641e+12,0,0,1.20813e-06
96,1.01733e+12,0,0,1.20784e-06
97,1.00885e+12,0,0,1.20892e-06
98,1.01446e+12,0,0,1.20887e-06
99,1.00967e+12,0,0,1.20859e-06
100,8.6409e+11,0,0,1.20866e-06
101,1.00427e+12,0,0,1.20808e-06
102,9.98559e+11,0,0,1.20889e-06
103,1.02107e+12,0,0,1.20855e-06
104,8.49597e+11,2.25789e+07,2.65753e-05,1.20824e-06
105,1.01904e+12,123386,1.2108e-07,1.20826e-06
106,1.01971e+12,3.62327e+07,3.55309e-05,1.20784e-06
