theta,success,fail,fail_rate
161.0,28665687000000.0,78839055044.0,0.002742750215920348
162.0,29144742000000.0,61665237291.0,0.0021113599077761704
163.0,28868866000000.0,39320771401.660995,0.0013601950102439602
164.0,28874323000000.0,50688591718.0,0.001752413877424806
165.0,28771631000000.0,50033395711.69,0.0017359648292599769
166.0,28622741000000.0,53425532063.68,0.0018630639490792229
167.0,29054432000000.0,59243404600.0,0.002034899536959166
168.0,28203757000000.0,57584797000.0,0.002037581846383272
169.0,28502423000000.0,59546549391.6461,0.002084819441063875
170.0,28538691000000.0,47899922784.9961,0.0016756080819282785
171.0,28993180000000.0,47066442000.0,0.0016207314939286905
172.0,29216397000000.0,23082402800.0,0.0007894259156265829
173.0,28742963000000.0,29509508960.0,0.001025616027639282
174.0,28489654000000.0,20547359104.0,0.0007207019987404869
175.0,28587686000000.0,20467208229.7,0.0007154326978300789
176.0,28833668000000.0,23488193620.0,0.0008139469274936031
177.0,28530113000000.0,22059734386.895,0.0007726114083194549
178.0,28477839000000.0,25879659181.556,0.0009079397495814007
179.0,28182122000000.0,21616025316.120003,0.0007664241277775704
