theta,success,failure,failRate,totLatency
0,8.16023e+11,1.71132e+06,2.09714e-06,1.20567e-06
1,9.16902e+11,1.18758e+07,1.2952e-05,1.20561e-06
2,1.00949e+12,2.39892e+08,0.000237579,1.20381e-06
3,9.63766e+11,3.59928e+08,0.00037332,1.20353e-06
4,9.08469e+11,2.93998e+09,0.00322575,1.20328e-06
5,1.00123e+12,1.01529e+08,0.000101394,1.20484e-06
6,1.01488e+12,4.49494e+08,0.000442706,1.20469e-06
7,8.15032e+11,3.40557e+09,0.00416106,1.20321e-06
8,9.12195e+11,3.24433e+09,0.00354402,1.20307e-06
9,9.95013e+11,2.98813e+08,0.000300221,1.20318e-06
10,1.01241e+12,6.29141e+08,0.000621044,1.20414e-06
11,1.01613e+12,3.79978e+06,3.73945e-06,1.20506e-06
12,1.01026e+12,3.88196e+07,3.84238e-05,1.20514e-06
13,1.00765e+12,2.29893e+06,2.28148e-06,1.20515e-06
14,1.02009e+12,1.64426e+07,1.61185e-05,1.2052e-06
15,1.01745e+12,7.87978e+06,7.74461e-06,1.20495e-06
16,8.08257e+11,1.56118e+06,1.93153e-06,1.20511e-06
17,9.98436e+11,1.55313e+06,1.55556e-06,1.20602e-06
18,9.65533e+11,1.06707e+08,0.000110504,1.20443e-06
19,1.02052e+12,1.43406e+07,1.4052e-05,1.20569e-06
20,1.00221e+12,1.19267e+08,0.00011899,1.20403e-06
21,8.10448e+11,1.07911e+07,1.33147e-05,1.20441e-06
22,9.12227e+11,6.62205e+07,7.25868e-05,1.20369e-06
23,1.01307e+12,1.33732e+08,0.00013199,1.20441e-06
24,8.12665e+11,5.71434e+07,7.0311e-05,1.20466e-06
25,9.02769e+11,4.88168e+07,5.40716e-05,1.20286e-06
26,8.04555e+11,1.32111e+08,0.000164177,1.20361e-06
27,9.88784e+11,1.59563e+08,0.000161347,1.20469e-06
28,1.00168e+12,1.29403e+08,0.00012917,1.2051e-06
29,8.67395e+11,2.96221e+08,0.00034139,1.20457e-06
30,1.00615e+12,0,0,1.20547e-06
31,1.01016e+12,0,0,1.2053e-06
32,1.0032e+12,0,0,1.20541e-06
33,1.01738e+12,0,0,1.20481e-06
34,1.00701e+12,2.05421e+06,2.03991e-06,1.20514e-06
35,1.00641e+12,1.35793e+07,1.34927e-05,1.20475e-06
36,9.19321e+11,3.30889e+07,3.59915e-05,1.20526e-06
37,9.54705e+11,1.63571e+07,1.71329e-05,1.20503e-06
38,9.6637e+11,382268,3.95571e-07,1.20444e-06
39,1.00756e+12,1.97513e+06,1.96031e-06,1.20499e-06
40,7.38983e+11,4.04811e+08,0.000547495,1.20144e-06
41,9.56108e+11,2.53975e+08,0.000265564,1.20158e-06
42,8.64371e+11,2.48471e+09,0.00286635,1.20061e-06
43,1.01593e+12,1.94291e+09,0.00190879,1.20176e-06
44,1.01714e+12,2.92935e+08,0.000287914,1.20418e-06
45,1.00671e+12,1.29354e+09,0.00128328,1.2039e-06
46,1.01765e+12,2.67184e+09,0.00261863,1.2008e-06
47,1.01414e+12,2.30334e+09,0.00226607,1.20129e-06
48,1.00082e+12,2.65723e+09,0.00264804,1.20089e-06
49,9.82319e+11,2.30032e+09,0.00233626,1.20311e-06
50,1.0058e+12,1.39916e+09,0.00138916,1.20319e-06
